epsilon,fidelity
-0.02,0.8928741556209657
-0.0196,0.8984642059209146
-0.0192,0.9038165578779797
-0.0188,0.9089390985157401
-0.0184,0.9138397562812859
-0.018,0.9185264552088964
-0.0176,0.9230070947158429
-0.0172,0.927289503449479
-0.0168,0.9313814237522111
-0.0164,0.9352904719433162
-0.016,0.9390241104241115
-0.0156,0.9425896405927525
-0.0152,0.9459941622300573
-0.0148,0.9492445631657683
-0.0144,0.9523475076057379
-0.014,0.9553094046298981
-0.0136,0.9581364141239018
-0.0132,0.9608344216094783
-0.0128,0.963409034303236
-0.0124,0.9658655796904391
-0.012,0.9682090907607976
-0.0116,0.970444307706852
-0.0112,0.9725756778567807
-0.0108,0.9746073487232807
-0.0104,0.9765431783252184
-0.01,0.9783867298076118
-0.0096,0.9801412811737266
-0.0092,0.9818098288072099
-0.0088,0.9833950895779032
-0.0084,0.9848995162778075
-0.008,0.986325298163643
-0.0076,0.987674376160097
-0.0072,0.9889484466574786
-0.0068,0.9901489755334968
-0.0064,0.9912772097107612
-0.006,0.9923341856109288
-0.0056,0.9933207411232726
-0.0052,0.9942375285141777
-0.0048,0.9950850258066557
-0.0044,0.995863547945773
-0.004,0.996573259229282
-0.0036,0.9972141847296722
-0.0032,0.9977862219014367
-0.0028,0.9982891514049878
-0.0024,0.9987226488739664
-0.002,0.9990862941556068
-0.0016,0.9993795825104336
-0.0012,0.9996019335122615
-0.0008,0.9997527003045383
-0.0004,0.999831177994511
0.0,0.999836611623947
0.0004,0.9997682032308282
0.0008,0.9996251186157172
0.0012,0.9994064928850832
0.0016,0.9991114368143598
0.002,0.9987390398350977
0.0024,0.9982883753066214
0.0028,0.9977585034836528
0.0032,0.9971484723922311
0.0036,0.9964573242437585
0.004,0.9956840921398025
0.0044,0.9948278030697649
0.0048,0.9938874784880678
0.0052,0.9928621348360822
0.0056,0.9917507799325055
0.006,0.9905524157076335
0.0064,0.9892660347960921
0.0068,0.9878906208854691
0.0072,0.9864251433184994
0.0076,0.9848685580924805
0.008,0.9832198094043628
0.0084,0.9814778168989646
0.0088,0.979641485826782
0.0092,0.9777096950313183
0.0096,0.9756813042133041
0.01,0.9735551431371033
0.0104,0.9713300186900373
0.0108,0.9690047082614743
0.0112,0.9665779621859183
0.0116,0.9640485020242576
0.012,0.9614150194749246
0.0124,0.9586761842248274
0.0128,0.9558306354398568
0.0132,0.9528769908306967
0.0136,0.9498138462031466
0.014,0.9466397830412345
0.0144,0.943353364710446
0.0148,0.9399531478661229
0.0152,0.9364376879657186
0.0156,0.9328055410502766
0.016,0.9290552762174294
0.0164,0.9251854744417527
0.0168,0.9211947469942123
0.0172,0.9170817413470221
0.0176,0.9128451432224657
0.018,0.9084836976740129
0.0184,0.9039962134020901
0.0188,0.8993815750548824
0.0192,0.8946387550943535
0.0196,0.8897668257423748
0.02,0.8847649678265976
