This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   999237
Number of nonzeros in inequality constraint Jacobian.:     4352
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3203
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      680
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:      457
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      457

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.7334146e-02 4.69e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.6373248e-02 4.64e+00 1.51e+01  -0.2 1.57e+01    -  5.49e-03 9.60e-03h  1
   2  2.5683154e-02 4.61e+00 1.54e+02   0.1 1.75e+01    -  8.08e-02 6.26e-03f  1
   3  2.5261185e-02 4.55e+00 1.81e+02   0.2 1.86e+01    -  3.19e-02 1.27e-02f  1
   4  2.6318191e-02 4.48e+00 3.34e+02   0.8 2.21e+01    -  8.85e-02 1.50e-02f  1
   5  3.9543125e-02 4.34e+00 1.24e+03   1.3 2.50e+01    -  6.88e-02 3.10e-02f  1
   6  7.4048183e-02 4.20e+00 2.57e+03   1.7 3.04e+01    -  1.32e-01 2.93e-02f  1
   7  3.0192495e-01 3.79e+00 1.13e+04   2.1 3.98e+01    -  3.07e-01 7.81e-02f  1
   8  1.0756117e+00 3.11e+00 1.69e+04   1.4 3.85e+01    -  2.32e-01 1.77e-01h  1
   9  2.4369914e+00 2.95e+00 3.37e+04   2.0 4.69e+01    -  9.38e-01 1.91e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  7.6043757e+00 2.51e+00 4.65e+04   2.5 4.78e+01    -  4.68e-01 4.25e-01F  1
  11  1.4410498e+01 3.21e+00 3.74e+04   1.8 2.70e+01    -  5.68e-01 6.78e-01h  1
  12  2.0404705e+01 1.64e+00 3.02e+04   1.9 2.17e+01    -  7.02e-01 6.35e-01f  1
  13  2.3490676e+01 6.77e-01 1.48e+04   1.3 1.17e+01    -  9.56e-01 6.43e-01h  1
  14  2.3707550e+01 2.56e-01 7.24e+03   0.7 7.07e+00    -  1.00e+00 8.56e-01h  1
  15  2.3262339e+01 2.00e-01 2.87e+03   0.4 4.66e+00    -  1.00e+00 1.00e+00h  1
  16  2.2849228e+01 4.03e-02 6.12e+02  -0.2 2.67e+00    -  1.00e+00 1.00e+00h  1
  17  2.2473474e+01 3.87e-02 3.37e+02  -0.6 1.57e+00    -  9.99e-01 1.00e+00h  1
  18  2.2465859e+01 7.01e-03 2.72e+02  -0.9 1.06e+00    -  1.00e+00 1.00e+00h  1
  19  2.2338220e+01 5.14e-03 1.04e+02  -1.6 7.30e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.1997827e+01 1.18e-02 5.28e+01  -2.0 8.65e-01    -  1.00e+00 1.00e+00h  1
  21  2.1406904e+01 7.65e-02 1.26e+02  -1.8 2.32e+00    -  1.00e+00 8.24e-01h  1
  22  2.1061830e+01 1.83e-02 1.35e+02  -2.1 1.31e+00    -  1.00e+00 1.00e+00h  1
  23  2.0253463e+01 8.26e-02 1.51e+02  -2.5 3.07e+00    -  1.00e+00 8.55e-01h  1
  24  1.9170996e+01 2.55e-01 4.88e+02  -2.0 9.45e+00    -  1.00e+00 4.25e-01h  1
  25  1.8953617e+01 3.01e-01 3.63e+02  -1.8 3.11e+00    -  1.00e+00 9.61e-01h  1
  26  1.8008907e+01 2.48e-01 1.93e+02  -1.8 4.61e+00    -  1.00e+00 1.00e+00h  1
  27  1.8521949e+01 1.23e-01 1.12e+02  -1.6 3.00e+00    -  1.00e+00 1.00e+00h  1
  28  1.7809904e+01 8.84e-02 6.24e+01  -2.1 3.19e+00    -  1.00e+00 1.00e+00h  1
  29  1.7774880e+01 1.41e-01 6.27e+01  -2.1 3.50e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
