time_ns,u_X1,u_Y1,u_X2,u_Y2,du_X1,du_Y1,du_X2,du_Y2
0,0,0,0,0,0,0,0,0
12.5,0.06282316421,-0.06253553608,0.04902817136,0.0340696829,0.001407230335,0.02023150798,0.006189732816,-0.007601598138
25,-0.008817475775,-0.01177237065,-0.05509471748,-0.02976981294,-0.007327974583,0.01940041102,-0.01475782004,0.007219209995
37.5,-0.009846006446,-0.02981740867,-0.01968509322,-0.01787652438,-0.03572100871,-0.02708861268,-0.02067509145,0.0110291411
50,0.008390238773,-0.003736734591,0.01189840415,-0.01816542964,-0.01235767495,-0.01556955784,-0.03284660059,-0.02477633434
62.5,-0.05388378964,-0.06281149283,0.05475942814,0.06280982272,-0.009814301697,-0.00111477798,0.004635695084,-0.003380277833
75,-0.06282901532,0.06264455766,0.06206069098,0.06031575963,-0.004099633155,0.02139663517,0.002325442736,0.001984543806
87.5,0,0,0,0,0,0,0,0
