This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   796714
Number of nonzeros in inequality constraint Jacobian.:     9182
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2571
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      636
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2430
Total number of inequality constraints...............:      751
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      751

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  3.4785573e+00 1.41e-01 3.74e+01  -2.4 3.39e+00    -  1.00e+00 7.23e-01h  1
  48  3.2079692e+00 3.04e-01 2.67e+01  -2.8 3.87e+00    -  1.00e+00 9.27e-01h  1
  49  3.1400967e+00 2.20e-01 2.30e+01  -2.9 2.63e+00    -  6.66e-01 2.63e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  3.3471731e+00 1.46e-01 1.02e+01  -2.4 1.99e+00    -  1.00e+00 1.00e+00h  1
  51  3.1979293e+00 1.46e-01 7.21e+00  -2.8 1.76e+00    -  1.00e+00 1.00e+00h  1
  52  3.0346209e+00 3.92e-01 1.48e+01  -2.9 2.57e+00    -  9.03e-01 8.44e-01h  1
  53  2.8980864e+00 1.19e-01 1.38e+01  -3.1 1.07e+00    -  1.00e+00 1.00e+00h  1
  54  3.0379265e+00 2.35e-02 8.01e+00  -2.8 1.00e+00    -  1.00e+00 1.00e+00h  1
  55  3.0142603e+00 1.10e-02 7.88e+00  -3.0 6.86e-01    -  1.00e+00 8.30e-01h  1
  56  2.9704587e+00 2.45e-02 1.18e+01  -3.2 9.45e-01    -  1.00e+00 7.28e-01h  1
  57  2.9712404e+00 3.17e-02 2.80e+01  -2.9 1.12e+00    -  1.00e+00 1.00e+00h  1
  58  2.9264309e+00 8.90e-03 1.88e+01  -3.0 5.28e-01    -  1.00e+00 1.00e+00h  1
  59  2.8703235e+00 8.29e-03 1.47e+01  -3.5 1.07e+00    -  1.00e+00 4.99e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.8592745e+00 1.86e-02 1.92e+01  -3.0 1.22e+00    -  9.56e-01 3.51e-01h  1
  61  2.8701962e+00 3.60e-02 3.31e+01  -3.0 9.78e-01    -  9.58e-01 1.00e+00h  1
  62  2.7996262e+00 6.72e-02 5.36e+01  -3.1 2.58e+00    -  6.87e-01 4.96e-01h  1
  63  2.7827476e+00 3.52e-02 4.22e+01  -2.8 1.11e+00    -  9.31e-01 4.79e-01h  1
  64  2.7736939e+00 2.87e-02 4.03e+01  -3.3 9.95e-01    -  9.93e-01 1.85e-01h  1
