This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37797
Number of nonzeros in inequality constraint Jacobian.:     5100
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      607
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      528
                     variables with only upper bounds:        0
Total number of equality constraints.................:      476
Total number of inequality constraints...............:      420
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      420

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  1.0639424e-02 3.51e-03 1.62e-01  -4.0 3.31e-02    -  1.00e+00 1.00e+00h  1
  48  1.0406840e-02 1.08e-03 7.67e-02  -4.0 2.20e-02    -  1.00e+00 1.00e+00h  1
  49  1.0432128e-02 5.93e-04 8.12e-02  -4.0 1.93e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.0357669e-02 3.35e-04 6.23e-02  -4.0 1.56e-02    -  1.00e+00 1.00e+00h  1
  51  1.0209708e-02 1.77e-04 1.00e-01  -4.0 1.43e-02    -  1.00e+00 1.00e+00h  1
  52  1.0033946e-02 5.87e-04 1.64e-01  -4.0 2.58e-02    -  1.00e+00 1.00e+00h  1
  53  9.7943794e-03 4.88e-03 3.99e-01  -4.0 7.45e-02    -  1.00e+00 1.00e+00h  1
  54  9.6648098e-03 8.58e-03 6.27e-01  -4.0 7.77e-02    -  1.00e+00 1.00e+00h  1
  55  8.9760137e-03 4.63e-03 5.33e-01  -4.0 7.21e-02    -  1.00e+00 5.00e-01h  2
  56  9.5494436e-03 2.87e-03 1.70e-01  -4.0 3.29e-02    -  1.00e+00 1.00e+00h  1
  57  8.9134326e-03 1.39e-03 3.45e-02  -4.0 2.18e-02    -  1.00e+00 1.00e+00h  1
  58  8.9402133e-03 2.32e-04 6.60e-02  -4.0 1.60e-02    -  1.00e+00 1.00e+00h  1
  59  8.7688432e-03 5.62e-04 1.21e-01  -4.0 2.49e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  8.6232444e-03 1.43e-03 2.81e-01  -4.0 7.39e-02    -  1.00e+00 5.00e-01h  2
  61  8.4139781e-03 2.34e-02 8.50e-01  -4.0 1.61e-01    -  1.00e+00 1.00e+00h  1
  62  8.3489953e-03 6.51e-03 7.70e-01  -4.0 8.73e-02    -  1.00e+00 1.00e+00h  1
  63  9.5043753e-03 4.14e-03 3.16e-01  -4.0 9.07e-02    -  1.00e+00 1.00e+00h  1
  64  8.1912030e-03 3.14e-03 6.38e-02  -4.1 3.79e-02    -  1.00e+00 1.00e+00h  1
  65  8.5950204e-03 2.41e-03 4.80e-02  -4.0 3.83e-02    -  1.00e+00 1.00e+00h  1
  66  7.8928831e-03 1.78e-03 7.94e-02  -4.0 3.59e-02    -  1.00e+00 1.00e+00h  1
  67  7.9433471e-03 5.58e-04 4.69e-02  -4.0 1.69e-02    -  1.00e+00 1.00e+00h  1
  68  8.0146009e-03 3.06e-04 7.24e-02  -4.0 1.42e-02    -  1.00e+00 1.00e+00h  1
  69  7.8996922e-03 1.09e-04 2.80e-02  -4.0 1.25e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  7.9275380e-03 4.55e-05 3.91e-02  -4.0 7.16e-03    -  1.00e+00 1.00e+00h  1
  71  7.9115369e-03 5.07e-05 4.98e-02  -4.0 6.69e-03    -  1.00e+00 1.00e+00h  1
  72  7.8809419e-03 8.57e-05 4.69e-02  -4.0 5.78e-03    -  1.00e+00 1.00e+00h  1
  73  7.8656815e-03 1.82e-05 4.49e-02  -4.0 4.99e-03    -  1.00e+00 1.00e+00h  1
  74  7.8620836e-03 5.64e-05 5.69e-02  -4.0 6.94e-03    -  1.00e+00 1.00e+00h  1
  75  7.8137900e-03 4.36e-04 2.31e-01  -4.0 2.88e-02    -  1.00e+00 1.00e+00h  1
  76  7.7238403e-03 1.89e-03 5.70e-01  -4.0 6.86e-02    -  1.00e+00 1.00e+00h  1
  77  7.6428177e-03 1.09e-02 7.70e-01  -4.0 1.41e-01    -  1.00e+00 1.00e+00h  1
  78  7.5660435e-03 2.07e-03 4.83e-01  -4.0 3.15e-02    -  1.00e+00 1.00e+00h  1
  79  7.7339669e-03 1.10e-03 8.00e-02  -4.0 3.29e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  7.7487080e-03 8.05e-04 5.72e-02  -4.0 2.04e-02    -  1.00e+00 1.00e+00h  1
  81  7.5520592e-03 6.16e-04 2.58e-02  -4.0 1.67e-02    -  1.00e+00 1.00e+00h  1
  82  7.5827000e-03 1.08e-04 3.42e-02  -4.0 6.61e-03    -  1.00e+00 1.00e+00h  1
  83  7.5247831e-03 9.38e-05 6.26e-02  -4.0 1.20e-02    -  1.00e+00 1.00e+00h  1
  84  7.4755535e-03 1.61e-04 8.78e-02  -4.0 1.83e-02    -  1.00e+00 1.00e+00h  1
  85  7.4527396e-03 2.63e-04 1.34e-01  -4.0 1.83e-02    -  1.00e+00 1.00e+00h  1
  86  7.4384566e-03 1.51e-04 8.48e-02  -4.0 1.06e-02    -  1.00e+00 1.00e+00h  1
  87  7.4333594e-03 7.70e-05 5.90e-02  -4.0 9.14e-03    -  1.00e+00 1.00e+00h  1
  88  7.4205279e-03 1.13e-04 3.61e-02  -4.0 1.10e-02    -  1.00e+00 1.00e+00h  1
  89  7.3700888e-03 1.14e-04 3.98e-02  -4.0 1.26e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  7.3718605e-03 5.24e-04 8.46e-02  -4.0 2.74e-02    -  1.00e+00 1.00e+00h  1
  91  7.1642871e-03 4.35e-04 1.74e-01  -4.1 3.24e-02    -  1.00e+00 1.00e+00h  1
  92  7.1928864e-03 4.17e-04 2.23e-01  -4.0 4.93e-02    -  1.00e+00 5.00e-01h  2
  93  7.1265176e-03 4.57e-04 9.38e-02  -4.1 2.39e-02    -  1.00e+00 1.00e+00h  1
  94  7.4141050e-03 1.21e-04 9.38e-02  -4.0 3.11e-02    -  1.00e+00 1.00e+00H  1
  95  7.0543623e-03 2.13e-04 4.10e-02  -4.1 1.50e-02    -  1.00e+00 1.00e+00h  1
  96  7.1633050e-03 1.69e-04 4.00e-02  -4.0 1.70e-02    -  1.00e+00 1.00e+00h  1
  97  7.0462517e-03 2.02e-04 1.02e-01  -4.1 2.59e-02    -  1.00e+00 1.00e+00h  1
  98  7.0538811e-03 3.69e-04 1.32e-01  -4.0 4.50e-02    -  1.00e+00 5.00e-01h  2
  99  6.9801801e-03 9.68e-04 1.44e-01  -4.1 3.90e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  7.0377210e-03 4.30e-04 9.08e-02  -4.0 2.50e-02    -  1.00e+00 1.00e+00h  1
 101  7.0413878e-03 1.81e-04 3.36e-02  -4.0 1.27e-02    -  1.00e+00 1.00e+00h  1
 102  7.0303343e-03 6.94e-05 4.63e-02  -4.0 1.23e-02    -  1.00e+00 1.00e+00h  1
 103  7.0192661e-03 3.81e-04 1.29e-01  -4.0 3.24e-02    -  1.00e+00 1.00e+00h  1
 104  6.9960530e-03 2.59e-03 3.35e-01  -4.0 7.10e-02    -  1.00e+00 1.00e+00h  1
 105  6.8149169e-03 4.01e-03 4.93e-01  -4.1 8.39e-02    -  1.00e+00 1.00e+00h  1
 106  6.9865276e-03 1.39e-03 2.20e-01  -4.0 4.41e-02    -  1.00e+00 1.00e+00h  1
 107  6.8625290e-03 1.23e-03 1.15e-01  -4.1 3.73e-02    -  1.00e+00 1.00e+00h  1
 108  7.3935998e-03 2.43e-04 7.64e-02  -4.0 2.67e-02    -  1.00e+00 1.00e+00H  1
 109  6.6788320e-03 7.92e-04 7.11e-02  -4.1 2.66e-02    -  1.00e+00 1.00e+00h  1
