This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1016894
Number of nonzeros in inequality constraint Jacobian.:       12
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3259
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      808
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  3.7286606e-02 2.90e-01 1.69e+01  -2.8 5.18e+00    -  1.00e+00 5.00e-01h  2
  48  3.2714618e-02 1.72e-01 4.81e-01  -3.2 1.59e+00    -  1.00e+00 1.00e+00h  1
  49  2.4570839e-02 1.20e-01 1.19e-01  -3.7 1.34e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.2767553e-02 1.07e-01 1.95e-01  -3.7 8.62e-01    -  1.00e+00 1.00e+00h  1
  51  2.1045580e-02 5.27e-02 1.38e-01  -3.9 7.47e-01    -  9.99e-01 1.00e+00h  1
  52  2.1037378e-02 2.55e-02 8.89e-01  -3.6 4.84e-01    -  1.00e+00 8.36e-01h  1
  53  2.1650270e-02 1.67e-02 2.26e-01  -4.0 3.65e-01    -  1.00e+00 1.00e+00h  1
  54  2.1156586e-02 9.23e-03 2.28e-01  -4.0 2.40e-01    -  1.00e+00 1.00e+00h  1
  55  2.3146183e-02 5.47e-03 4.09e-01  -4.0 1.90e-01    -  1.00e+00 8.01e-01H  1
  56  2.2794151e-02 6.41e-03 1.76e-01  -4.0 1.69e-01    -  1.00e+00 1.00e+00h  1
  57  2.1684018e-02 9.20e-03 3.49e-01  -4.1 2.98e-01    -  1.00e+00 1.00e+00h  1
  58  2.1175078e-02 3.24e-03 1.63e-01  -4.1 1.93e-01    -  1.00e+00 1.00e+00h  1
  59  2.1203408e-02 1.69e-03 4.29e-01  -4.0 1.16e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.0908134e-02 2.38e-03 1.33e-01  -4.0 2.28e-01    -  1.00e+00 1.00e+00h  1
  61  2.0540758e-02 1.56e-02 2.73e+00  -3.6 9.44e-01    -  1.00e+00 5.00e-01h  2
  62  1.9653563e-02 1.58e-02 1.76e+00  -4.0 9.59e-01    -  1.00e+00 5.00e-01h  2
  63  1.9109737e-02 5.82e-03 9.90e-02  -4.0 2.14e-01    -  1.00e+00 1.00e+00h  1
  64  1.8836225e-02 5.02e-03 4.33e-02  -4.0 2.21e-01    -  1.00e+00 1.00e+00h  1
  65  1.8656628e-02 2.28e-03 5.85e-02  -4.0 1.56e-01    -  1.00e+00 1.00e+00h  1
  66  1.8628193e-02 3.68e-03 1.37e-01  -4.0 3.68e-01    -  1.00e+00 5.00e-01h  2
  67  1.8425478e-02 7.68e-03 1.64e-01  -4.0 4.16e-01    -  1.00e+00 5.00e-01h  2
  68  1.9461221e-02 2.80e-02 7.03e-02  -3.7 6.74e-01    -  9.95e-01 1.00e+00h  1
  69  1.9464216e-02 4.88e-02 6.22e-02  -3.8 7.12e-01    -  1.00e+00 1.00e+00h  1
