This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1215565
Number of nonzeros in inequality constraint Jacobian.:     5312
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3879
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      824
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3726
Total number of inequality constraints...............:      553
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      553

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0528595e-03 4.12e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.0789203e-03 4.12e+00 8.85e+00  -4.0 2.07e+01    -  8.79e-03 9.55e-04h  1
   2  1.6628829e-03 4.09e+00 8.07e+01  -0.4 2.17e+01    -  2.34e-02 7.93e-03h  1
   3  3.9699065e-03 4.07e+00 1.89e+02   1.8 1.34e+02    -  5.00e-03 3.36e-03f  1
   4  6.2640767e-03 4.04e+00 3.83e+02   0.9 2.81e+01    -  9.98e-02 8.28e-03f  1
   5  1.4871577e-02 3.97e+00 1.76e+03   1.6 3.96e+01    -  9.05e-02 1.48e-02f  1
   6  3.0329253e-02 3.91e+00 1.67e+04   1.6 5.06e+01    -  2.59e-01 1.57e-02h  1
   7  7.2643502e-01 3.31e+00 3.80e+04   1.6 5.91e+01    -  4.84e-01 1.52e-01h  1
   8  1.6591669e+00 2.95e+00 3.32e+04  -4.0 4.75e+01    -  1.40e-01 1.27e-01h  1
   9  2.7667740e+00 2.63e+00 4.51e+04   1.3 3.95e+01    -  2.56e-01 1.31e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.9850865e+00 2.33e+00 5.65e+04   1.8 3.65e+01    -  3.85e-01 1.32e-01f  1
  11  7.7224859e+00 2.12e+00 6.28e+04   1.7 3.43e+01    -  6.00e-01 3.41e-01h  1
  12  1.0153609e+01 1.54e+00 5.63e+04   1.6 2.96e+01    -  4.68e-01 2.81e-01h  1
  13  1.3780251e+01 8.59e-01 4.11e+04   1.7 1.92e+01    -  7.28e-01 4.62e-01h  1
  14  1.9715110e+01 9.45e-01 3.74e+04   1.0 1.69e+01    -  5.43e-01 7.70e-01h  1
  15  2.3712795e+01 4.91e-01 3.11e+04   1.6 2.13e+01    -  6.33e-01 4.91e-01f  1
  16  2.4635820e+01 4.55e-01 1.52e+05   2.0 2.96e+01    -  9.92e-01 1.11e-01f  1
  17  2.2670122e+01 3.95e-01 2.26e+04   1.3 9.77e+00    -  8.69e-01 1.00e+00f  1
  18  2.3164809e+01 7.17e-01 7.24e+04   1.6 9.28e+00    -  1.00e+00 1.00e+00f  1
  19  2.1726226e+01 3.85e-01 4.09e+04   1.5 7.21e+00    -  9.76e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.1867287e+01 5.84e-01 4.74e+04   1.5 8.20e+00    -  1.00e+00 1.00e+00f  1
  21  2.1980582e+01 4.65e-01 1.63e+04   1.4 8.08e+00    -  1.00e+00 1.00e+00f  1
  22  2.1353740e+01 3.80e-02 4.75e+03   0.6 3.56e+00    -  1.00e+00 1.00e+00h  1
  23  2.1412810e+01 7.29e-02 4.19e+03   0.5 3.01e+00    -  1.00e+00 1.00e+00f  1
  24  2.1440552e+01 3.17e-02 9.52e+02  -0.0 1.71e+00    -  1.00e+00 1.00e+00h  1
  25  2.1388456e+01 1.25e-02 9.57e+02   0.2 1.05e+00    -  1.00e+00 1.00e+00f  1
  26  2.1415600e+01 1.45e-02 8.90e+02  -0.9 1.36e+00    -  1.00e+00 1.00e+00h  1
  27  2.1387131e+01 1.16e-03 5.86e+02  -1.2 7.96e-01    -  9.96e-01 1.00e+00H  1
  28  2.1331061e+01 7.53e-04 3.27e+02  -1.7 7.68e-01    -  9.95e-01 1.00e+00H  1
  29  2.1302912e+01 3.97e-03 1.97e+02  -2.2 6.27e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.1287838e+01 6.19e-04 3.12e+01  -2.7 1.24e-01    -  1.00e+00 1.00e+00h  1
  31  2.1231941e+01 6.75e-03 5.41e+01  -2.0 1.68e-01    -  1.00e+00 1.00e+00h  1
  32  2.0978703e+01 5.61e-03 8.41e+01  -2.4 5.49e-01    -  1.00e+00 1.00e+00h  1
  33  2.0789386e+01 6.18e-03 1.47e+02  -2.5 1.40e+00    -  1.00e+00 5.01e-01h  1
  34  2.0727175e+01 5.06e-03 6.41e+01  -2.8 5.71e-01    -  1.00e+00 1.00e+00h  1
  35  2.0588032e+01 1.16e-02 4.98e+01  -3.0 9.51e-01    -  1.00e+00 9.46e-01h  1
  36  2.0519538e+01 1.01e-02 7.51e+01  -3.2 6.72e-01    -  1.00e+00 4.70e-01h  1
