time_ns,u_X1,u_Y1,u_X2,u_Y2
0,0,0,0,0
0.04752376188,-2.316727901e-05,-2.316602647e-05,-2.316704737e-05,-3.546305334e-05
0.09504752376,-9.199774093e-05,-9.199277896e-05,-9.199680514e-05,-0.0001405494916
0.1425712856,-0.000205484323,-0.0002054732671,-0.0002054821968,-0.0003133052321
0.1900950475,-0.0003626199627,-0.0003626005006,-0.0003626161458,-0.0005517761921
0.2376188094,-0.0005623975971,-0.0005623674891,-0.0005623915757,-0.0008540082891
0.2851425713,-0.0008038101637,-0.0008037672422,-0.0008038014099,-0.00121804744
0.3326663332,-0.0010858506,-0.001085792769,-0.001085838572,-0.001641939563
0.380190095,-0.001407511843,-0.001407437081,-0.001407495985,-0.002123730575
0.4277138569,-0.001767786829,-0.001767693185,-0.001767766574,-0.002661466393
0.4752376188,-0.002165668498,-0.002165554093,-0.00216564326,-0.003253192934
0.5227613807,-0.002600149785,-0.002600012814,-0.002600118968,-0.003896956117
0.5702851426,-0.003070223627,-0.003070062358,-0.003070186622,-0.004590801857
0.6178089045,-0.003574882964,-0.003574695733,-0.003574839144,-0.005332776074
0.6653326663,-0.004113120731,-0.00411290595,-0.004113069459,-0.006120924683
0.7128564282,-0.004683929865,-0.004683686019,-0.004683870489,-0.006953293602
0.7603801901,-0.005286303305,-0.005286028948,-0.005286235158,-0.007827928749
0.807903952,-0.005919233988,-0.005918927749,-0.005919156391,-0.008742876041
0.8554277139,-0.00658171485,-0.006581375429,-0.006581627109,-0.009696181395
0.9029514757,-0.00727273883,-0.007272365,-0.007272640237,-0.01068589073
0.9504752376,-0.007991298863,-0.007990889471,-0.007991188698,-0.01171004996
0.9979989995,-0.008736387889,-0.00873594185,-0.008736265416,-0.012766705
1.045522761,-0.009506998844,-0.009506515149,-0.009506863314,-0.01385390178
1.093046523,-0.01030212467,-0.01030160238,-0.01030197532,-0.01496968621
1.140570285,-0.01112075829,-0.01112019654,-0.01112059434,-0.0161121042
1.188094047,-0.01196189266,-0.01196129065,-0.01196171332,-0.01727920167
1.235617809,-0.0128245207,-0.01282387773,-0.01282432518,-0.01846902455
1.283141571,-0.01370763536,-0.01370695076,-0.01370742283,-0.01967961874
1.330665333,-0.01461022957,-0.01460950278,-0.0146099992,-0.02090903017
1.378189095,-0.01553129628,-0.01553052678,-0.01553104722,-0.02215530476
1.425712856,-0.01646982841,-0.01646901578,-0.0164695598,-0.02341648841
1.473236618,-0.0174248189,-0.01742396278,-0.01742452988,-0.02469062705
1.52076038,-0.0183952607,-0.0183943608,-0.01839495037,-0.0259757666
1.568284142,-0.01938014674,-0.01937920284,-0.0193798142,-0.02726995297
1.615807904,-0.02037846995,-0.02037748192,-0.02037811429,-0.02857123207
1.663331666,-0.02138922328,-0.02138819104,-0.02138884357,-0.02987764984
1.710855428,-0.02241139966,-0.02241032322,-0.02241099495,-0.03118725218
1.75837919,-0.02344399203,-0.02344287146,-0.02344356137,-0.03249808501
1.805902951,-0.02448599332,-0.02448482877,-0.02448553575,-0.03380819425
1.853426713,-0.02553639648,-0.02553518817,-0.025535911,-0.03511562581
1.900950475,-0.02659419444,-0.02659294266,-0.02659368006,-0.03641842562
1.948474237,-0.02765838013,-0.02765708525,-0.02765783584,-0.03771463959
1.995997999,-0.0287279465,-0.02872660895,-0.02872737127,-0.03900231364
2.043521761,-0.02980188649,-0.02980050677,-0.02980127928,-0.04027949368
2.091045523,-0.03087919302,-0.03087777173,-0.03087855278,-0.04154422564
2.138569285,-0.03195885904,-0.03195739683,-0.03195818471,-0.04279455543
2.186093047,-0.03303987749,-0.03303837507,-0.03303916797,-0.04402852896
2.233616808,-0.03412124129,-0.03411969948,-0.03412049551,-0.04524419216
