epsilon,fidelity
-0.02,0.5649308429742366
-0.0196,0.5756616329206816
-0.0192,0.5863542512947464
-0.0188,0.5969998675584074
-0.0184,0.6075897854536046
-0.018,0.6181154576564428
-0.0176,0.6285684992135703
-0.0172,0.6389407065338552
-0.0168,0.649224064623505
-0.0164,0.6594107599405726
-0.016,0.6694931921944709
-0.0156,0.6794639823320648
-0.0152,0.6893159785018466
-0.0148,0.6990422658934055
-0.0144,0.7086361688778064
-0.014,0.7180912569859649
-0.0136,0.7274013480023949
-0.0132,0.736560506259796
-0.0128,0.7455630483018999
-0.0124,0.7544035365540382
-0.012,0.7630767827053067
-0.0116,0.7715778418552801
-0.0112,0.7799020083603743
-0.0108,0.7880448129837689
-0.0104,0.7960020165867383
-0.01,0.8037696027006438
-0.0096,0.8113437702614705
-0.0092,0.8187209273265987
-0.0088,0.8258976798323172
-0.0084,0.8328708236432333
-0.008,0.8396373349721858
-0.0076,0.8461943587464056
-0.0072,0.8525391992809489
-0.0068,0.8586693069482887
-0.0064,0.8645822694539507
-0.006,0.870275798190077
-0.0056,0.8757477174161774
-0.0052,0.8809959517728895
-0.0048,0.8860185149530323
-0.0044,0.8908134969720881
-0.004,0.8953790535191164
-0.0036,0.8997133941332164
-0.0032,0.903814770927881
-0.0028,0.9076814657110152
-0.0024,0.9113117824628311
-0.002,0.9147040354503194
-0.0016,0.9178565393055439
-0.0012,0.9207676002831835
-0.0008,0.9234355079073013
-0.0004,0.9258585261310613
0.0,0.928034887448093
0.0004,0.9299627847267695
0.0008,0.9316403679509078
0.0012,0.9330657363987243
0.0016,0.9342369379837105
0.002,0.935151963570583
0.0024,0.9358087473657339
0.0028,0.936205163575071
0.0032,0.9363390289587772
0.0036,0.9362081030779603
0.004,0.9358100908921704
0.0044,0.9351426457229582
0.0048,0.9342033752860007
0.0052,0.9329898469940925
0.0056,0.9314995965129004
0.006,0.9297301322998719
0.0064,0.927678952143345
0.0068,0.9253435474211242
0.0072,0.922721419245819
0.0076,0.9198100920377699
0.008,0.9166071265525558
0.0084,0.9131101362774325
0.0088,0.9093168060669569
0.0092,0.9052249089754996
0.0096,0.9008323262127524
0.01,0.8961370674020178
0.0104,0.891137291013991
0.0108,0.8858313299022487
0.0112,0.8802177106748933
0.0116,0.8742951794565316
0.012,0.8680627272817387
0.0124,0.8615196136051935
0.0128,0.8546653927955081
0.0132,0.8474999406400759
0.0136,0.8400234786484486
0.014,0.8322366040215651
0.0144,0.8241403112502483
0.0148,0.8157360224387435
0.0152,0.8070256096833156
0.0156,0.7980114232913194
0.016,0.788696314618727
0.0164,0.7790836605270469
0.0168,0.7691773854167288
0.0172,0.7589819844878908
0.0176,0.7485025434786527
0.018,0.7377447563053761
0.0184,0.7267149465107902
0.0188,0.715420072791709
0.0192,0.7038677587384545
0.0196,0.6920662876315661
0.02,0.6800246192184608
