epsilon,fidelity
-0.02,1.0283917532289775
-0.0196,1.0276130987322294
-0.0192,1.026963052602072
-0.0188,1.0264636206411357
-0.0184,1.0261371357816493
-0.018,1.0260061828975275
-0.0176,1.026093584453991
-0.0172,1.026422327665689
-0.0168,1.027015581894079
-0.0164,1.027896570351115
-0.016,1.0290885718162748
-0.0156,1.0306148624026878
-0.0152,1.0324986105910205
-0.0148,1.0347628612803879
-0.0144,1.0374304370536545
-0.014,1.0405238760433135
-0.0136,1.0440653662884574
-0.0132,1.0480766222300268
-0.0128,1.052578872409195
-0.0124,1.0575926910771516
-0.012,1.0631379779650647
-0.0116,1.0692338392482525
-0.0112,1.0758984708771713
-0.0108,1.08314910821457
-0.0104,1.091001902786187
-0.01,1.0994718079254708
-0.0096,1.1085725217767102
-0.0092,1.1183163622610062
-0.0088,1.1287141606788744
-0.0084,1.139775194115066
-0.008,1.151507074390683
-0.0076,1.1639156417143297
-0.0072,1.1770048955515149
-0.0068,1.1907768844977271
-0.0064,1.205231664242108
-0.006,1.2203671652997437
-0.0056,1.2361791564746607
-0.0052,1.2526611595533357
-0.0048,1.2698043875173788
-0.0044,1.2875977074186626
-0.004,1.306027545456893
-0.0036,1.3250779018378398
-0.0032,1.3447302840299233
-0.0028,1.3649636940021859
-0.0024,1.385754591435285
-0.002,1.4070769088918076
-0.0016,1.4289020738777785
-0.0012,1.4511989585950533
-0.0008,1.4739339747211204
-0.0004,1.4970710639620046
0.0,1.520571739955583
0.0004,1.5443951856069003
0.0008,1.5684982603686226
0.0012,1.592835640079869
0.0016,1.6173598521468036
0.002,1.642021392291552
0.0024,1.6667688512503522
0.0028,1.6915490117340997
0.0032,1.7163069769625139
0.0036,1.740986333091013
0.004,1.765529264918289
0.0044,1.789876742129556
0.0048,1.8139686700055748
0.0052,1.8377440619438428
0.0056,1.8611412249342132
0.006,1.8840979481070335
0.0064,1.90655169290232
0.0068,1.92843978683785
0.0072,1.94969963848544
0.0076,1.9702689239671378
0.008,1.990085825046438
0.0084,2.0090892088993266
0.0088,2.0272188631979295
0.0092,2.044415696080515
0.0096,2.060621947599768
0.01,2.075781406504895
0.0104,2.089839613896306
0.0108,2.102744064993331
0.0112,2.1144444041132955
0.0116,2.1248926313275804
0.012,2.1340432802285716
0.0124,2.1418535886157692
0.0128,2.148283690617542
0.0132,2.15329677249942
0.0136,2.156859212631055
0.014,2.1589407472090305
0.0144,2.1595145866652925
0.0148,2.1585575308457807
0.0152,2.156050106749241
0.0156,2.151976625336467
0.016,2.1463252821231773
0.0164,2.139088238863318
0.0168,2.1302616468009115
0.0172,2.1198457007804796
0.0176,2.107844675416127
0.018,2.0942669174128916
0.0184,2.0791248354534053
0.0188,2.0624349084198066
0.0192,2.044217609819787
0.0196,2.0244973903191474
0.02,2.003302601906172
