channel,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80
u_x,0.0,0.006360414180223726,0.007888971457377348,0.008082534231936703,0.008082226521491903,0.008077085792677347,0.008077713623717897,0.008079907037946745,0.008081830543576057,0.008082793733282316,0.00808236151920504,0.008080229878611284,0.008076211112363032,0.00807021408830685,0.008062217368764293,0.008052335429554157,0.00804077766921278,0.008027805627220337,0.008013566357651972,0.007998131337586084,0.007981459975158268,0.007963588554100542,0.007944599965963061,0.00792470721596675,0.00790419114813621,0.00788336547294943,0.00786260545731381,0.007842323475217065,0.007822723499036628,0.007804587328749271,0.0077877181952251216,0.007773200032381093,0.007759482303320658,0.007747359656163049,0.007733485549801049,0.0077189019629007975,0.007700383744499959,0.007679552417716702,0.007652630771193929,0.00761963689753037,0.007577589583331391,0.00752596820344557,0.00746466791990506,0.0073955705067260315,0.007321611270883476,0.0072448576382862185,0.007167795850754405,0.007094543491181716,0.007030232896251661,0.006979088409704155,0.006943890819300879,0.006925518653737068,0.0069248349170829195,0.006941175461684558,0.0069719240419304235,0.007011857938438473,0.00705388497248059,0.007092951522023501,0.007125187918139382,0.007147814557151897,0.007159625351188231,0.007162540816266973,0.007161021150925541,0.00715753794939734,0.007148121194570243,0.007130221917237898,0.007111578364790045,0.007111463106703521,0.007149671366375986,0.007174608840006986,0.007124889179965064,0.00703138304263524,0.006997237038297847,0.00699047878140126,0.007100568537418741,0.007233645716569092,0.007174268760549882,0.006730515036327905,0.00492998722379056,0.0
u_y,0.0,-0.00019734105049505458,-0.00024474366163369646,-0.0002505814587837458,-0.00025014076073670116,-0.0002492349950943076,-0.00024823899478107155,-0.0002471835342539072,-0.00024624918918566424,-0.0002456837522099903,-0.0002457571639392823,-0.0002467270571099993,-0.0002487751027905958,-0.0002519487333783432,-0.00025610757952948174,-0.00026095333732480765,-0.00026609792490617473,-0.00027115794539300244,-0.0002758353849667829,-0.0002800492887112569,-0.00028392201299884976,-0.0002877948258544445,-0.0002921093985311325,-0.00029742639852562656,-0.0003043039744984254,-0.0003135065540242985,-0.00032554065770122587,-0.0003411570490711405,-0.00036009356893694256,-0.0003829902593109827,-0.0004091324706749192,-0.0004397125397931201,-0.00047406650963506287,-0.0005132665096774772,-0.0005559861152398845,-0.0006018884128817843,-0.0006489404214261462,-0.0006966773240844198,-0.0007423560692755804,-0.0007837260115052825,-0.0008161261700554046,-0.0008374473198008268,-0.0008476832198533664,-0.0008485873986201064,-0.0008415125804109773,-0.000829420072382095,-0.0008168115141228736,-0.0008092128583079301,-0.0008124855677512969,-0.0008321624650169165,-0.0008697297208925597,-0.0009218894006953458,-0.0009846119684377703,-0.0010530964717926031,-0.0011224813775305145,-0.001188026208427799,-0.001246095465474461,-0.0012928872071695397,-0.001325941799375341,-0.0013474994647873818,-0.0013639343511064057,-0.0013809712628293095,-0.0014000532735023064,-0.0014198750769217582,-0.0014369189208228808,-0.0014445273637296258,-0.001436169239394315,-0.0014073153537329534,-0.0013808659008082225,-0.001404010542926649,-0.0015119097227265926,-0.0015742608777445583,-0.0016760890361832046,-0.0016715695148707835,-0.0015563107961887996,-0.0013652668204911266,-0.0012485343237117665,-0.0015163997997226849,-0.0009866088998113838,0.0
u_z,0.0,0.004743097136289787,0.005881727860302863,0.006023479385383461,0.006019641432244308,0.0060117812144383585,0.006008634221196858,0.006007988671330584,0.006009340823648098,0.006012897107837334,0.006018835185636768,0.0060271016147546855,0.006037405565852362,0.0060492649217180235,0.006062130340093126,0.006075518825689897,0.006089128372326128,0.0061028984028427494,0.006117030297320891,0.006131982703852421,0.006148435888696687,0.006167230164280649,0.006189323252202684,0.006215541015800367,0.006246601408275434,0.006282741115525834,0.006323956100738545,0.0063696744419936375,0.006419312306680381,0.0064719569119880945,0.006526959997820481,0.006583149275474932,0.006639696864367822,0.006695229416288476,0.006749325090538215,0.006801409159143706,0.006851298954265752,0.006897396573859606,0.006937173677907831,0.006968031973196933,0.006988648183136664,0.006998988600197959,0.006997789888755968,0.006983496743270313,0.00695699682841501,0.006923880852324792,0.00689103121766666,0.006864425718185005,0.006848124303285739,0.006845350820357515,0.00685830777491074,0.006889434063328487,0.006938684215503826,0.007001988846912377,0.007072733884764335,0.0071441130100345675,0.007211210146210411,0.0072715971272842616,0.0073250066293150794,0.007370780052459487,0.007406829793744205,0.007431199734570677,0.007444319346592062,0.007447550659905056,0.007442402981537054,0.007430250267889106,0.007413946541843734,0.0074064480616984115,0.00741240715200468,0.007424484976339384,0.007453042748402088,0.007543302623324996,0.0075922641354637796,0.007575728429463039,0.007603906156334578,0.007605909280222662,0.007465207430208584,0.007052701315306108,0.00562618958817992,0.0
