Q_r_vals,norm_G_var,norm_G_uni,norm_G_def,norm_G_add
1.0e-5,0.11670655164108441,0.7037695403829827,0.6983733296278608,0.6969467809180125
2.21221629107045e-5,0.14491249410848364,0.7069806112422253,0.6983733296278608,0.7071926169141523
4.893900918477489e-5,0.10397319649264763,0.7042825510168468,0.6983733296278608,0.7035091435000583
0.00010826367338740541,0.08259917145266475,0.7042553807996262,0.6983733296278608,0.7047285795310333
0.0002395026619987486,0.06316089213841693,0.6987716184903846,0.6983733296278608,0.7069025961074932
0.0005298316906283707,0.04377838635157134,0.7081652378341387,0.6983733296278608,0.6754401040173841
0.0011721022975334804,0.03733118443121842,0.6755165240283807,0.6983733296278608,0.628450346549254
0.002592943797404667,0.021789787328492072,0.6818125834967125,0.6983733296278608,0.40254963015876905
0.005736152510448681,0.013329048128001985,0.6687936821489301,0.6983733296278608,0.3635823950366473
0.01268961003167922,0.01349968348199744,0.5146484108585372,0.6983733296278608,0.1863940798025818
0.02807216203941177,0.010136171139153936,0.37898306927535197,0.6983733296278608,0.10685818407856307
0.06210169418915616,0.013586568649762196,0.22677287872591825,0.6983733296278608,0.0899196769564028
0.1373823795883263,0.010914505556341256,0.13278432171563034,0.6983733296278608,0.029330820471226076
0.30391953823131973,0.011589917423564926,0.07438504795912335,0.6983733296278608,0.03792987638708998
0.6723357536499337,0.011736754094756482,0.05522351824010113,0.6983733296278608,0.005899549016961017
1.4873521072935114,0.011853079443436698,0.01965371750336409,0.6983733296278608,0.004798864840068052
3.2903445623126686,0.019078349748991724,0.014748758356555971,0.6983733296278608,0.0038592765833020876
7.27895384398315,0.013465651414381974,0.0043080279840208395,0.6983733296278608,0.011217090150768607
16.102620275609393,0.01981814020950926,0.0021718328770146925,0.6983733296278608,0.0012023417989463928
35.62247890262442,0.01762499039205799,0.002720816817452863,0.6983733296278608,0.001963141241521947
78.80462815669912,0.029562879613315354,0.0015852926228701796,0.6983733296278608,0.0019008932506140918
174.33288221999874,0.012599242817921694,0.0003181971357854682,0.6983733296278608,0.001418980364510983
385.6620421163472,0.012727029332812037,0.0005612395215865079,0.6983733296278608,0.0005445340771995975
853.1678524172805,0.01278056893584044,0.00017183139576170412,0.6983733296278608,0.0001258920403142087
1887.3918221350978,0.013171396297409066,8.636096135722982e-5,0.6983733296278608,3.121569551133285e-5
4175.3189365604,0.013461455643648335,0.0033401601619720456,0.6983733296278608,0.00036331336476208434
9236.708571873865,0.014046988509465274,4.558429581099824e-5,0.6983733296278608,0.0001615437356953167
20433.59717856944,0.013449669904437292,0.0003840251767699711,0.6983733296278608,3.70544505670096e-5
45203.53656360241,0.019163277871424675,0.00046513156642958827,0.6983733296278608,5.785143561454797e-6
100000.0,0.017640901948315222,7.195122409793699e-6,0.6983733296278608,6.473426934513607e-6
