This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     4976
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   100421

Total number of variables............................:      706
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      274
                     variables with only upper bounds:        0
Total number of equality constraints.................:      585
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45  6.9246305e-03 1.80e-06 1.27e-05  -4.0 3.30e-03  -2.3 1.00e+00 1.00e+00h  1
  46  6.9213014e-03 4.24e-05 1.68e-05  -4.0 1.88e-02  -2.8 1.00e+00 1.00e+00h  1
  47  6.9191950e-03 2.41e-06 1.17e-05  -4.0 3.61e-03  -2.4 1.00e+00 1.00e+00h  1
  48  6.9153069e-03 8.36e-05 2.20e-05  -4.0 2.44e-02  -2.8 1.00e+00 1.00e+00h  1
  49  6.9117849e-03 3.54e-06 1.33e-05  -4.0 3.86e-03  -2.4 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  6.9084531e-03 2.24e-04 3.44e-05  -4.0 3.44e-02  -2.9 1.00e+00 1.00e+00h  1
  51  6.9004345e-03 5.86e-06 1.92e-05  -4.0 4.18e-03  -2.5 1.00e+00 1.00e+00h  1
  52  6.8759864e-03 2.37e-04 6.93e-05  -4.0 6.59e-02  -2.9 1.00e+00 1.00e+00H  1
  53  6.8800856e-03 7.99e-06 2.94e-05  -4.0 4.52e-03  -2.5 1.00e+00 1.00e+00h  1
  54  6.8836634e-03 1.34e-04 4.01e-03  -4.0 4.60e-01  -3.0 8.64e-01 4.99e-02h  5
  55  6.8101602e-03 7.14e-06 5.74e-05  -4.1 6.10e-03  -2.6 1.00e+00 1.00e+00h  1
  56  6.8364088e-03 1.72e-06 3.52e-05  -4.0 2.24e-03  -2.1 1.00e+00 1.00e+00h  1
  57  6.8525542e-03 1.23e-05 2.14e-05  -4.0 5.92e-03  -2.6 1.00e+00 1.00e+00h  1
  58  6.8070551e-03 1.35e-06 4.73e-05  -4.1 3.05e-03  -2.2 1.00e+00 1.00e+00h  1
  59  6.8388939e-03 1.74e-05 2.85e-05  -4.0 6.63e-03  -2.7 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  6.7967146e-03 1.43e-06 4.18e-05  -4.1 2.99e-03  -2.2 1.00e+00 1.00e+00h  1
