Error,Default,Variational,Toggling,Universal
X₁,0.6496084185334119,0.7653475472196309,0.3385254704855372,0.30686868230492903
Y₁,0.478127933427821,0.34103889927616815,0.27568024690943743,0.27009769568805525
Z₁,0.5911495287250866,0.11610109753500313,0.03682497719722079,0.38214264780876334
X₂,0.5687640781126115,0.70703846710701,0.47155756048157355,0.3166254819163769
Y₂,0.4261059477286293,0.31450482282314834,0.4973582547552031,0.32114950230826267
Z₂,0.571026783391395,0.10418267340466424,0.026185440399602543,0.2838832750311365
XX,0.6788742510930558,0.6480063648810175,0.3978263098390248,0.5693321713124757
XY,0.4909865313026146,0.31678698509460995,0.3249118402458257,0.2527204515271495
XZ,0.4038456548284495,0.24010587414301623,0.23282975592293728,0.27469633926168874
YX,0.5107683074336291,0.3180084438239661,0.24817389185147173,0.24375436351980598
YY,0.723478679288427,0.3306202964609432,0.3142723131618655,0.4032233486872446
YZ,0.5862354367259757,0.26358558424200934,0.37712177267965935,0.3424370031666053
ZX,0.4060668371812182,0.27205559925668765,0.22139494968191234,0.32884295816928283
ZY,0.582979183052864,0.18962790394217927,0.26987034781136054,0.4210169257238197
ZZ,0.7051943521249763,0.07973174137078914,0.026631422808917404,0.4170372107498375
