Error,Default,Variational,Toggling,Universal
X₁,0.745462954201145,0.48073217616545727,0.28075889782486985,0.29904671313887654
Y₁,0.5013216072445104,0.2516888299076991,0.5630165494580877,0.2769628691574577
Z₁,0.6401271466324154,0.017010996457295206,0.09053344131753431,0.2755234159885706
X₂,0.7466197629905993,0.4148536317106787,0.3282237008297954,0.6585384936514111
Y₂,0.5026800586146211,0.2876675881445732,0.2872748734155381,0.2769964478445726
Z₂,0.6401322327715822,0.017670533263325523,0.0708137456768535,0.28641557361778813
XX,0.7937038494265752,0.6652595792412384,0.44392733089920705,0.33532020804893337
XY,0.5859266963899706,0.19603583834155935,0.3573113149579427,0.23225999284093937
XZ,0.5013061540348295,0.26060086851846803,0.34405565994654175,0.2549601669297194
YX,0.5859329686241356,0.2539602494554302,0.29287118184039657,0.33526509186446535
YY,0.7937038175953741,0.31532334984145405,0.33021781161648117,0.3101508910522517
YZ,0.7454661907637622,0.42490255589008447,0.37182847776756844,0.2394558392530755
ZX,0.5026773660352886,0.2373311688323588,0.37755501190219287,0.1530975460825754
ZY,0.7466112983600318,0.3931241895652686,0.343091859894242,0.18402302820396374
ZZ,0.9999827891080336,0.02155258084016045,0.050135028794702975,0.2226634727610177
