Error,Default,Variational,Toggling,Universal
X₁,0.21753952004019864,0.8241118501344542,0.7292207999307267,0.40125116397169996
Y₁,0.27054378164451337,0.3715693181289318,0.6795119371932166,0.2210817575230665
Z₁,0.7738147346786612,0.23200292920729434,0.7204094223621343,0.3276045855017836
X₂,0.2184617557549621,0.7875455804166127,0.5127961864753918,0.5695875183337472
Y₂,0.2712458201576669,0.5651237304765965,0.322884288086267,0.20886233191249642
Z₂,0.773825817391019,0.5578609738241205,0.3537110293723543,0.2787038180955257
XX,0.7400651832950514,0.7851830864604711,0.61794153105771,0.4331891446720172
XY,0.38273320573322006,0.5317570062578433,0.4262521780074227,0.33094773538506583
XZ,0.2705109831189585,0.5428762546547514,0.3751067718758632,0.32294153385824614
YX,0.3827274478389731,0.27895691828931757,0.41462077124381264,0.24702602257290013
YY,0.7400522922334419,0.4293355535127418,0.5066599304482102,0.40109764387237
YZ,0.2176080422682342,0.251572060366078,0.3758779250942623,0.22705756212094383
ZX,0.27125177086402064,0.33764920257029174,0.5782154711695346,0.29857207117780926
ZY,0.21850227610343143,0.27977225283069296,0.4798529117134168,0.23653799350656515
ZZ,1.0000014219933238,0.0564658621333104,0.0015397849019685953,0.35782440288345324
