Q_r_vals,norm_G_var_z,norm_G_uni_z,norm_G_def_z,norm_G_add_z,var_obj_def_z,var_obj_tog_z,var_obj_uni_z,var_obj_var_z
1.0e-5,0.7833591451647035,0.7793851415552974,0.7937334467926097,0.7985014419306932,0.60547134405764,0.6132135900525423,0.5843625183050131,0.5896692707282298
2.395026619987486e-5,0.7675287750126255,0.9381679243771806,0.7937334467926097,0.7979042680868488,0.60547134405764,0.6079001632619432,0.8377691437854682,0.5637146517063248
5.736152510448681e-5,0.7750188373498464,0.7957064643160461,0.7937334467926097,0.7898553534365991,0.60547134405764,0.6002982603269849,0.6086915932958161,0.5773010821788401
0.00013738237958832623,0.7482177571855112,0.796917468264349,0.7937334467926097,0.7769934851238005,0.60547134405764,0.5805059610670814,0.6105070227064446,0.5369759820707916
0.00032903445623126676,0.7455571077136561,0.7935327665023828,0.7937334467926097,0.735264381199018,0.60547134405764,0.5206834119139649,0.6043695283648379,0.5332558108475494
0.0007880462815669912,0.7029042302255961,0.7942641457849996,0.7937334467926097,0.6180680065944052,0.60547134405764,0.36874893513602336,0.6560123517814535,0.47538480127077665
0.0018873918221350976,0.3463816695369792,0.7777647974191378,0.7937334467926097,0.3727180359795849,0.60547134405764,0.13656380090788095,0.5804448669302757,0.11871027717097284
0.004520353656360245,0.1513203556984558,0.7613355027756592,0.7937334467926097,0.18062942047260125,0.60547134405764,0.034165228957169405,0.6138227541995728,0.02411385576821961
0.010826367338740546,0.04658470085889476,0.13733123400662955,0.7937334467926097,0.08103227412101227,0.60547134405764,0.008090661873543459,0.020377384835736787,0.0028251271125571903
0.02592943797404667,0.016126896021859436,0.3643608286309502,0.7937334467926097,0.03951743393592091,0.60547134405764,0.0026312676976481294,0.14049047591872052,0.0001639886912963299
0.06210169418915616,0.01573184005776421,0.13180634781061837,0.7937334467926097,0.035218757474761844,0.60547134405764,0.0021204639953901518,0.019628078811421992,0.0004652537372974986
0.14873521072935114,0.015373804556145135,0.08463541655333173,0.7937334467926097,0.006955202464845771,0.60547134405764,0.0005325973257699173,0.00986477296747207,0.00021021369027810684
0.3562247890262442,0.016136789020202966,0.04279371865233615,0.7937334467926097,0.005716348682721465,0.60547134405764,0.00020379552398164648,0.003467109932514246,1.4868869059854412e-5
0.8531678524172809,0.01873068452664317,0.01892908661017256,0.7937334467926097,0.005096633881592232,0.60547134405764,0.0007211023024645643,0.001322644930999849,1.7935028497126316e-6
2.043359717856942,0.016803344366779466,0.014592899288487945,0.7937334467926097,0.0011035467926842559,0.60547134405764,0.0003283023958125466,0.001069564251774327,4.312608184420876e-5
4.893900918477494,0.007655642427506879,0.007601957452230364,0.7937334467926097,0.0037657949552864028,0.60547134405764,0.000909937108095168,0.00042568266326119513,0.0007362534623263081
11.7210229753348,0.018259553474439305,0.004631241996845088,0.7937334467926097,0.0001227499870550383,0.60547134405764,0.0004534048589348497,0.0005678597516426135,1.655659931838596e-7
28.072162039411772,0.018211392578729058,0.0007561354323250938,0.7937334467926097,0.024752380686930895,0.60547134405764,0.0002973827935007736,0.00041721242110633093,2.5395692348493143e-7
67.23357536499338,0.018097274014202237,0.0003413590750766769,0.7937334467926097,0.0006880362806756559,0.60547134405764,0.0003769038428195942,0.000313549331148212,9.947179597064877e-7
161.02620275609394,0.018347791855570186,0.0005537662255887941,0.7937334467926097,0.00047166230779157833,0.60547134405764,0.0003493446983674945,0.00034273238826948747,1.7045906903124147e-10
385.6620421163472,0.018514015561152345,0.00028181098089747117,0.7937334467926097,0.000255040366620667,0.60547134405764,0.0003526943218329181,0.00047936496199515696,1.2728650213156104e-7
923.6708571873866,0.018546278796920782,5.7281541468258986e-5,0.7937334467926097,0.00014683744773303698,0.60547134405764,0.00024276406312327868,0.0003600734684085574,4.148556178279689e-8
2212.216291070448,0.01785967281410926,0.0024232041811212152,0.7937334467926097,0.0003406798282514656,0.60547134405764,0.0003123778763932133,0.000418661429061651,1.0277569936473445e-7
5298.316906283708,0.016898736756254633,5.724997912852133e-5,0.7937334467926097,1.777168428022245e-5,0.60547134405764,0.00033784691515841416,0.0003064669114476881,2.2137948959777565e-6
12689.610031679234,0.013643815859358546,8.381671042668444e-5,0.7937334467926097,0.0007567284180096953,0.60547134405764,0.00032723519559060024,0.0003051135982453375,0.0001255739533810984
30391.95382313195,0.0182067487341877,1.895249149988839e-5,0.7937334467926097,0.00018861553407812688,0.60547134405764,0.00031525573310579966,0.0002957698184661571,4.033097589832878e-6
72789.53843983146,0.017530256761277674,5.781362866706511e-5,0.7937334467926097,9.325172614871191e-5,0.60547134405764,0.00028254956140909694,0.0002944944215461151,1.6253735224936348e-7
174332.88221999872,0.01832410661615444,4.4227571760676614e-5,0.7937334467926097,7.888628311437697e-5,0.60547134405764,0.00030645546543784063,0.00030533272044415736,3.236322629347592e-6
417531.89365604,0.01620900388048142,7.851603368126168e-7,0.7937334467926097,0.0002807538237244392,0.60547134405764,0.00033594653850204417,0.00031210077927729807,2.0156600530699033e-5
1.0e6,0.017382217976782778,4.656088953482583e-7,0.7937334467926097,2.345779914124308e-5,0.60547134405764,0.0003267411281052047,0.00029143302091887537,3.5053811672187595e-7
