Error,Default,Variational,Toggling,Universal
X₁,0.6276510340784649,0.24513347841651173,0.3320208482591812,0.34630873702450526
Y₁,0.6451227427557804,0.5550438704537691,0.447566603083457,0.26805236294864154
Z₁,0.7531568265374076,0.017287727510550712,0.08381439374570329,0.3134018582852588
X₂,0.6300769036553706,0.47745904349025237,0.2590944649370633,0.4047154106281798
Y₂,0.6463390216750904,0.3466721889587247,0.7396053894510045,0.2578210880112311
Z₂,0.7531976605474422,0.01911415547119987,0.07849295600129791,0.6089986441822717
XX,0.711094864246482,0.4368769338291665,0.3894494064456958,0.304597214972739
XY,0.4341767125382763,0.31095855127804445,0.418948025098343,0.20960605766745527
XZ,0.6450800805066597,0.3076877864488751,0.4086818699602569,0.25270147817408456
YX,0.4342276234129367,0.34218281553731805,0.40240021184648334,0.15947125155797193
YY,0.7110862727005488,0.4419480702032515,0.39453736153710056,0.3761304768458451
YZ,0.6276853152970164,0.3164393228780651,0.38705073059607664,0.28196860594775747
ZX,0.6463356625155233,0.3683008802806765,0.22506990021802492,0.18700355409242503
ZY,0.6300447127335063,0.2788173012562821,0.24546177671779293,0.25647669936238804
ZZ,0.9999479596354484,0.023648111035370307,0.058810758224541,0.384443416327915
