ä_vals,norm_G_uni,norm_G_def,norm_G_add,norm_G_var,norm_G_var_x,norm_G_var_y,norm_G_var_z,norm_G_uni_x,norm_G_uni_y,norm_G_uni_z,norm_G_def_x,norm_G_def_y,norm_G_def_z,norm_G_add_x,norm_G_add_y,norm_G_add_z
0.001,0.669101264151796,0.6690512870762578,0.6691012559855661,0.6694277108787784,0.794719118203552,0.45520260590837763,0.7583614085244057,0.79434924503103,0.4549298074662459,0.7580247399581124,0.7576539967917221,0.4548066071605486,0.7946932572765026,0.7580247440680306,0.45492979168741565,0.7943492322012525
0.0013738237958832624,0.6712530835470686,0.6712499831766169,0.6712493378665506,0.6713096938103694,0.8021981936199568,0.4596509904094047,0.7520798974017469,0.80218066142967,0.45959022595244814,0.7519883632590877,0.8021860970177244,0.4595850054931492,0.7519788470189771,0.8021849906030132,0.4595851973974068,0.7519778255992318
0.0018873918221350976,0.6742065160583008,0.6740588422530046,0.6740535974792768,0.6740206365716773,0.8119105069983436,0.4659531246910701,0.7441982780256186,0.7443869393970287,0.46630330977019874,0.8119292990076751,0.7442432735171609,0.4660212138176643,0.8119120394241885,0.8118855136014489,0.4660099488202875,0.744265330016094
0.002592943797404667,0.6778274132528406,0.6776605228944926,0.6778021843032844,0.6792113938826702,0.7447301603408082,0.4767777024993537,0.8161263188078488,0.8245139819922876,0.47491273315546156,0.7340555246107726,0.8243685184715482,0.47486558467002765,0.7337474655419021,0.8244997410096527,0.4748890552734998,0.7340177566267007
0.003562247890262444,0.6771666677050252,0.6798346959132985,0.6760990544079432,0.6762201927618755,0.7793473913561276,0.4681034024450087,0.78120978448449,0.7804850607720737,0.4694559722304818,0.7815589701125198,0.7829138938962172,0.4742889210891292,0.7823012727545486,0.7811315366008321,0.46745883807335376,0.7797067885496431
0.004893900918477494,0.6615027071056603,0.6835088938736275,0.6581234175572365,0.676220192758309,0.7793473911642003,0.46810340243857523,0.7812097846721515,0.7743787826547871,0.4395247819019812,0.7706045567602128,0.7884544138171585,0.4811968020997131,0.7808754657040108,0.6989411567136743,0.44671229780926586,0.828716798148769
0.006723357536499335,0.6484738121689332,0.6793796368973632,0.6270050656221068,0.6762201927637226,0.7812097844942147,0.46810340244813936,0.7793473913488136,0.8389693417912641,0.434541227557772,0.6719108671577634,0.7822051795638003,0.47343843310123135,0.7824952980270579,0.6163054098106392,0.412034276933431,0.8526755101222502
0.009236708571873866,0.6070364052664566,0.6778946189324703,0.5921972191618453,0.6762201927352273,0.7812097860283952,0.46810340239582304,0.7793473897814635,0.5563834214415375,0.4274348673352491,0.8372909270225835,0.778507763065295,0.47086807868220054,0.7843080150499153,0.817782409563833,0.44290812103953137,0.5159011268821717
0.01268961003167922,0.5383500852433722,0.6749955048612762,0.4993558427281322,0.676220192725575,0.7793473914677075,0.4681034023611246,0.7812097843478928,0.7488879855174825,0.48342033672467905,0.38274193348795527,0.7799117208663532,0.4652224304155852,0.7798523633018902,0.7242579631933802,0.479097705783443,0.2947118592075735
0.017433288221999882,0.3967797277789911,0.6745203472189728,0.3829345103577752,0.6762201928030352,0.7793473914293189,0.4681034025106728,0.7812097844691139,0.1278403358045513,0.5268238331001635,0.5356750144322587,0.7798022634851608,0.4643294405903986,0.7794293375813588,0.5015026108245407,0.5204638054350355,0.12683711481374954
0.02395026619987486,0.3276633610379333,0.6760455163222477,0.3184806607882676,0.676220192799302,0.7793473918776517,0.4681034023914365,0.7812097841288178,0.22674275375696865,0.3813439654248034,0.37490336393202794,0.7887679521531609,0.46718018574017334,0.7721884110734092,0.2303573150384575,0.3542346905579336,0.3708499767684117
0.03290344562312668,0.30636342884970286,0.6743078756219963,0.2742559359668389,0.6762201456346774,0.7793473247553336,0.46810330401918626,0.781209808129512,0.23606281167281112,0.3361966784230243,0.3468307964532732,0.7794229397839294,0.4639298202685601,0.7795708668134991,0.3137737494370923,0.258419251822234,0.25057480664119036
0.04520353656360243,0.30976531084894643,0.6744675924149662,0.27951703992147675,0.6762201889547255,0.7793469493109384,0.4681033966747975,0.7812102208784405,0.2897236355991971,0.4287086968063683,0.21086360014127378,0.7785213504657771,0.46422976363490365,0.7806516631442181,0.24018107729696223,0.3620583756718637,0.23631166679560434
0.06210169418915616,0.18551064654062543,0.6750256814740611,0.1527469993308228,0.6762202884668254,0.7793476273588383,0.46810360010336727,0.7812096379382707,0.16600417604714987,0.20872616863124435,0.18180159494348208,0.7798728278944264,0.4652791841547671,0.7799250323729898,0.17492964326277408,0.19506399276579786,0.08824736196389646
0.0853167852417281,0.12209671146984023,0.6760239883384572,0.06088774250801927,0.6762201984639425,0.7812090559294624,0.4681034090238082,0.7793481304385572,0.13431281983859417,0.1497355446046422,0.08224176996628434,0.7809542942695669,0.46715455580516035,0.7799631149406446,0.0737571159779684,0.05183602698578384,0.057070084560305566
0.11721022975334802,0.044690118085195275,0.6777802114239685,0.019712376738980332,0.6762201562598955,0.7793422709286671,0.4681033512731071,0.7812148465779124,0.04709128837757014,0.03490777754441305,0.052071288333602625,0.7811553404563149,0.47044640248887615,0.7817388913267145,0.028200190266000656,0.014511949280876317,0.016424990670064026
0.16102620275609392,0.04006139271220651,0.6803984179565111,0.038986738248878834,0.6762201035652922,0.7812047408971076,0.4681031924409065,0.7793523773578627,0.043220658890902625,0.030122358064713913,0.04684116118100298,0.7829562133795126,0.475341268660459,0.7828977718295619,0.04018782494854525,0.03203580506786209,0.04473658473022916
0.2212216291070449,0.03141748099166548,0.6838791078928376,0.01911307421178784,0.6762198132221519,0.7812083360352442,0.46810258592985143,0.7793485177013599,0.03127241867049222,0.027354673878118397,0.03562535042638582,0.7841993396062912,0.48184459518449585,0.7855933888877257,0.020892994342148783,0.015083205135369418,0.02136302315784533
0.30391953823131973,0.05791630117938998,0.6929224745606336,0.02561602975120206,0.6579637295290016,0.7187795930195684,0.45305505610077024,0.8020565394666663,0.053771181883018986,0.06126212951821677,0.05871559213693419,0.7927324890244689,0.4986575509096057,0.7873773837478261,0.03358150753442241,0.03226129932329991,0.011005282395883867
