ä_vals,norm_G_uni,norm_G_def,norm_G_add,norm_G_var,norm_G_var_x,norm_G_var_y,norm_G_var_z,norm_G_uni_x,norm_G_uni_y,norm_G_uni_z,norm_G_def_x,norm_G_def_y,norm_G_def_z,norm_G_add_x,norm_G_add_y,norm_G_add_z
0.001,0.669101264151796,0.6690512870762578,0.6690494259150167,0.6693193238487921,0.7949326749338179,0.45507008851147757,0.757955208101081,0.79434924503103,0.4549298074662459,0.7580247399581124,0.7576539967917221,0.4548066071605486,0.7946932572765026,0.7946918894153897,0.4548050383348304,0.7576513499948297
0.0013738237958832624,0.6712530835470686,0.6712499831766169,0.6712485039576296,0.6715153782252461,0.8024344174843329,0.4598099784427966,0.7523017387486086,0.80218066142967,0.45959022595244814,0.7519883632590877,0.8021860970177244,0.4595850054931492,0.7519788470189771,0.8021844038580758,0.4595843469323449,0.751976761082468
0.0018873918221350976,0.6742065160583008,0.6740588422530046,0.6741409106892635,0.6741067428575832,0.8119124449598805,0.46610097580747945,0.7443068078053897,0.7443869393970287,0.46630330977019874,0.8119292990076751,0.7442432735171609,0.4660212138176643,0.8119120394241885,0.811720993511758,0.46620765554742183,0.7444940830086106
0.002592943797404667,0.6778274132528406,0.6776605228944926,0.6776008647952176,0.6777429184639611,0.8244740484968456,0.4747681013416787,0.7339866055533588,0.8245139819922876,0.47491273315546156,0.7340555246107726,0.8243685184715482,0.47486558467002765,0.7337474655419021,0.733766250683225,0.47475069272297055,0.8242856509794574
0.003562247890262444,0.6771666677050252,0.6798346959132985,0.6796647246070826,0.6796702273039489,0.7927026465592075,0.47421520364081254,0.7720928317118269,0.7804850607720737,0.4694559722304818,0.7815589701125198,0.7829138938962172,0.4742889210891292,0.7823012727545486,0.7926909771641173,0.47420505623288445,0.7720981404242464
0.004893900918477494,0.6615027071056603,0.6835088938736275,0.6515878747999096,0.6532930146880783,0.846158658844143,0.4465253090724684,0.6671950761476234,0.7743787826547871,0.4395247819019812,0.7706045567602128,0.7884544138171585,0.4811968020997131,0.7808754657040108,0.8474629741293948,0.4444831297909476,0.6628175204793866
0.006723357536499335,0.6484738121689332,0.6793796368973632,0.6187038717879828,0.6532932290477866,0.846158666613855,0.4465255784587248,0.6671954420707803,0.8389693417912641,0.434541227557772,0.6719108671577634,0.7822051795638003,0.47343843310123135,0.7824952980270579,0.8607873700395602,0.4108689885258464,0.5844552567985418
0.009236708571873866,0.6070364052664566,0.6778946189324703,0.5802173235194253,0.5708958191316743,0.8630487150627364,0.38733370481018536,0.4623050375221012,0.5563834214415375,0.4274348673352491,0.8372909270225835,0.778507763065295,0.47086807868220054,0.7843080150499153,0.8569617593570692,0.4091134665301978,0.4745767446710091
0.01268961003167922,0.5383500852433722,0.6749955048612762,0.5029743088951167,0.6532930148547529,0.8461586589541162,0.44652530936331397,0.6671950762468284,0.7488879855174825,0.48342033672467905,0.38274193348795527,0.7799117208663532,0.4652224304155852,0.7798523633018902,0.8090076456034958,0.41407800927276917,0.2858372718090852
0.017433288221999882,0.3967797277789911,0.6745203472189728,0.36940688289942064,0.33977101680375865,0.7756411131678763,0.2382911821299479,0.0053807551134517325,0.1278403358045513,0.5268238331001635,0.5356750144322587,0.7798022634851608,0.4643294405903986,0.7794293375813588,0.7692146702030953,0.30059187506024215,0.03841410343492446
0.02395026619987486,0.3276633610379333,0.6760455163222477,0.3345796867457583,0.3368732556896689,0.7772715417492492,0.2218776907458403,0.01147053457391721,0.22674275375696865,0.3813439654248034,0.37490336393202794,0.7887679521531609,0.46718018574017334,0.7721884110734092,0.7860775381633,0.21572638581191553,0.001935136262059441
0.03290344562312668,0.30636342884970286,0.6743078756219963,0.33451005102829084,0.6532930142851162,0.8461586582145854,0.4465253080157048,0.6671950766250582,0.23606281167281112,0.3361966784230243,0.3468307964532732,0.7794229397839294,0.4639298202685601,0.7795708668134991,0.7916327368805429,0.21099937873608765,0.0008980374682419202
0.04520353656360243,0.30976531084894643,0.6744675924149662,0.3346211410116122,0.3460227948103833,0.7551885035190096,0.27031718485932943,0.012562696052810659,0.2897236355991971,0.4287086968063683,0.21086360014127378,0.7785213504657771,0.46422976363490365,0.7806516631442181,0.7993077849106954,0.2026570763757503,0.0018985617483909757
0.06210169418915616,0.18551064654062543,0.6750256814740611,0.33778464717033496,0.34699871505832053,0.7578971668413004,0.27043547626874254,0.012663502064918846,0.16600417604714987,0.20872616863124435,0.18180159494348208,0.7798728278944264,0.4652791841547671,0.7799250323729898,0.7987281732834197,0.21400753155271274,0.0006182366748723315
0.0853167852417281,0.12209671146984023,0.6760239883384572,0.3364190865057402,0.3367192571419213,0.7823374841188206,0.21353719138919677,0.014283095917746368,0.13431281983859417,0.1497355446046422,0.08224176996628434,0.7809542942695669,0.46715455580516035,0.7799631149406446,0.783665566411793,0.22076804551267495,0.0048236475927527014
