This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   466444
Number of nonzeros in inequality constraint Jacobian.:       32
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1539
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      378
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1458
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  6.7273755e-02 2.06e-01 4.61e+00  -3.2 1.97e+00    -  1.00e+00 7.94e-01h  1
  48  6.8529783e-02 1.90e-01 9.22e-01  -3.3 1.37e+00    -  1.00e+00 1.00e+00h  1
  49  5.7821693e-02 7.28e-02 4.84e-01  -3.9 1.18e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  5.8239730e-02 6.36e-02 7.23e-01  -4.0 5.47e-01    -  1.00e+00 1.00e+00h  1
  51  5.6993661e-02 1.31e-02 3.06e-01  -4.0 5.12e-01    -  1.00e+00 1.00e+00h  1
  52  5.7552198e-02 7.47e-03 3.90e-01  -4.0 2.60e-01    -  1.00e+00 1.00e+00h  1
  53  5.5744911e-02 2.50e-02 7.90e-01  -4.0 5.25e-01    -  1.00e+00 1.00e+00h  1
  54  5.8554917e-02 2.91e-01 1.58e+01  -3.2 4.93e+00    -  1.00e+00 4.08e-01h  2
  55  5.1234395e-02 7.87e-02 1.82e+00  -3.3 1.24e+00    -  1.00e+00 1.00e+00h  1
  56  4.8304625e-02 4.06e-02 4.41e-01  -3.8 7.36e-01    -  1.00e+00 9.99e-01h  1
  57  4.6922130e-02 1.92e-02 3.94e-01  -4.0 5.08e-01    -  1.00e+00 1.00e+00h  1
  58  4.6873810e-02 9.13e-03 2.86e-01  -4.0 3.41e-01    -  1.00e+00 1.00e+00h  1
  59  4.6577586e-02 1.59e-02 2.30e-01  -4.0 2.84e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  4.5594033e-02 3.35e-01 5.68e-01  -4.0 1.31e+00    -  1.00e+00 1.00e+00h  1
  61  4.7092436e-02 1.89e-01 6.75e-01  -3.6 1.22e+00    -  1.00e+00 1.00e+00h  1
  62  4.3256836e-02 4.71e-02 1.92e-01  -3.7 6.56e-01    -  1.00e+00 1.00e+00h  1
  63  4.2906104e-02 4.04e-02 7.23e-02  -4.0 5.32e-01    -  1.00e+00 1.00e+00h  1
  64  4.2459535e-02 6.16e-03 1.49e-01  -4.0 3.28e-01    -  1.00e+00 1.00e+00h  1
  65  4.2640114e-02 2.36e-03 1.84e-01  -4.0 1.46e-01    -  1.00e+00 1.00e+00h  1
  66  4.2496650e-02 5.59e-03 1.15e-01  -4.0 2.15e-01    -  1.00e+00 1.00e+00h  1
  67  4.2403105e-02 6.43e-02 3.81e-01  -4.0 8.00e-01    -  1.00e+00 1.00e+00h  1
  68  4.2505663e-02 2.87e-02 3.85e-01  -4.0 4.95e-01    -  1.00e+00 1.00e+00h  1
  69  4.1749274e-02 1.19e-02 1.62e-01  -4.1 3.76e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.1522579e-02 6.63e-03 6.46e-02  -4.0 2.43e-01    -  1.00e+00 1.00e+00h  1
  71  4.1634944e-02 2.03e-03 7.71e-02  -4.0 1.06e-01    -  1.00e+00 1.00e+00h  1
  72  4.1541055e-02 7.57e-03 9.38e-02  -4.0 2.01e-01    -  1.00e+00 1.00e+00h  1
  73  4.1317315e-02 4.15e-02 5.02e-01  -4.1 1.03e+00    -  1.00e+00 5.00e-01h  2
  74  4.1140430e-02 4.21e-02 4.00e-01  -4.0 1.26e+00    -  1.00e+00 2.50e-01h  3
  75  4.0904760e-02 6.47e-02 4.23e-01  -4.0 8.49e-01    -  1.00e+00 1.00e+00h  1
  76  4.0992930e-02 2.86e-02 2.37e-01  -4.0 3.95e-01    -  1.00e+00 1.00e+00h  1
  77  4.0392053e-02 7.47e-03 7.66e-02  -4.0 3.05e-01    -  1.00e+00 1.00e+00h  1
  78  4.0553130e-02 1.46e-03 7.20e-02  -4.0 1.40e-01    -  1.00e+00 1.00e+00h  1
  79  4.0420090e-02 3.72e-03 7.35e-02  -4.0 2.19e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  4.0196714e-02 1.18e-02 1.98e-01  -4.0 7.74e-01    -  1.00e+00 5.00e-01h  2
  81  4.0089190e-02 2.73e-02 2.77e-01  -4.0 1.12e+00    -  1.00e+00 5.00e-01h  2
  82  4.0657582e-02 2.20e-02 4.02e-01  -4.0 7.73e-01    -  1.00e+00 1.00e+00H  1
  83  3.9982323e-02 1.71e-02 2.04e-01  -4.1 4.05e-01    -  1.00e+00 1.00e+00h  1
  84  3.9476526e-02 7.49e-03 5.13e-02  -4.0 2.66e-01    -  1.00e+00 1.00e+00h  1
  85  3.9444311e-02 2.34e-03 5.75e-02  -4.0 1.74e-01    -  1.00e+00 1.00e+00h  1
  86  3.9462818e-02 9.31e-03 6.81e-02  -4.0 3.25e-01    -  1.00e+00 1.00e+00h  1
  87  3.9337997e-02 1.10e-02 5.02e-01  -4.1 6.30e-01    -  1.00e+00 5.00e-01h  2
  88  3.9210476e-02 5.82e-03 1.18e-01  -4.0 2.88e-01    -  1.00e+00 1.00e+00h  1
  89  3.9226926e-02 2.75e-03 4.67e-02  -4.0 1.68e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  3.9221614e-02 8.69e-04 2.33e-02  -4.0 8.08e-02    -  1.00e+00 1.00e+00h  1
  91  3.9211865e-02 5.13e-04 2.43e-02  -4.0 8.23e-02    -  1.00e+00 1.00e+00h  1
  92  3.9268506e-02 1.89e-04 1.04e-01  -4.0 2.56e-01    -  1.00e+00 1.00e+00H  1
  93  3.9247237e-02 4.12e-03 1.52e-01  -4.0 1.97e-01    -  1.00e+00 1.00e+00h  1
  94  3.9085843e-02 2.19e-03 7.98e-02  -4.1 1.48e-01    -  1.00e+00 1.00e+00h  1
  95  3.9071110e-02 2.13e-03 3.03e-02  -4.0 1.56e-01    -  1.00e+00 1.00e+00h  1
  96  3.9094426e-02 3.54e-04 3.82e-02  -4.0 1.36e-01    -  1.00e+00 1.00e+00H  1
  97  3.9223266e-02 2.51e-04 8.85e-02  -4.0 1.45e-01    -  1.00e+00 1.00e+00H  1
  98  3.9066656e-02 9.25e-04 5.59e-02  -4.0 1.12e-01    -  1.00e+00 1.00e+00h  1
  99  3.9040409e-02 3.50e-04 2.76e-02  -4.0 6.54e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  3.9044933e-02 3.17e-04 1.60e-02  -4.0 5.97e-02    -  1.00e+00 1.00e+00h  1
 101  3.9022191e-02 2.72e-04 1.69e-01  -4.1 4.04e-01    -  1.00e+00 1.00e+00H  1
 102  3.9038019e-02 1.78e-02 3.18e-01  -4.0 4.54e-01    -  1.00e+00 1.00e+00h  1
 103  3.9001408e-02 1.56e-02 5.36e-01  -4.1 4.65e-01    -  1.00e+00 5.00e-01h  2
 104  3.8764247e-02 9.56e-03 6.87e-02  -4.0 2.08e-01    -  1.00e+00 1.00e+00h  1
 105  3.8858043e-02 2.82e-03 3.74e-02  -4.0 1.34e-01    -  1.00e+00 1.00e+00h  1
 106  3.8823721e-02 1.25e-03 3.33e-02  -4.0 9.95e-02    -  1.00e+00 1.00e+00h  1
 107  3.8854389e-02 4.32e-04 2.82e-02  -4.0 6.19e-02    -  1.00e+00 1.00e+00h  1
 108  3.8833009e-02 1.19e-04 3.28e-02  -4.0 5.25e-02    -  1.00e+00 1.00e+00h  1
 109  3.8832058e-02 2.01e-04 1.23e-02  -4.0 3.27e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.8820419e-02 1.53e-03 5.64e-02  -4.0 1.12e-01    -  1.00e+00 1.00e+00h  1
 111  3.9216440e-02 1.09e-03 2.44e-01  -4.0 4.69e-01    -  1.00e+00 1.00e+00H  1
 112  3.8668328e-02 5.69e-03 1.71e-01  -4.1 2.71e-01    -  1.00e+00 1.00e+00h  1
 113  3.8711153e-02 1.08e-03 2.27e-02  -4.0 1.72e-01    -  1.00e+00 1.00e+00h  1
 114  3.8766958e-02 6.67e-04 2.46e-02  -4.0 1.03e-01    -  1.00e+00 1.00e+00h  1
 115  3.8745399e-02 2.73e-04 1.26e-02  -4.0 4.50e-02    -  1.00e+00 1.00e+00h  1
 116  3.8749503e-02 8.23e-05 1.11e-02  -4.0 1.56e-02    -  1.00e+00 1.00e+00h  1
 117  3.8748296e-02 1.11e-04 7.17e-03  -4.0 2.39e-02    -  1.00e+00 1.00e+00h  1
 118  3.8847626e-02 6.32e-05 8.54e-02  -4.0 2.44e-01    -  1.00e+00 1.00e+00H  1
 119  3.8608908e-02 2.59e-03 1.22e-01  -4.1 1.17e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.8657455e-02 2.44e-03 5.58e-02  -4.0 1.87e-01    -  1.00e+00 1.00e+00h  1
 121  3.8659118e-02 8.03e-04 2.21e-02  -4.1 6.81e-02    -  1.00e+00 1.00e+00h  1
 122  3.8698901e-02 8.33e-04 3.42e-02  -4.0 9.46e-02    -  1.00e+00 1.00e+00h  1
 123  3.8627589e-02 8.28e-04 4.09e-02  -4.1 7.37e-02    -  1.00e+00 1.00e+00h  1
 124  3.8644708e-02 6.48e-04 1.27e-02  -4.0 4.69e-02    -  1.00e+00 1.00e+00h  1
 125  3.8678175e-02 1.34e-04 1.41e-02  -4.0 2.20e-02    -  1.00e+00 1.00e+00h  1
 126  3.8669938e-02 2.34e-04 1.27e-02  -4.0 3.92e-02    -  1.00e+00 1.00e+00h  1
 127  3.8626842e-02 6.58e-03 7.69e-01  -4.1 7.98e-01    -  1.00e+00 2.50e-01h  3
 128  3.8567942e-02 9.73e-03 3.88e-01  -4.1 3.89e-01    -  1.00e+00 5.00e-01h  2
 129  3.8874189e-02 2.48e-03 1.80e-01  -4.0 2.17e-01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.8516259e-02 5.33e-03 6.06e-02  -4.1 1.81e-01    -  1.00e+00 1.00e+00h  1
 131  3.8550128e-02 2.97e-03 3.01e-02  -4.0 1.37e-01    -  1.00e+00 1.00e+00h  1
 132  3.8725802e-02 3.45e-03 1.22e-01  -4.0 1.72e-01    -  1.00e+00 1.00e+00h  1
 133  3.8480360e-02 1.71e-03 1.75e-02  -4.1 1.35e-01    -  1.00e+00 1.00e+00h  1
 134  3.8564678e-02 1.93e-04 1.34e-02  -4.0 4.12e-02    -  1.00e+00 1.00e+00h  1
 135  3.8577278e-02 6.95e-05 1.37e-02  -4.0 2.47e-02    -  1.00e+00 1.00e+00h  1
 136  3.8592884e-02 2.49e-04 1.74e-02  -4.0 4.34e-02    -  1.00e+00 1.00e+00h  1
 137  3.8515365e-02 5.23e-04 2.96e-02  -4.1 5.80e-02    -  1.00e+00 1.00e+00h  1
 138  3.8572531e-02 3.38e-04 1.65e-02  -4.0 5.42e-02    -  1.00e+00 1.00e+00h  1
 139  3.8533473e-02 7.13e-05 4.99e-03  -4.1 2.05e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  3.8575716e-02 1.61e-04 6.08e-03  -4.0 2.47e-02    -  1.00e+00 1.00e+00h  1
 141  3.8503883e-02 3.66e-04 1.90e-02  -4.1 5.11e-02    -  1.00e+00 1.00e+00h  1
 142  3.8586658e-02 1.96e-04 9.19e-02  -4.0 2.40e-01    -  1.00e+00 1.00e+00H  1
 143  3.8511803e-02 3.39e-03 5.01e-01  -4.1 3.37e-01    -  1.00e+00 5.00e-01h  2
 144  3.8434909e-02 3.42e-03 2.68e-02  -4.1 1.79e-01    -  1.00e+00 1.00e+00h  1
 145  3.8669300e-02 2.49e-03 3.21e-02  -4.0 1.20e-01    -  1.00e+00 1.00e+00h  1
 146  3.8445361e-02 1.64e-03 2.00e-02  -4.1 1.03e-01    -  1.00e+00 1.00e+00h  1
 147  3.8610153e-02 1.15e-04 5.36e-02  -4.0 1.36e-01    -  1.00e+00 1.00e+00H  1
 148  3.8448288e-02 9.66e-04 6.73e-02  -4.1 8.24e-02    -  1.00e+00 1.00e+00h  1
 149  3.8594436e-02 2.48e-04 6.15e-02  -4.0 1.14e-01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  3.8443290e-02 4.65e-04 1.68e-02  -4.1 6.92e-02    -  1.00e+00 1.00e+00h  1
 151  3.8549278e-02 8.16e-04 4.05e-02  -4.0 7.84e-02    -  1.00e+00 1.00e+00h  1
 152  3.8450331e-02 3.22e-04 2.34e-02  -4.1 3.82e-02    -  1.00e+00 1.00e+00h  1
 153  3.8527674e-02 9.11e-04 3.43e-02  -4.0 8.41e-02    -  1.00e+00 1.00e+00h  1
 154  3.8453339e-02 9.27e-04 4.06e-02  -4.1 6.87e-02    -  1.00e+00 1.00e+00h  1
 155  3.8435842e-02 5.00e-04 1.53e-02  -4.1 5.57e-02    -  1.00e+00 1.00e+00h  1
 156  3.8550188e-02 2.09e-05 2.06e-02  -4.0 5.99e-02    -  1.00e+00 1.00e+00H  1
 157  3.8562972e-02 7.61e-04 3.63e-02  -4.0 7.69e-02    -  1.00e+00 1.00e+00h  1
 158  3.8422503e-02 8.50e-04 3.36e-02  -4.1 5.83e-02    -  1.00e+00 1.00e+00h  1
 159  3.8519070e-02 8.25e-04 3.72e-02  -4.0 8.21e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  3.8456552e-02 4.01e-04 1.99e-02  -4.1 5.78e-02    -  1.00e+00 1.00e+00h  1
 161  3.8511696e-02 4.10e-04 1.03e-02  -4.0 4.81e-02    -  1.00e+00 1.00e+00h  1
 162  3.8430078e-02 3.95e-04 1.63e-02  -4.1 4.95e-02    -  1.00e+00 1.00e+00h  1
 163  3.8533301e-02 1.72e-03 5.46e-02  -4.0 1.19e-01    -  1.00e+00 1.00e+00h  1
 164  3.8507079e-02 2.52e-03 7.57e-01  -4.1 4.52e-01    -  1.00e+00 2.50e-01h  3
 165  3.8415339e-02 5.90e-04 4.81e-02  -4.1 5.72e-02    -  1.00e+00 1.00e+00h  1
 166  3.8520573e-02 3.51e-05 2.21e-02  -4.0 8.14e-02    -  1.00e+00 1.00e+00H  1
 167  3.8652567e-02 1.54e-05 9.39e-02  -4.0 2.02e-01    -  1.00e+00 1.00e+00H  1
 168  3.8538957e-02 1.16e-03 9.88e-02  -4.0 1.48e-01    -  1.00e+00 1.00e+00h  1
 169  3.8451434e-02 9.00e-04 1.67e-02  -4.1 8.63e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  3.8423352e-02 8.23e-04 2.57e-02  -4.1 8.69e-02    -  1.00e+00 1.00e+00h  1
 171  3.8407954e-02 2.92e-03 8.01e-02  -4.1 1.61e-01    -  1.00e+00 1.00e+00h  1
 172  3.8433655e-02 3.13e-03 8.70e-01  -4.0 5.46e-01    -  1.00e+00 1.25e-01h  4
 173  3.8460090e-02 1.38e-03 6.75e-02  -4.1 1.09e-01    -  1.00e+00 1.00e+00h  1
 174  3.8395669e-02 3.58e-04 4.89e-02  -4.1 5.62e-02    -  1.00e+00 1.00e+00h  1
 175  3.8465972e-02 5.35e-05 1.75e-02  -4.0 9.29e-02    -  1.00e+00 1.00e+00H  1
 176  3.8638883e-02 1.19e-05 1.03e-01  -4.0 2.35e-01    -  1.00e+00 1.00e+00H  1
 177  3.8479094e-02 7.42e-04 1.06e-01  -4.0 1.44e-01    -  1.00e+00 1.00e+00h  1
 178  3.8458802e-02 4.66e-05 2.47e-02  -4.1 5.57e-02    -  1.00e+00 1.00e+00H  1
 179  3.8522779e-02 1.45e-03 3.09e-02  -4.0 1.03e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  3.8417297e-02 7.26e-04 4.95e-02  -4.1 9.06e-02    -  1.00e+00 1.00e+00h  1
 181  3.8394783e-02 4.78e-04 4.21e-02  -4.1 6.58e-02    -  1.00e+00 1.00e+00h  1
 182  3.8480252e-02 3.32e-04 2.29e-02  -4.0 4.84e-02    -  1.00e+00 1.00e+00h  1
 183  3.8419486e-02 2.61e-04 1.21e-02  -4.1 3.48e-02    -  1.00e+00 1.00e+00h  1
 184  3.8399343e-02 3.10e-04 2.22e-02  -4.1 6.73e-02    -  1.00e+00 1.00e+00h  1
 185  3.8416174e-02 3.09e-05 3.51e-02  -4.1 8.51e-02    -  1.00e+00 1.00e+00H  1
 186  3.8588503e-02 7.09e-03 1.20e-01  -4.0 2.35e-01    -  1.00e+00 1.00e+00h  1
 187  3.8663938e-02 5.35e-03 1.01e-01  -4.1 1.82e-01    -  1.00e+00 1.00e+00h  1
 188  3.8338769e-02 1.97e-03 2.02e-02  -4.1 1.81e-01    -  1.00e+00 1.00e+00h  1
 189  3.8478898e-02 9.74e-05 2.03e-02  -4.0 9.53e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  3.8394354e-02 4.76e-04 2.50e-02  -4.1 5.81e-02    -  1.00e+00 1.00e+00h  1
 191  3.8522493e-02 3.07e-03 6.74e-02  -4.0 1.58e-01    -  1.00e+00 1.00e+00h  1
 192  3.8962477e-02 2.26e-03 1.98e-01  -4.1 2.48e-01    -  1.00e+00 1.00e+00H  1
 193  3.8391088e-02 3.86e-03 1.09e-01  -4.1 2.79e-01    -  1.00e+00 1.00e+00h  1
 194  3.8352163e-02 4.45e-03 6.62e-02  -4.1 1.64e-01    -  1.00e+00 1.00e+00h  1
 195  3.8379491e-02 1.18e-03 2.04e-02  -4.1 1.01e-01    -  1.00e+00 1.00e+00h  1
 196  3.8528748e-02 1.06e-04 3.77e-02  -4.0 1.57e-01    -  1.00e+00 1.00e+00H  1
 197  3.8478375e-02 1.35e-03 5.07e-01  -4.1 1.93e-01    -  1.00e+00 5.00e-01h  2
 198  3.8387980e-02 9.68e-04 1.24e-02  -4.1 9.25e-02    -  1.00e+00 1.00e+00h  1
 199  3.8457685e-02 4.57e-04 4.01e-02  -4.1 6.72e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  3.8418650e-02 3.08e-04 4.52e-03  -4.1 5.05e-02    -  1.00e+00 1.00e+00h  1
 201  3.8421265e-02 5.31e-05 3.45e-03  -4.1 1.65e-02    -  1.00e+00 1.00e+00h  1
 202  3.8424890e-02 1.33e-05 3.04e-02  -4.1 9.69e-02    -  1.00e+00 1.00e+00H  1
 203  3.8566789e-02 9.90e-06 1.12e-01  -4.0 2.93e-01    -  1.00e+00 1.00e+00H  1
 204  3.8599954e-02 8.59e-04 1.06e-01  -4.0 1.23e-01    -  1.00e+00 1.00e+00h  1
 205  3.8422444e-02 2.12e-03 1.51e-02  -4.1 1.68e-01    -  1.00e+00 1.00e+00h  1
 206  3.8414326e-02 6.63e-04 3.44e-02  -4.1 7.42e-02    -  1.00e+00 1.00e+00h  1
 207  3.8408219e-02 5.89e-04 1.19e-02  -4.1 8.68e-02    -  1.00e+00 1.00e+00h  1
 208  3.8424577e-02 1.80e-04 1.57e-02  -4.1 3.55e-02    -  1.00e+00 1.00e+00h  1
 209  3.8416859e-02 1.03e-04 5.64e-03  -4.1 2.53e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  3.8413438e-02 1.02e-04 3.18e-03  -4.1 7.26e-03    -  1.00e+00 1.00e+00h  1
 211  3.8475650e-02 3.19e-04 1.55e-02  -4.0 5.48e-02    -  1.00e+00 1.00e+00h  1
 212  3.8403752e-02 7.11e-04 3.36e-02  -4.1 1.08e-01    -  1.00e+00 1.00e+00h  1
 213  3.8395224e-02 8.26e-05 5.04e-02  -4.1 1.65e-01    -  1.00e+00 1.00e+00H  1
 214  3.8544793e-02 1.64e-03 6.19e-02  -4.0 1.16e-01    -  1.00e+00 1.00e+00h  1
 215  3.8447903e-02 1.66e-03 3.05e-02  -4.1 1.16e-01    -  1.00e+00 1.00e+00h  1
 216  3.8380886e-02 1.54e-03 7.36e-02  -4.1 1.17e-01    -  1.00e+00 1.00e+00h  1
