This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    51902
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      827
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      718
                     variables with only upper bounds:        0
Total number of equality constraints.................:      646
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  9.4899512e-02 3.37e-03 8.09e+00  -3.3 8.82e-02    -  1.00e+00 3.73e-01h  1
  48  7.3717801e-02 1.86e-02 7.53e+00  -3.8 1.10e-01    -  1.00e+00 1.00e+00h  1
  49  6.8855558e-02 5.13e-02 8.36e-01  -3.5 1.76e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  5.9467586e-02 1.63e-02 1.87e+00  -3.6 1.04e-01    -  1.00e+00 1.00e+00h  1
  51  6.2012738e-02 4.36e-03 1.26e-01  -3.2 6.23e-02    -  1.00e+00 1.00e+00h  1
  52  5.4679173e-02 2.37e-03 1.06e-01  -3.9 5.24e-02    -  1.00e+00 1.00e+00h  1
  53  5.0838814e-02 8.15e-03 1.25e-01  -4.0 8.95e-02    -  1.00e+00 1.00e+00h  1
  54  4.9734242e-02 3.15e-02 4.87e-01  -4.0 1.69e-01    -  1.00e+00 1.00e+00h  1
  55  5.7903146e-02 4.04e-02 5.81e-01  -3.6 2.03e-01    -  9.09e-01 1.00e+00H  1
  56  4.4691370e-02 1.02e-02 2.29e-01  -3.8 1.36e-01    -  1.00e+00 1.00e+00h  1
  57  4.2654368e-02 1.49e-03 3.69e-02  -4.0 4.24e-02    -  1.00e+00 1.00e+00h  1
  58  4.2085774e-02 6.19e-04 4.04e-02  -4.0 2.26e-02    -  1.00e+00 1.00e+00h  1
  59  4.0570573e-02 3.31e-03 1.15e-01  -4.0 5.54e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.8332407e-02 2.09e-02 4.37e-01  -4.0 3.10e-01    -  1.00e+00 5.00e-01h  2
  61  3.6185507e-02 3.57e-02 6.20e-01  -4.0 2.99e-01    -  1.00e+00 5.00e-01h  2
  62  5.1315604e-02 2.81e-02 7.51e-01  -3.6 2.10e-01    -  1.00e+00 1.00e+00H  1
  63  3.6563896e-02 1.24e-02 3.07e-01  -3.7 1.31e-01    -  4.67e-01 1.00e+00h  1
  64  3.2856713e-02 3.45e-03 4.44e-02  -4.0 5.45e-02    -  1.00e+00 1.00e+00h  1
  65  3.2234269e-02 2.67e-03 5.68e-02  -4.0 3.35e-02    -  1.00e+00 1.00e+00h  1
  66  3.1909906e-02 7.14e-04 4.55e-02  -4.0 2.40e-02    -  1.00e+00 1.00e+00h  1
  67  3.1594985e-02 8.84e-04 6.69e-02  -4.0 1.94e-02    -  1.00e+00 1.00e+00h  1
  68  3.0431758e-02 9.25e-03 2.71e-01  -4.0 7.33e-02    -  1.00e+00 1.00e+00h  1
  69  2.8713217e-02 2.89e-02 5.47e-01  -4.0 2.39e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.8152489e-02 2.85e-02 5.41e-01  -3.7 2.85e-01    -  1.00e+00 2.50e-01h  3
  71  3.4751053e-02 8.62e-03 5.17e-01  -3.8 1.48e-01    -  1.00e+00 1.00e+00H  1
  72  2.8693343e-02 6.45e-03 3.63e-01  -3.9 8.07e-02    -  1.00e+00 1.00e+00h  1
  73  2.5979558e-02 2.25e-03 3.62e-02  -4.0 3.71e-02    -  1.00e+00 1.00e+00h  1
  74  2.5689032e-02 6.95e-04 3.54e-02  -4.0 2.00e-02    -  1.00e+00 1.00e+00h  1
  75  2.5517604e-02 1.77e-04 4.33e-02  -4.0 1.82e-02    -  1.00e+00 1.00e+00h  1
  76  2.4729873e-02 4.50e-03 2.31e-01  -4.0 1.04e-01    -  1.00e+00 1.00e+00h  1
  77  2.3891170e-02 1.21e-02 4.56e-01  -4.0 2.35e-01    -  1.00e+00 5.00e-01h  2
  78  2.4546082e-02 2.54e-02 6.34e-01  -3.7 2.62e-01    -  1.00e+00 5.00e-01h  2
  79  3.0870512e-02 7.39e-03 5.33e-01  -3.8 9.00e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.1994784e-02 5.43e-03 1.80e-01  -3.8 8.06e-02    -  1.00e+00 1.00e+00h  1
  81  2.0722204e-02 1.52e-03 4.99e-02  -4.0 3.64e-02    -  1.00e+00 1.00e+00h  1
  82  2.0295055e-02 6.83e-04 4.00e-02  -4.0 2.86e-02    -  1.00e+00 1.00e+00h  1
  83  1.9791617e-02 4.81e-04 4.28e-02  -4.0 2.89e-02    -  1.00e+00 1.00e+00h  1
  84  1.9309608e-02 4.83e-03 1.56e-01  -4.0 2.11e-01    -  1.00e+00 5.00e-01h  2
  85  1.8478093e-02 2.35e-02 4.10e-01  -4.0 3.80e-01    -  1.00e+00 5.00e-01h  2
  86  1.7378632e-02 2.25e-02 4.73e-01  -3.7 2.23e-01    -  1.00e+00 2.48e-01h  3
  87  2.0675949e-02 7.33e-03 1.91e-01  -4.0 7.60e-02    -  1.00e+00 1.00e+00h  1
  88  1.5400461e-02 3.63e-03 5.57e-02  -4.1 5.79e-02    -  1.00e+00 1.00e+00h  1
  89  1.5619675e-02 1.48e-03 2.58e-02  -4.0 2.77e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.5129159e-02 2.91e-04 4.23e-02  -4.0 1.56e-02    -  1.00e+00 1.00e+00h  1
  91  1.4785622e-02 1.02e-03 6.86e-02  -4.0 3.71e-02    -  1.00e+00 1.00e+00h  1
  92  1.4870486e-02 5.26e-03 1.93e-01  -4.0 1.93e-01    -  1.00e+00 5.00e-01h  2
  93  1.4249286e-02 8.99e-03 2.98e-01  -4.1 2.02e-01    -  1.00e+00 5.00e-01h  2
  94  2.1698977e-02 7.20e-03 2.30e-01  -4.0 8.21e-02    -  1.00e+00 1.00e+00h  1
  95  1.3576965e-02 5.02e-03 1.12e-01  -4.1 7.68e-02    -  9.65e-01 1.00e+00h  1
  96  1.3290432e-02 1.29e-03 6.90e-02  -4.0 4.32e-02    -  1.00e+00 1.00e+00h  1
  97  1.2942838e-02 2.26e-04 3.51e-02  -4.0 1.33e-02    -  1.00e+00 1.00e+00h  1
  98  1.2849746e-02 1.86e-04 3.39e-02  -4.0 1.01e-02    -  1.00e+00 1.00e+00h  1
  99  1.2625483e-02 5.83e-04 7.85e-02  -4.0 2.62e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
