Error,Default,Variational,Toggling,Universal
X₁,0.7468780352559495,0.5993836141011053,0.4972069933619864,0.3002699655327138
Y₁,0.4936569884294224,0.6475116248777504,0.3916901895473979,0.4542805929165911
Z₁,0.44174970064463115,0.33831883424068254,0.3269330628743612,0.21529817325784648
X₂,0.7560896670721324,0.4119186578253341,0.20292161085196117,0.3124988183927644
Y₂,0.45046174872186967,0.3135364423132012,0.1676210039360379,0.16767341002732136
Z₂,0.7211819343407795,0.7291052843666476,0.740419366555453,0.35938975258229516
XX,0.7924290405383887,0.6048951307150889,0.5554559421245696,0.27589694499557676
XY,0.39481026181232887,0.3542328731598304,0.4117763606445894,0.2230796951242415
XZ,0.4401350860938006,0.4801929865140848,0.518214762344365,0.2933540509225289
YX,0.5993156117857773,0.4728126829345546,0.26073228579669333,0.24994029883281813
YY,0.5101242235075482,0.49652706329434293,0.33992268351167315,0.24594083579972761
YZ,0.28261234937837726,0.5852991755757038,0.6491509840917129,0.3859726644586933
ZX,0.5223269925176184,0.5758459789992152,0.29927866618627375,0.25286862945641975
ZY,0.32763079737819356,0.5707618964013469,0.465086892071931,0.3569900398121024
ZZ,0.30259042996131436,0.054139109031062185,0.054567266373110455,0.3602863256669258
