Error,Default,Variational,Toggling,Universal
X₁,0.6297619961355833,0.3085238511359375,0.49524275493723435,0.3336275567880204
Y₁,0.6427735438195146,0.4011472761485386,0.15895043033530398,0.24308825250857385
Z₁,0.7578853645966085,0.01763419185264935,0.07449655470820624,0.4676762006309982
X₂,0.6313754288639842,0.3836418040243645,0.4172732070975878,0.43515254655508023
Y₂,0.6436935147214131,0.3728403253601539,0.6749925515041554,0.29636380713594607
Z₂,0.7578646998818757,0.014677785033974109,0.08174075775842629,0.23403080571107662
XX,0.7105343689356843,0.5942010579091218,0.5045625662125661,0.5256690776889099
XY,0.43651456138500233,0.22972331241394975,0.43165223431411254,0.25508603846976685
XZ,0.6427252668183168,0.2635968179622921,0.486459469786504,0.26940524092003043
YX,0.43651638755541083,0.28987859050410697,0.3398805799365012,0.24057978099775795
YY,0.710585168615734,0.3086624472564218,0.40657963280250253,0.3506813126703709
YZ,0.6297266288457241,0.34751356964777835,0.4346313492586042,0.2749191314816831
ZX,0.6436516744463189,0.3090270777912336,0.2464643648743091,0.3791038432430172
ZY,0.6313263477570097,0.2790227019607871,0.22174248202052016,0.21438663292478785
ZZ,1.000223383383005,0.020842519505675818,0.059928174874438765,0.32484457751847223
