Error,Default,Variational,Toggling,Universal
X₁,0.7622133362273535,0.38751369649113154,0.7076967629156375,0.45919373632798083
Y₁,0.7155886538134724,0.5076359682484317,0.24847350892896836,0.24229965038985893
Z₁,0.5502555483541042,0.09370702920084698,0.04173768465195694,0.4422209112297441
X₂,0.6835598113077392,0.4249545733059536,0.7974902594785531,0.4745557668233847
Y₂,0.45793210361851705,0.4084771773230077,0.09513264982960462,0.3391860098030645
Z₂,0.2167474670147603,0.09438802130326628,0.017947977516421538,0.38322929567371855
XX,0.690787624122974,0.5434613585453584,0.6985429373932226,0.570179137008772
XY,0.41335113991072087,0.2887780425470998,0.16383525034993696,0.2541082601053761
XZ,0.24560822307886424,0.34511053918926016,0.15679381109617957,0.2977705539292853
YX,0.5642611870482207,0.5261066980774005,0.17208049273197024,0.204560465837864
YY,0.47189329364577887,0.27912663640611673,0.33415686089738084,0.32322872650127243
YZ,0.23344932327928644,0.3547076390157204,0.25357650272724536,0.4053750446575198
ZX,0.5437863464726392,0.4214951123322404,0.18896432047839737,0.3219438242500058
ZY,0.3788245304005201,0.4962521104256021,0.3040731161328651,0.45265532005222503
ZZ,0.31731739953767585,0.08272098402962264,0.016349702095388247,0.4145900657872943
