Error,Default,Variational,Toggling,Universal
X₁,0.7434679195586485,0.6861947269299221,0.7734788173495659,0.5738331203354414
Y₁,0.4726919914662157,0.3300632610478628,0.34106601231594635,0.20815167035229717
Z₁,0.6307235350388973,0.1011031876407898,0.08065297508208093,0.330587375106587
X₂,0.7435199457211624,0.6029837470414489,0.7793691287508375,0.41873392067533494
Y₂,0.4725410484115489,0.47011570301188355,0.33418499380367367,0.34050067787469696
Z₂,0.6307247726363848,0.08708877511581198,0.04173607823058565,0.3709503182366383
XX,0.8039248025977508,0.7223182028178353,0.6830512278269174,0.30966836740221027
XY,0.5692029997665656,0.4008702500131024,0.29014986506109297,0.3784039308704611
XZ,0.4726901681282902,0.2829331477778964,0.22288930489795186,0.3865789547761119
YX,0.5692030339956812,0.30317521317878704,0.2704162962627926,0.3258409273853333
YY,0.8039239987860614,0.2959333683457719,0.207780160210391,0.36454707698131283
YZ,0.743467979017614,0.286926374656214,0.19611765368676667,0.2759290657674326
ZX,0.47254163776548314,0.27398360724372295,0.12072500975350196,0.2989241754968085
ZY,0.7435183880157047,0.2921427973592323,0.10485472358637314,0.3318983624674115
ZZ,0.9999968551246413,0.099639799095314,0.03451455974767117,0.33153105045884845
