Error,Default,Variational,Toggling,Universal
X₁,0.7622133362273535,0.804200500515908,0.6531175889957515,0.45919373632798083
Y₁,0.7155886538134724,0.5664118262085972,0.5251342360720955,0.24229965038985893
Z₁,0.5502555483541042,0.5434756312709731,0.33123142811361467,0.4422209112297441
X₂,0.6835598113077392,0.8077148187817669,0.3762141100885373,0.4745557668233847
Y₂,0.45793210361851705,0.40907021451410835,0.4540104533670599,0.3391860098030645
Z₂,0.2167474670147603,0.3604869254142883,0.7442464269090768,0.38322929567371855
XX,0.690787624122974,0.7711663230228204,0.30508116922690653,0.570179137008772
XY,0.41335113991072087,0.31046321274431965,0.321635369536236,0.2541082601053761
XZ,0.24560822307886424,0.3809858331938953,0.5842825409055413,0.2977705539292853
YX,0.5642611870482207,0.5459380395098344,0.4329014607065967,0.204560465837864
YY,0.47189329364577887,0.44024458798108707,0.6538655951357398,0.32322872650127243
YZ,0.23344932327928644,0.28166026783707643,0.4635969196098207,0.4053750446575198
ZX,0.5437863464726392,0.49793153347615665,0.44749271643864336,0.3219438242500058
ZY,0.3788245304005201,0.2894108367888425,0.505568161472584,0.45265532005222503
ZZ,0.31731739953767585,0.0683958774072173,0.01002364728408528,0.4145900657872943
