Error,Default,Variational,Toggling,Universal
X₁,0.7493257597984749,0.48908002958095975,0.807873147601109,0.40721423681567454
Y₁,0.48682446496836873,0.5511225108735623,0.11483819341151208,0.2993580848477837
Z₁,0.6262021546389839,0.09658820330699068,0.04206747407610812,0.29083280030882613
X₂,0.7488500931955397,0.35754581458435275,0.34932645025080633,0.3765629501785348
Y₂,0.4859744826337328,0.35726615346235086,0.38617162578188846,0.2816417819446417
Z₂,0.6262021838397117,0.09295568104252501,0.040985284755017296,0.3018803058546894
XX,0.805093047709974,0.4789104679624212,0.3780304249525685,0.5576494529656945
XY,0.5740708026683831,0.37526022244810625,0.4132440142245566,0.3243047138449886
XZ,0.4868245337516461,0.2381139429771875,0.2096754733339207,0.19905328863656122
YX,0.574070690703375,0.3815392665461181,0.2722827233681627,0.23603109750038972
YY,0.8050927875953099,0.35096759038959585,0.4846178433836757,0.3131031655640526
YZ,0.7493252354198994,0.2159568917068835,0.25279625851637694,0.40976082618734483
ZX,0.48597419752556714,0.35839238866576856,0.2788775895684098,0.3903240779511192
ZY,0.7488498048246217,0.3850618520801283,0.4853209234216481,0.400424655521768
ZZ,0.9999995473995079,0.07801160814130924,0.020869030361585036,0.3501709141258737
