epsilon,fidelity
-0.02,0.8080337540482595
-0.0196,0.8145952879150741
-0.0192,0.8210973526494623
-0.0188,0.827535876802151
-0.0184,0.8339068353046187
-0.018,0.8402062559986759
-0.0176,0.846430234111191
-0.0172,0.8525749292900139
-0.0168,0.8586365727854673
-0.0164,0.864611478510776
-0.016,0.8704960394967085
-0.0156,0.8762867378713503
-0.0152,0.8819801393252378
-0.0148,0.8875729061044146
-0.0144,0.893061787628233
-0.014,0.8984436276235973
-0.0136,0.9037153635034203
-0.0132,0.90887402160977
-0.0128,0.9139167191241849
-0.0124,0.9188406655179744
-0.012,0.9236431519936611
-0.0116,0.9283215528765542
-0.0112,0.9328733214129524
-0.0108,0.9372959829711851
-0.0104,0.9415871344102785
-0.01,0.9457444396475894
-0.0096,0.9497656058337561
-0.0092,0.9536484173060291
-0.0088,0.9573906835798522
-0.0084,0.9609902647860963
-0.008,0.9644450456810935
-0.0076,0.9677529430637701
-0.0072,0.9709118907052731
-0.0068,0.9739198347419836
-0.0064,0.9767747161125804
-0.006,0.9794744989074066
-0.0056,0.9820171208749658
-0.0052,0.9844004881742112
-0.0048,0.986622526159307
-0.0044,0.9886811057885331
-0.004,0.9905740731585253
-0.0036,0.992299231875388
-0.0032,0.9938543521901646
-0.0028,0.9952371479241626
-0.0024,0.9964452912069232
-0.002,0.9974763989382912
-0.0016,0.9983280339257807
-0.0012,0.9989977024084754
-0.0008,0.9994828534453458
-0.0004,0.9997808785486146
0.0,0.9998891126475017
0.0004,0.9998048350547005
0.0008,0.9995252716984093
0.0012,0.9990475982713752
0.0016,0.9983689431769363
0.002,0.9974863928372607
0.0024,0.9963969962226159
0.0028,0.9950977720149262
0.0032,0.9935857138373928
0.0036,0.9918578090264866
0.004,0.9899109978968337
0.0044,0.9877422777886811
0.0048,0.9853486065232966
0.0052,0.9827269941616523
0.0056,0.9798744422037621
0.006,0.9767881104580625
0.0064,0.9734650471325049
0.0068,0.9699024454534921
0.0072,0.9660976348370792
0.0076,0.9620479520183192
0.008,0.9577508699276475
0.0084,0.9532039886963843
0.0088,0.9484050504838398
0.0092,0.9433519056775861
0.0096,0.9380426228078904
0.01,0.9324753857220394
0.0104,0.9266486924036125
0.0108,0.9205610767996287
0.0112,0.914211403070956
0.0116,0.9075987518184832
0.012,0.9007224352051284
0.0124,0.8935820294014435
0.0128,0.886177386517244
0.0132,0.8785086464207715
0.0136,0.8705762509848729
0.014,0.8623809418733309
0.0144,0.8539237873948257
0.0148,0.8452061801745524
0.0152,0.8362298591677793
0.0156,0.8269969039598719
0.016,0.8175097534219137
0.0164,0.8077712120336829
0.0168,0.7977844519319595
0.0172,0.7875530182244023
0.0176,0.7770808409874568
0.018,0.7663722283286185
0.0184,0.7554318793708442
0.0188,0.7442648834323494
0.0192,0.7328767154440151
0.0196,0.7212732454080726
0.02,0.7094607291154106
