This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   133925
Number of nonzeros in inequality constraint Jacobian.:      492
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      499
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      104
                     variables with only upper bounds:        0
Total number of equality constraints.................:      486
Total number of inequality constraints...............:       73
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       73

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  48  5.1146113e-01 6.26e+00 5.90e+06   2.2 1.33e+02    -  8.38e-03 5.82e-03h  1
  49  5.2522385e-01 6.24e+00 5.91e+06   2.9 1.34e+02    -  1.13e-02 3.94e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  6.1824143e-01 6.13e+00 7.77e+06   2.9 9.16e+01    -  3.94e-02 1.75e-02h  1
  51  6.2156116e-01 6.12e+00 7.50e+06  -3.7 7.67e+01    -  2.52e-03 1.72e-03h  1
  52  6.2354131e-01 6.11e+00 7.37e+06  -3.7 1.08e+02    -  1.76e-04 1.36e-03h  1
  53  6.1824348e-01 6.10e+00 6.36e+06   2.9 2.01e+02    -  3.13e-05 7.98e-04h  1
  54  6.1771282e-01 6.10e+00 6.20e+06   1.7 6.77e+01    -  4.62e-02 9.11e-04h  1
  55  6.1628378e-01 6.06e+00 6.68e+06   2.9 8.54e+01    -  5.62e-04 6.56e-03f  1
  56  6.1589215e-01 6.05e+00 6.77e+06   2.1 6.20e+01    -  1.74e-02 1.38e-03h  1
  57  6.6521007e-01 5.99e+00 7.89e+06   2.2 9.71e+01    -  1.17e-02 1.04e-02h  1
  58  6.7643378e-01 5.98e+00 8.02e+06   2.9 1.10e+02    -  1.37e-04 1.53e-03h  1
  59  7.2978878e-01 5.94e+00 8.57e+06   2.6 1.67e+02    -  3.32e-02 5.81e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  7.7828136e-01 5.88e+00 9.85e+06   2.1 9.19e+01    -  3.12e-02 9.65e-03h  1
  61  8.3124792e-01 5.81e+00 1.36e+07   2.9 9.99e+01    -  1.67e-03 1.28e-02f  1
  62  8.3239424e-01 5.80e+00 1.37e+07   2.9 7.88e+01    -  8.32e-02 9.36e-04h  1
  63  8.8923200e-01 5.63e+00 1.80e+07   2.9 8.04e+01    -  3.11e-02 3.06e-02h  1
  64  8.8739082e-01 5.61e+00 1.89e+07  -3.5 7.42e+01    -  3.16e-02 3.13e-03h  1
  65  8.8373061e-01 5.60e+00 1.94e+07   2.9 9.82e+01    -  5.14e-03 1.89e-03h  1
  66  8.7505589e-01 5.45e+00 2.53e+07   2.9 5.78e+01    -  4.09e-02 2.59e-02h  1
  67  8.6691569e-01 5.39e+00 2.79e+07   2.9 5.14e+01    -  3.64e-02 1.09e-02h  1
  68  8.6155262e-01 5.34e+00 3.13e+07   2.9 1.32e+02    -  2.48e-02 1.02e-02h  2
  69  8.5488264e-01 5.27e+00 3.73e+07   2.9 1.52e+02    -  4.34e-02 1.21e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  8.4290777e-01 5.24e+00 4.01e+07  -3.4 1.74e+02    -  1.46e-02 6.19e-03h  1
  71  8.4068334e-01 5.23e+00 4.15e+07   2.9 1.62e+02    -  3.52e-04 2.38e-03h  1
  72  8.6047632e-01 5.14e+00 4.92e+07   2.9 1.72e+02    -  2.95e-02 1.69e-02f  1
  73  8.7216230e-01 5.07e+00 6.08e+07   2.9 1.15e+02    -  8.20e-03 1.29e-02h  1
  74  8.6962848e-01 5.05e+00 6.32e+07   2.9 9.07e+01    -  9.16e-04 3.81e-03h  1
  75  8.6770110e-01 4.99e+00 7.06e+07   2.9 9.05e+01    -  4.63e-03 1.32e-02f  1
  76  8.6048149e-01 4.95e+00 7.48e+07   2.9 8.86e+01    -  1.49e-02 7.18e-03h  1
  77  8.4874789e-01 4.81e+00 8.55e+07   2.9 9.72e+01    -  6.23e-03 2.78e-02f  1
  78  7.9655230e-01 4.69e+00 7.82e+07   2.9 5.34e+01    -  5.76e-03 2.49e-02f  1
