time_ns,u_X1,u_Y1,u_X2,u_Y2,du_X1,du_Y1,du_X2,du_Y2
0,0,0,0,0,0,0,0,0
6.25,0.0008663212785,-0.06281875554,0.06283111889,-0.0628309789,-0.07064374465,0.01117666894,-0.01116869607,0.01116966763
12.5,-0.05084937553,0.02492741021,0.06282673763,-0.06282346092,-0.02222857566,-0.01098803705,-0.003726422816,0.003729540475
18.75,-0.01470145554,-0.03853701561,0.02233816709,-0.04570406759,-0.007923872037,0.03378447328,-0.02963597551,0.01468230172
25,0.01250518254,0.010699986,-0.01177838358,-0.01575595082,0.01163448475,0.03354798598,0.02828447018,0.03722521741
31.25,0.01644942048,0.02123706976,0.02284940698,0.03230061505,0.0206052687,0.03627226794,0.0003919097292,0.000554535021
37.5,-0.04392954093,-0.06124073876,0.04430114922,0.0616184238,0.01120120455,0.02386080879,-0.005208374781,-0.00547983743
43.75,-0.04239231687,-0.06055439368,0.04440915806,0.06224624033,-0.008311241546,-0.005683348593,-0.001279686005,-8.72360109e-05
50,-0.009664407913,-0.01384338377,0.03715409272,0.05426817768,0.003004268248,0.007808542939,-0.002801312979,0.001121691302
56.25,-0.004283671946,-0.007480427455,0.01593994864,0.02304559466,-0.01431536126,-0.01865968803,-0.01688786891,-0.01608884838
62.5,0.03013581902,0.03868307138,0.04217879467,0.05775234579,-0.02450367055,-0.04075594716,-0.01344057509,-0.01471167426
68.75,-0.0129717177,-0.02644715802,-0.02444242902,-0.03498260234,-0.01995616062,-0.046114293,0.000406409491,0.001632720694
75,0.002459757667,-0.0139145828,-0.05252137069,0.002273930793,0.02779174314,-0.00998971546,-0.01031960646,0.04247828165
81.25,-0.05388336949,0.02001640419,-0.06282663053,0.0628236056,0.02428947143,0.0145209037,-0.003726582798,0.003729467248
87.5,0.0007901992805,-0.0628197656,-0.06283112792,0.06283100392,0.07071683445,-0.01117557506,-0.01116873503,0.01116967444
93.75,0,0,0,0,0,0,0,0
