ä_vals,norm_G_var_z,norm_G_uni_z,norm_G_def_z,norm_G_add_z,var_obj_def_z,var_obj_tog_z,var_obj_uni_z,var_obj_var_z
0.001,0.7943492913459257,0.7576513402485071,0.7196630310638501,0.7943492217803166,0.4936061926755617,0.6050962959137259,0.5505666104135339,0.6050964014891775
0.001491890134588416,0.7184670149064273,0.7505003886121837,0.7255630799150793,0.7501947060901599,0.5024886344986379,0.5399567826413704,0.540415591469473,0.4915665848068347
0.002225736173682242,0.7391687350878243,0.73928099759501,0.8178527334030696,0.7148018609053213,0.6416957509908913,0.48631714292853756,0.5246604570330057,0.5244917845634968
0.003320553839713106,0.772787695151393,0.722256041831262,0.7649144329621694,0.772376749919252,0.5586880405170652,0.5726311716188527,0.497078798386252,0.5731155175961451
0.004953901514837667,0.6671952837071732,0.8083557940312717,0.7814462557915572,0.6554916382817415,0.5862206946481913,0.41378089826014103,0.6250680733308815,0.4287763507961018
0.0073906767977089255,0.7027494266155894,0.8544736492697672,0.7140481761439201,0.8301415753304912,0.48536023631352,0.6597732337795309,0.7010117143584061,0.4695848491187556
0.011026077802433447,0.7066595841794102,0.7680796569007436,0.7260751618751153,0.6535211195376287,0.5030298997777445,0.4043948622631476,0.567698946716677,0.47527573361534897
0.01644969669665478,0.7103532266216054,0.771886981380957,0.7802201379692214,0.7010768526938919,0.5842212564849179,0.46749471786546754,0.5751210972899994,0.48046845417011763
0.02454114021871092,0.011273734795955507,0.2476602172707706,0.7042264360540108,0.016377727947976317,0.4719293390965545,0.0011430493080653587,0.05347746531047642,5.6888837741707664e-5
0.036612684983845824,0.1188494255593916,0.24372254712912111,0.7206041494379835,0.24967064624656815,0.4947598654342677,0.054211312374899706,0.05398342293141408,0.01092840101026726
0.05462210352819302,0.01760598107384022,0.15036854107428896,0.7281260845819117,0.007692524092130718,0.5057392196100138,0.00035615636659188846,0.022410974516958247,7.653126555118093e-5
0.08149017738417824,0.018486982318325462,0.05163230909264461,0.7302619930546073,0.010363175802981454,0.5087726668433906,0.0013352779467318652,0.0041010265787936465,1.9888028479471846e-7
0.1215743917053156,0.020587191164043905,0.06680467881865831,0.7151643712588962,0.019098662581328814,0.4869447489467667,0.0011270586354192353,0.0054805774415603,9.17100278742005e-6
0.18137563560374806,0.01783954127103573,0.04504731230118734,0.7144292287992006,0.0017253217382794362,0.48624093505799726,0.000376208970843119,0.0031146456040939377,2.910025279492972e-5
0.2705925214119352,0.054032882700849584,0.013786953962153316,0.7845571259641105,0.08041388674099414,0.5913158785036753,0.016389233746795906,0.0007723287888636476,0.0001343054026491082
0.40369431318787075,0.017061177465752756,0.01976720737689045,0.7856558511026702,0.0014288495013720184,0.5930677924278186,0.00034003201005603986,0.0009863674351679361,2.7171569670176533e-6
0.6022675632344306,0.017152499074821415,0.028122889609638078,0.7797306940833592,0.005508524198481161,0.5838905470555609,0.0004819342723265067,0.0012403313387280084,4.417139364721552e-6
0.898517035972052,0.017896377701559472,0.11259847498836034,0.7897856043354433,0.029981904743522213,0.5992977259783284,0.0004473846584150469,0.023275768402768113,8.211382095957281e-7
1.3404887017263292,0.01804913000196371,0.02272859413163027,0.7862092518772567,0.0014417774032646682,0.592685558943301,0.0005662008544371104,0.0012731572389839928,3.506704751603923e-7
1.9998618696327441,0.018157538558794727,0.02085584365295655,0.7896036824332071,0.00035340937241401077,0.5987819591186729,0.0003428154441776711,0.0015084500585561484,1.909357178799392e-6
