time_ns,u_X1,u_Y1,u_X2,u_Y2,du_X1,du_Y1,du_X2,du_Y2
0,0,0,0,0,0,0,0,0
6.5,-0.06280391556,0.01131819464,-0.06281686432,0.0628237606,0.01070621234,0.07915449761,-0.01384766363,-0.01073229504
13,0.05979352009,0.003180626256,0.02857888535,0.0628103334,0.002989422263,0.09996742198,-0.05673330188,-0.003589799221
19.5,0.06208243662,0.0001175373537,0.05277245898,0.06069720323,0.0006703515329,0.1026589926,0.04477319334,-0.003150431797
26,0.06044926897,-0.001940692278,-0.04481269282,0.05287623772,-0.001242804266,0.1011686171,0.05130859123,-0.0105719104
32.5,-0.01115645372,-0.01928544487,0.01209910906,0.02573601086,-0.04816827066,0.08432058751,0.08934196095,-0.03942383477
39,-0.02557251161,-0.01498483959,-0.01228958347,0.02169623803,-0.03961156544,0.07968241137,0.08923202683,-0.03815988771
45.5,-0.05286672076,-0.01650325726,0.02515924884,-0.02364018708,-0.0105763656,-0.01694111338,0.04042874667,0.03788300346
52,-0.06001047778,-0.01352042281,0.06087565736,-0.05168015814,-0.002723565743,-0.08966144795,0.01606688086,0.02960188578
58.5,-0.05753265138,0.000966137107,0.04314795152,-0.04178480678,0.002261983413,-0.1000258503,0.03275372394,0.03115939928
65,-0.04398838796,0.02542721882,-0.06281640422,0.0109736359,0.01710560148,-0.07842528662,0.0289639958,0.08205684065
71.5,0.0002426125281,0.06280855926,-0.06282098939,-0.01814779536,0.06709454556,-0.03253535304,0.009641809053,0.08119934338
78,0.05631590119,0.02115817457,-0.06282149668,-0.03133681455,0.02466813392,-0.04930083762,0.003194166206,0.06376735114
84.5,0.04683735299,0.00739141195,-0.06281895171,-0.02937846123,0.0477832242,-0.07468357844,-0.01037508291,0.05751052269
91,-0.06281517189,-0.04570749605,-0.06277537803,-0.05023182106,0.03466245662,-0.02097100335,-0.03215377176,0.03650526164
97.5,-0.06282470276,-0.06280218601,-0.02325434912,-0.06280712237,0.01151297455,-0.01551511091,-0.07606715203,4.344185735e-05
104,-0.06282162297,-0.05810893172,0.02822458145,-0.03326781877,0.00382035669,-0.04411053897,-0.07196003864,-0.04281798299
110.5,0.02121468735,0.015152363,0.06280909008,-0.03342173448,-0.02621906699,-0.07931015655,0.003588047227,-0.03155797044
117,0.03228812595,0.06281922186,0.06281518966,-0.06104785764,-0.0440317766,0.0107379971,0.01074698603,-0.01237985283
123.5,0,0,0,0,0,0,0,0
