k,t_start,t_end,dt,ux1,uy1,ux2,uy2
1,0.0,1.4844559555122439,1.4844559555122439,0.0,0.0,0.0,0.0
2,1.4844559555122439,2.9689119110244877,1.4844559555122439,0.13872482859510218,-0.18079938518141567,-0.04157828956165297,0.25080987664763543
3,2.9689119110244877,4.453367866536731,1.4844559555122436,0.12150055475095586,-0.2619186218326899,0.02211639885461719,0.23561244550935145
4,4.453367866536731,5.937823822048975,1.484455955512244,-0.055052840473688726,-0.26319825284838394,0.07785060007908959,0.11727363524175662
5,5.937823822048975,7.4222797775612195,1.484455955512244,-0.2676021739507282,-0.23573050592074912,0.09132522166171271,0.0469604806858389
6,7.4222797775612195,8.906735733073463,1.4844559555122432,-0.3397933120679059,-0.21324969632411667,0.0711565616751426,0.048148317713001314
7,8.906735733073463,10.391191688585707,1.484455955512244,-0.2537870480482868,-0.16873313610974275,0.008481239961602487,0.10262648369933641
8,10.391191688585707,11.87564764409795,1.484455955512244,-0.13254368577635922,-0.10007241300921714,-0.08356444537969272,0.15194138245997424
9,11.87564764409795,13.360103599610195,1.484455955512244,-0.022478347294660587,-0.06575218366679701,-0.15502844469979787,0.1170683170426411
10,13.360103599610195,14.844559555122439,1.484455955512244,0.09800087499645309,-0.07416906806198602,-0.16486546461119705,0.019953560230067738
11,14.844559555122439,16.329015510634683,1.484455955512244,0.22476656081306215,-0.07710688907368438,-0.12028187367316884,-0.036320485256938186
12,16.329015510634683,17.813471466146925,1.4844559555122423,0.29555975575160415,-0.06685182490881755,-0.036309554255986,-0.00213784728815305
13,17.813471466146925,19.297927421659168,1.4844559555122423,0.25838430851633826,-0.07967274842742954,0.0747071163295484,0.0776718329614128
14,19.297927421659168,20.78238337717141,1.4844559555122423,0.15247284234972758,-0.107262772433858,0.168737384696389,0.12927072093127837
15,20.78238337717141,22.266839332683652,1.4844559555122423,0.06915738285764672,-0.12227231676041811,0.2080961921726569,0.11595751839917448
16,22.266839332683652,23.751295288195895,1.4844559555122423,0.047082950616209616,-0.12302906047481299,0.19619370747283338,0.06442461959097066
17,23.751295288195895,25.235751243708137,1.4844559555122423,0.04349954879727902,-0.11568464791871882,0.1596063288001228,0.02808175587894841
18,25.235751243708137,26.72020719922038,1.4844559555122423,0.0070310782612112216,-0.09865157972610497,0.11176144555539928,0.02670895898696919
19,26.72020719922038,28.20466315473262,1.4844559555122423,-0.06944878957748483,-0.07901786571180808,0.05010060591237376,0.03252993635746171
20,28.20466315473262,29.689119110244864,1.4844559555122423,-0.1603659167494685,-0.09350232140475254,-0.02905970973863079,0.013555807235020756
21,29.689119110244864,31.173575065757106,1.4844559555122423,-0.21610748303434846,-0.17740956229223773,-0.1312308063147245,-0.01091571713620923
22,31.173575065757106,32.65803102126935,1.4844559555122459,-0.1733901877808231,-0.273906969375595,-0.24131089800022512,0.020894333808682126
23,32.65803102126935,34.1424869767816,1.4844559555122459,-0.05053364605114977,-0.2622816901137065,-0.28992178793384915,0.0968930876745289
24,34.1424869767816,35.626942932293844,1.4844559555122459,0.05812914204580966,-0.16321856326439865,-0.22873138444513672,0.12110369995718559
25,35.626942932293844,37.11139888780609,1.4844559555122459,0.12677637645468365,-0.10146870755525206,-0.10013782088625715,0.08924327222873914
26,37.11139888780609,38.595854843318335,1.4844559555122459,0.1510490939364182,-0.1309079898129581,0.017055285615508398,0.04451551466363408
27,38.595854843318335,40.08031079883058,1.4844559555122459,0.07872626025974543,-0.21914414612529481,0.0753516113629727,0.022530046932856138
28,40.08031079883058,41.56476675434283,1.4844559555122459,-0.11602047492313598,-0.2703889501678344,0.09465864070245184,0.06517713557725961
29,41.56476675434283,43.04922270985507,1.4844559555122459,-0.3040909513374448,-0.2230858018888613,0.12728769970184706,0.15310689696802732
30,43.04922270985507,44.53367866536732,1.4844559555122459,-0.30317004574995365,-0.14176323710862107,0.16906932177858378,0.18247645174451396
31,44.53367866536732,46.018134620879565,1.4844559555122459,-0.13166344778730288,-0.09589838269096168,0.1867128748875318,0.10262997807126883
32,46.018134620879565,47.50259057639181,1.4844559555122459,0.056868097035839685,-0.07962377898168567,0.18540474621220038,-0.019134721887845717
33,47.50259057639181,48.987046531904056,1.4844559555122459,0.16806544992206868,-0.06904203884296582,0.17914701149044474,-0.08272196264419696
34,48.987046531904056,50.4715024874163,1.4844559555122459,0.18611876452535675,-0.06805787454190379,0.1846412119331717,-0.05180709155604472
35,50.4715024874163,51.95595844292855,1.4844559555122459,0.138066347221494,-0.07180048226417032,0.1992720315776067,0.034464320504636936
36,51.95595844292855,53.440414398440794,1.4844559555122459,0.07105659490993858,-0.0625848079453059,0.21246026114517097,0.10669544238172896
37,53.440414398440794,54.92487035395304,1.4844559555122459,0.030741099237258276,-0.04579058007129689,0.22618853924280058,0.12151970506522894
38,54.92487035395304,56.409326309465285,1.4844559555122459,0.032734479220186075,-0.048318414214248664,0.23899926847508476,0.09654250447271112
39,56.409326309465285,57.89378226497753,1.4844559555122459,0.06070197872208234,-0.07881553402235104,0.24222878919187005,0.07494799254422653
40,57.89378226497753,59.37823822048978,1.4844559555122459,0.09001204759794688,-0.1081839450404055,0.2269920447688873,0.07409825516714498
41,59.37823822048978,60.86269417600202,1.4844559555122459,0.10365237232156466,-0.10584759443654537,0.19693101437004001,0.08375667702525534
42,60.86269417600202,62.34715013151427,1.4844559555122459,0.10302077656548375,-0.09550460868156145,0.17836666351496816,0.09656948942596287
43,62.34715013151427,63.831606087026515,1.4844559555122459,0.12518841912550255,-0.11852809937434472,0.1821141786568337,0.12751606877660981
44,63.831606087026515,65.31606204253876,1.4844559555122459,0.1949526754876499,-0.141892952757464,0.1723471279108337,0.19660256842381943
45,65.31606204253876,66.800517998051,1.4844559555122459,0.2134265314687217,-0.10754637028684612,0.12972313946963754,0.24534900342638977
46,66.800517998051,68.28497395356325,1.4844559555122459,0.10524243867471338,0.0005366928856603186,0.07918066782732579,0.2139208852410057
47,68.28497395356325,69.7694299090755,1.4844559555122459,-0.07837118477160761,0.06617735801339854,0.033602994360543245,0.1059299495396255
48,69.7694299090755,71.25388586458774,1.4844559555122459,-0.23490585675989054,0.11496115989004335,-0.006104122104526689,-0.020575318303663076
49,71.25388586458774,72.73834182009999,1.4844559555122459,-0.27578800630745665,0.04976979625216686,0.020755588253556452,-0.100302954440649
50,72.73834182009999,74.22279777561224,1.4844559555122459,0.0,0.0,0.0,0.0
