k,t_start,t_end,dt,ux1,uy1,ux2,uy2
1,0.0,1.58188071478041,1.58188071478041,0.0,0.0,0.0,0.0
2,1.58188071478041,3.16376142956082,1.58188071478041,-0.00011941334021171866,-0.00023495039905079037,0.0003133130198853453,-5.121012058054001e-6
3,3.16376142956082,4.74564214434123,1.58188071478041,-0.00015269540520118877,-0.0002915734654509432,0.0003881237447165907,-1.3009999833921998e-5
4,4.74564214434123,6.32752285912164,1.58188071478041,-0.00014417778787517715,-0.0002638621512838478,0.0003518473259176479,-2.1754839120656456e-5
5,6.32752285912164,7.90940357390205,1.58188071478041,-0.00011883110034488259,-0.0002045407176716462,0.0002725746442233809,-2.906925446095563e-5
6,7.90940357390205,9.49128428868246,1.58188071478041,-8.583642871680274e-5,-0.0001327454362041973,0.00017774889276441814,-3.5973485789756345e-5
7,9.49128428868246,11.073165003462869,1.581880714780409,-4.902088507648985e-5,-5.514376447396891e-5,7.57176265843785e-5,-4.048389855401575e-5
8,11.073165003462869,12.65504571824328,1.5818807147804108,-1.1374860973046102e-5,2.327822151799758e-5,-2.6590911602302194e-5,-4.344621478508835e-5
9,12.65504571824328,14.23692643302369,1.5818807147804108,2.44059914505024e-5,9.780555732020056e-5,-0.0001231294791652066,-4.480484633962588e-5
10,14.23692643302369,15.818807147804101,1.5818807147804108,5.5909817226706516e-5,0.0001645785116519236,-0.0002088690535558747,-4.532563258819002e-5
11,15.818807147804101,17.400687862584512,1.5818807147804108,8.059134506190218e-5,0.00021982051763546587,-0.00027963968744622346,-4.5592471025990056e-5
12,17.400687862584512,18.982568577364923,1.5818807147804108,9.648796272087432e-5,0.0002606497574084285,-0.00033186712107597494,-4.553047170522878e-5
13,18.982568577364923,20.564449292145333,1.5818807147804108,0.00010238175322548461,0.00028458551530719287,-0.00036284181770360755,-4.44588118140262e-5
14,20.564449292145333,22.146330006925744,1.5818807147804108,9.810982388751579e-5,0.0002901928642529747,-0.00037113941161165517,-4.1466468945959984e-5
15,22.146330006925744,23.728210721706155,1.5818807147804108,8.461042182132282e-5,0.0002778226993517287,-0.0003573783373819867,-3.629940020791039e-5
16,23.728210721706155,25.310091436486566,1.5818807147804108,6.327682901951751e-5,0.000249462155575897,-0.00032424223062471423,-2.928053074585986e-5
