epsilon,fidelity
-0.02,1.9279169595752086
-0.0196,1.9555392951316382
-0.0192,1.9813092972002317
-0.0188,2.0051873035278955
-0.0184,2.0271413017963233
-0.018,2.047146853127112
-0.0176,2.0651870155399483
-0.0172,2.081252181307453
-0.0168,2.09533993640167
-0.0164,2.107454842726618
-0.016,2.117608209592254
-0.0156,2.125817847924541
-0.0152,2.1321077845474443
-0.0148,2.1365079669264735
-0.0144,2.1390539284143557
-0.014,2.139786475000338
-0.0136,2.1387513078387808
-0.0132,2.1359986777863913
-0.0128,2.131582998028304
-0.0124,2.1255624750054105
-0.012,2.117998719612647
-0.0116,2.108956351305379
-0.0112,2.098502632695621
-0.0108,2.0867070561722394
-0.0104,2.0736409930517095
-0.01,2.0593772979946325
-0.0096,2.0439899450006838
-0.0092,2.027553700672095
-0.0088,2.010143737602006
-0.0084,1.9918353404195248
-0.008,1.9727035736836498
-0.0076,1.9528229889937985
-0.0072,1.9322673396479924
-0.0068,1.9111093090639637
-0.0064,1.8894202798527617
-0.006,1.8672700954486547
-0.0056,1.8447268569320154
-0.0052,1.8218567220083433
-0.0048,1.798723760919638
-0.0044,1.7753897783153132
-0.004,1.751914203512806
-0.0036,1.728353966034925
-0.0032,1.704763425693161
-0.0028,1.6811942448210837
-0.0024,1.6576954089802824
-0.002,1.6343131107810365
-0.0016,1.6110907813383317
-0.0012,1.5880690279108485
-0.0008,1.565285695627944
-0.0004,1.5427758283560107
0.0,1.520571739955583
0.0004,1.4987030152705827
0.0008,1.4771965984100823
0.0012,1.4560767984289298
0.0016,1.4353654194317327
0.002,1.4150817726535436
0.0024,1.3952427676206758
0.0028,1.3758630302745558
0.0032,1.3569549278964286
0.0036,1.3385286963608751
0.004,1.3205925228635336
0.0044,1.30315261655327
0.0048,1.2862133187951272
0.0052,1.2697771735439358
0.0056,1.2538450444957345
0.006,1.23841616922572
0.0064,1.2234882536730112
0.0068,1.2090575821807226
0.0072,1.1951190609946885
0.0076,1.1816663051992764
0.008,1.1686917429916908
0.0084,1.1561866498820377
0.0088,1.1441412532470996
0.0092,1.1325447672738314
0.0096,1.12138549319896
0.01,1.1106508761349554
0.0104,1.1003275296223238
0.0108,1.090401365348338
0.0112,1.0808575991922231
0.0116,1.0716808420395694
0.012,1.0628551348682225
0.0124,1.0543640349301948
0.0128,1.0461906688813833
0.0132,1.0383177855886
0.0136,1.030727831594734
0.014,1.0234030069840983
0.0144,1.0163253493963536
0.0148,1.0094767821338182
0.0152,1.0028392073292498
0.0156,0.9963945691442623
0.016,0.990124933798957
0.0164,0.9840125677306468
0.0168,0.9780400350692813
0.0172,0.9721902795102091
0.0176,0.9664466943730481
0.018,0.9607932393690586
0.0184,0.9552145209713223
0.0188,0.9496959016494744
0.0192,0.9442235721893539
0.0196,0.9387846839352405
0.02,0.9333674050954913
