This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   566581
Number of nonzeros in inequality constraint Jacobian.:     2432
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1851
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      392
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1782
Total number of inequality constraints...............:      265
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      265

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  48  8.9910996e+00 1.08e-01 1.66e+07   2.8 1.37e+01    -  4.85e-01 9.61e-02f  3
  49  8.9510153e+00 1.38e-01 1.87e+07   2.8 1.08e+01    -  3.58e-01 5.11e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  9.2492786e+00 1.93e-01 1.80e+07   2.8 1.27e+02    -  1.78e-01 5.53e-02f  3
  51  9.3095571e+00 1.98e-01 6.35e+06   2.7 3.71e+00    -  6.91e-01 8.12e-01h  1
  52  9.3868151e+00 1.51e-01 7.97e+06   2.7 8.85e+00    -  5.80e-01 3.89e-01H  1
  53  9.5960792e+00 2.32e-01 1.16e+07   2.8 1.24e+01    -  6.69e-01 4.39e-01F  1
  54  9.6750090e+00 7.85e-02 8.31e+06   2.7 6.24e+00    -  1.00e+00 5.85e-01H  1
  55  9.8306560e+00 1.91e-01 1.22e+07   2.8 3.12e+01    -  2.18e-01 7.89e-02f  2
  56  9.8398058e+00 1.91e-01 1.26e+07   2.6 2.99e+01    -  3.52e-01 1.16e-02h  5
  57  9.9474123e+00 2.80e-01 1.51e+07   2.6 2.89e+01    -  3.39e-01 9.07e-02f  3
  58  1.0223919e+01 5.05e-01 1.84e+07   2.6 2.00e+01    -  2.91e-01 2.19e-01f  2
  59  1.0387821e+01 5.07e-01 1.85e+07   2.6 1.82e+02    -  1.04e-01 2.15e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.0280575e+01 1.12e-01 5.33e+06   2.6 1.69e+00    -  8.71e-01 1.00e+00h  1
  61  1.0266016e+01 1.07e-01 5.65e+06   1.9 8.45e+00    -  3.65e-01 8.56e-02h  2
  62  1.0150408e+01 4.80e-02 2.48e+06   1.9 1.12e+00    -  3.83e-01 9.45e-01h  1
  63  1.0067035e+01 7.14e-02 3.50e+06   2.8 1.14e+00    -  7.99e-01 1.00e+00f  1
  64  1.0041901e+01 6.82e-02 3.32e+06   2.8 6.00e+00    -  5.30e-01 5.31e-02h  4
  65  9.9834050e+00 9.01e-02 4.94e+06   2.8 3.70e+01    -  1.93e-01 4.64e-02f  3
  66  9.9776067e+00 8.99e-02 5.20e+06   2.7 2.02e+01    -  3.66e-01 9.49e-03h  6
  67  9.9721861e+00 8.94e-02 5.50e+06   2.0 1.48e+01    -  3.47e-01 1.44e-02h  6
  68  9.9663681e+00 8.88e-02 5.83e+06   2.0 1.42e+01    -  3.18e-01 1.70e-02h  6
  69  9.9785035e+00 8.83e-02 6.26e+06   2.0 1.12e+02    -  9.90e-02 7.36e-03f  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  9.8529622e+00 3.46e-02 6.42e+06   2.0 7.84e+00    -  4.83e-01 7.17e-01H  1
  71  1.0071806e+01 6.43e-01 1.41e+07   2.7 7.87e+00    -  1.00e+00 8.35e-01f  1
  72  1.0107931e+01 6.23e-01 1.64e+07   2.6 2.98e+01    -  2.78e-01 6.22e-02f  3
  73  1.0131209e+01 3.05e-01 1.71e+07   2.6 5.63e+00    -  9.01e-01 6.95e-01h  1
  74  1.0918213e+01 2.21e-01 1.91e+07   2.6 2.58e+01    -  4.43e-01 2.98e-01H  1
  75  1.0265787e+01 3.09e-01 1.10e+07   2.6 4.39e+00    -  8.01e-01 1.00e+00f  1
  76  9.9469850e+00 1.20e-01 6.52e+06   2.6 2.23e+00    -  7.64e-01 8.62e-01h  1
  77  9.9882919e+00 6.34e-02 6.76e+06   1.9 3.32e+00    -  6.72e-01 6.21e-01h  1
  78  9.9091176e+00 4.89e-02 5.32e+06   1.9 2.72e+00    -  4.12e-01 5.54e-01H  1
  79  9.7771568e+00 4.59e-02 4.28e+06   2.8 3.26e+00    -  8.89e-01 4.46e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  9.5190711e+00 3.00e-02 1.36e+07   2.5 3.91e+00    -  8.51e-01 9.74e-01H  1
  81  9.4136027e+00 3.08e-01 1.87e+07   2.7 4.44e+00    -  1.00e+00 7.68e-01f  1
  82  9.4498122e+00 2.98e-01 1.89e+07   2.6 2.29e+01    -  3.32e-01 4.97e-02f  3
  83  9.4797314e+00 2.01e-01 1.95e+07   2.6 1.42e+01    -  5.73e-01 5.07e-01H  1
  84  9.4579687e+00 1.47e-01 1.99e+07   2.6 9.35e+00    -  3.82e-01 3.42e-01H  1
  85  9.3583015e+00 3.73e-02 1.76e+07   2.6 4.56e+00    -  1.00e+00 6.79e-01H  1
  86  9.3049721e+00 1.34e-01 2.14e+07   2.8 3.13e+01    -  1.42e-01 8.49e-02f  2
  87  9.2989851e+00 1.34e-01 2.16e+07   2.6 5.27e+01    -  1.12e-01 2.67e-03h  6
  88  9.2953489e+00 1.34e-01 2.17e+07   2.6 1.14e+02    -  5.15e-02 6.24e-04h  8
  89  9.2063801e+00 1.56e-01 2.44e+07   2.6 1.47e+02    -  6.49e-02 1.08e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  9.0969742e+00 2.82e-01 3.05e+07   2.6 1.59e+02    -  4.38e-02 2.37e-02f  3
  91  9.0392448e+00 3.05e-01 3.29e+07   2.6 9.63e+01    -  7.60e-02 1.31e-02f  4
  92  8.9462287e+00 3.57e-01 3.58e+07   2.6 8.01e+01    -  1.39e-01 2.26e-02f  4
  93  9.1150147e+00 5.19e-01 3.78e+07   2.8 2.74e+02    -  3.21e-02 1.90e-02f  2
  94  8.9900703e+00 1.08e-01 1.83e+07   2.6 1.49e+00    -  7.06e-01 8.15e-01h  1
  95  8.9947120e+00 1.01e-01 1.47e+07   2.8 7.10e+00    -  3.83e-01 1.74e-01f  1
  96  9.1344538e+00 3.10e-01 2.17e+07   2.8 7.88e+00    -  5.28e-01 4.46e-01f  1
  97  8.9341222e+00 2.20e-01 5.47e+06   2.7 5.26e+00    -  2.99e-01 8.70e-01H  1
  98  9.0320923e+00 7.42e-01 2.96e+07   2.8 6.76e+00    -  5.20e-01 9.04e-01f  1
  99  9.1770223e+00 7.62e-01 2.81e+07   2.7 4.27e+02    -  4.72e-02 4.29e-03f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  9.8139667e+00 8.97e-01 3.25e+07   2.7 1.92e+01    -  4.80e-01 3.12e-01h  1
 101  9.8924964e+00 8.54e-01 3.21e+07   2.7 1.45e+01    -  3.03e-01 6.41e-02h  1
 102  9.9259236e+00 2.68e-01 2.03e+07   2.7 1.41e+01    -  4.95e-01 5.78e-01H  1
 103  1.0094294e+01 3.35e-01 3.59e+07   2.7 2.85e+02    -  3.48e-02 2.15e-02f  2
 104  1.0128079e+01 3.13e-01 3.80e+07   2.7 1.01e+01    -  2.81e-01 1.53e-01f  2
 105  1.0157635e+01 2.55e-01 3.55e+07   2.7 9.25e+00    -  3.92e-01 2.86e-01H  1
 106  1.0057069e+01 1.82e-01 3.01e+07   2.7 6.21e+00    -  2.38e-01 3.32e-01F  1
 107  1.0391309e+01 1.95e-01 2.50e+07   2.7 2.06e+02    -  4.47e-02 1.54e-02f  3
 108  1.0220919e+01 2.41e-01 1.98e+07   2.7 5.82e+00    -  2.17e-01 4.83e-01h  1
 109  9.9420871e+00 1.93e-01 1.69e+07   2.7 4.91e+00    -  3.11e-01 3.98e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  9.8016203e+00 1.74e-01 1.13e+07   2.7 8.41e+00    -  3.37e-01 4.36e-01F  1
 111  9.7559490e+00 1.74e-01 1.24e+07   2.7 2.85e+02    -  4.54e-02 2.17e-03f  5
 112  9.5647508e+00 2.30e-01 1.41e+07   2.7 2.88e+01    -  1.66e-01 8.95e-02f  3
 113  9.4398902e+00 2.84e-01 1.49e+07   2.7 2.41e+01    -  1.38e-01 8.20e-02f  3
 114  9.2883825e+00 4.63e-01 1.72e+07   2.7 1.95e+01    -  2.55e-01 1.68e-01f  2
 115  9.2585654e+00 4.63e-01 1.69e+07   2.7 1.72e+02    -  7.79e-02 1.44e-03h  6
 116  9.0983743e+00 4.60e-01 1.62e+07   2.7 2.22e+01    -  1.75e-01 6.06e-02f  3
 117  8.9533060e+00 4.56e-01 1.67e+07   2.7 2.01e+01    -  4.03e-01 6.42e-02f  3
 118  8.7777971e+00 4.60e-01 1.73e+07   2.7 1.75e+01    -  3.26e-01 1.00e-01f  3
 119  8.4969073e+00 5.22e-01 2.29e+07   2.8 1.86e+02    -  3.93e-02 1.66e-02f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  8.0324169e+00 3.85e-01 2.03e+07   2.8 1.74e+01    -  3.49e-01 4.34e-01H  1
 121  7.9363086e+00 2.85e-01 1.87e+07   2.5 1.17e+01    -  3.80e-01 2.79e-01H  1
 122  7.9220817e+00 2.10e-01 1.61e+07   2.8 7.68e+00    -  2.74e-01 2.50e-01F  1
 123  8.7259572e+00 3.16e-01 2.85e+07   2.8 2.18e+02    -  3.77e-02 2.75e-02f  2
 124  8.7834998e+00 3.13e-01 2.91e+07   2.6 3.37e+01    -  1.01e-01 1.73e-02h  4
