This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   566581
Number of nonzeros in inequality constraint Jacobian.:     2412
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1851
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      392
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1782
Total number of inequality constraints...............:      265
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      265

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.5410493e-02 5.97e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.5376654e-02 5.90e+00 3.70e+01  -0.4 1.26e+01    -  3.11e-01 1.22e-02h  1
   2  2.6046929e-02 5.76e+00 6.31e+01   0.7 1.45e+01    -  3.64e-02 2.24e-02h  1
   3  4.3397083e-02 5.69e+00 1.02e+03   1.9 1.15e+02    -  3.41e-02 1.05e-02f  1
   4  5.2181168e-02 5.56e+00 1.90e+03  -4.0 2.37e+01    -  8.03e-02 2.20e-02h  1
   5  4.1748633e-01 5.12e+00 1.71e+03   0.9 6.15e+01    -  8.43e-02 9.69e-02h  1
   6  9.5774923e-01 4.75e+00 2.29e+03  -4.0 8.24e+01    -  6.72e-02 7.71e-02h  1
   7  1.4753327e+00 4.32e+00 3.28e+03   1.6 1.13e+02    -  5.18e-02 5.90e-02f  1
   8  1.9458413e+00 4.14e+00 3.83e+04   2.5 1.36e+02    -  3.68e-01 3.51e-02f  1
   9  3.8341760e+00 4.07e+00 8.64e+04   2.7 6.74e+01    -  1.38e-01 1.48e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.1478061e+00 3.68e+00 2.47e+05   2.8 4.17e+01    -  3.14e-01 1.73e-01h  1
  11  6.4197560e+00 4.11e+00 4.96e+05   2.8 3.85e+01    -  3.04e-01 2.25e-01h  1
  12  7.6663869e+00 3.76e+00 7.55e+05   2.8 3.47e+01    -  5.00e-01 2.15e-01h  1
  13  1.0691369e+01 2.73e+00 1.51e+06   2.8 2.50e+01    -  6.25e-01 4.67e-01H  1
  14  1.5264759e+01 1.87e+00 2.33e+06   2.8 2.83e+01    -  5.21e-01 5.34e-01H  1
  15  1.6850582e+01 1.03e+00 1.72e+06   2.8 1.06e+01    -  9.37e-01 6.36e-01h  1
  16  1.6709077e+01 6.71e-01 7.18e+05   2.5 1.76e+01    -  5.61e-01 5.63e-01F  1
  17  1.6653583e+01 4.94e-01 5.73e+05   1.5 9.46e+00    -  5.47e-01 5.15e-01h  1
  18  1.7601633e+01 8.02e-01 9.48e+05   2.6 9.13e+00    -  8.71e-01 7.82e-01f  1
  19  1.9005024e+01 1.33e+00 8.84e+05   2.4 1.04e+01    -  6.23e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.8566517e+01 4.56e-01 7.76e+05   2.4 6.16e+00    -  9.62e-01 1.00e+00f  1
  21  1.8270250e+01 1.25e-01 2.94e+05   2.1 4.05e+00    -  1.00e+00 1.00e+00h  1
  22  1.8139330e+01 6.89e-02 2.24e+05   1.7 2.04e+00    -  1.00e+00 1.00e+00h  1
  23  1.7422598e+01 4.76e-02 3.56e+05   1.5 4.07e+00    -  9.26e-01 9.95e-01H  1
  24  1.7968759e+01 1.32e-01 2.89e+05   1.8 3.63e+00    -  1.00e+00 1.00e+00f  1
  25  1.7862829e+01 2.17e-02 1.19e+05   1.7 1.29e+00    -  1.00e+00 1.00e+00h  1
  26  1.7578281e+01 3.07e-03 1.03e+05   1.1 1.61e+00    -  9.33e-01 1.00e+00H  1
  27  1.7566532e+01 3.00e-03 1.05e+05   0.8 2.56e+00    -  1.00e+00 6.25e-02h  5
  28  1.7564500e+01 2.97e-03 1.05e+05   1.1 5.73e+00    -  1.00e+00 1.13e-02h  7
  29  1.7765686e+01 2.17e-01 2.84e+05   1.4 7.43e+00    -  1.00e+00 3.68e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.7590707e+01 6.34e-02 6.56e+05   1.3 3.48e+00    -  7.62e-01 1.00e+00H  1
  31  1.7470010e+01 1.61e-02 2.48e+05   1.3 2.05e+00    -  1.00e+00 1.00e+00H  1
  32  1.7406340e+01 4.63e-03 2.65e+05   0.6 2.19e+00    -  9.94e-01 1.00e+00H  1
  33  1.7521760e+01 3.55e-02 7.90e+04   1.1 1.48e+00    -  1.00e+00 1.00e+00f  1
  34  1.7490450e+01 2.29e-03 4.82e+04   1.0 2.64e-01    -  1.00e+00 1.00e+00h  1
  35  1.7412134e+01 9.50e-04 6.48e+04   0.3 7.59e-01    -  1.00e+00 1.00e+00H  1
  36  1.7395577e+01 5.37e-04 7.72e+04   0.1 1.71e+00    -  1.00e+00 1.25e-01h  4
  37  1.7294341e+01 7.78e-05 6.19e+04  -0.4 7.78e-01    -  9.88e-01 1.00e+00H  1
  38  1.7279898e+01 3.67e-05 7.87e+04  -0.6 5.18e-01    -  9.91e-01 1.00e+00H  1
  39  1.7328000e+01 7.79e-03 1.64e+04  -0.4 5.46e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.7334586e+01 1.63e-03 3.20e+04  -0.5 3.42e-01    -  1.00e+00 1.00e+00h  1
  41  1.7319826e+01 1.00e-03 3.38e+03  -0.5 2.65e-01    -  1.00e+00 1.00e+00h  1
  42  1.7318437e+01 1.01e-05 2.41e+03  -0.5 1.61e-02    -  1.00e+00 1.00e+00h  1
  43  1.7309141e+01 7.93e-06 4.74e+03  -1.6 7.43e-02    -  1.00e+00 1.00e+00H  1
  44  1.7307814e+01 7.93e-06 5.58e+03  -2.1 1.62e-01    -  1.00e+00 6.25e-02h  5
  45  1.7301984e+01 8.07e-06 5.62e+03  -2.7 5.96e-02    -  1.00e+00 1.00e+00H  1
  46r 1.7301984e+01 8.07e-06 1.00e+03  -2.1 0.00e+00    -  0.00e+00 3.45e-07R 20
  47r 1.7306234e+01 8.01e-05 1.00e+02  -1.7 2.64e-02    -  1.00e+00 7.43e-01f  1
  48r 1.7340997e+01 1.43e-03 1.32e+01  -1.9 2.21e-01    -  1.00e+00 1.00e+00f  1
  49r 1.7401798e+01 2.25e-03 8.57e+00  -1.9 3.01e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 1.7424969e+01 3.19e-04 6.48e+00  -1.9 1.73e-01    -  1.00e+00 1.00e+00h  1
  51r 1.7431301e+01 5.47e-05 1.96e+00  -1.9 7.87e-02    -  1.00e+00 1.00e+00h  1
  52r 1.7441065e+01 2.54e-05 8.98e-01  -1.9 4.81e-02    -  1.00e+00 1.00e+00h  1
  53r 1.7446932e+01 1.18e-05 1.06e+00  -1.9 3.58e-02    -  1.00e+00 1.00e+00h  1
  54  1.7479663e+01 8.30e-04 2.77e+03  -0.3 1.49e+02    -  2.33e-01 1.51e-03f  1
  55  1.8363665e+01 4.28e-01 4.28e+03  -0.3 2.29e+01    -  8.17e-01 2.62e-01f  1
  56  1.8557729e+01 3.18e-01 2.88e+03  -0.3 8.44e+00    -  6.25e-01 3.53e-01f  1
  57  1.8538161e+01 2.07e-01 8.40e+02  -0.3 4.69e+00    -  1.00e+00 1.00e+00f  1
  58  1.8020684e+01 1.75e-01 9.96e+02  -0.3 3.73e+00    -  1.00e+00 1.00e+00f  1
  59  1.7909568e+01 1.12e-01 8.46e+02  -0.3 3.04e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.7744134e+01 8.77e-02 6.65e+02  -0.3 2.19e+00    -  1.00e+00 1.00e+00h  1
  61  1.7564214e+01 3.66e-02 9.43e+02  -0.3 2.54e+00    -  1.00e+00 5.00e-01h  2
  62  1.7528143e+01 3.19e-02 1.42e+03  -0.3 2.47e+00    -  1.00e+00 1.25e-01h  4
  63  1.7478675e+01 3.56e-02 1.59e+03  -0.3 4.41e+00    -  1.00e+00 1.25e-01f  4
  64  1.7400698e+01 1.17e-01 2.88e+03  -0.3 6.94e+00    -  1.00e+00 2.50e-01f  3
  65  1.7303792e+01 1.13e-01 3.27e+03  -0.3 3.21e+00    -  1.00e+00 2.50e-01h  3
  66  1.6887051e+01 1.80e-01 2.71e+03  -0.3 3.43e+00    -  1.00e+00 1.00e+00f  1
  67  1.6850387e+01 1.25e-02 1.47e+03  -0.5 1.28e+00    -  1.00e+00 1.00e+00h  1
  68  1.6764621e+01 1.78e-02 7.95e+02  -1.1 1.18e+00    -  1.00e+00 1.00e+00h  1
  69  1.6506722e+01 4.08e-02 2.11e+02  -1.8 1.23e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.5074814e+01 4.06e-01 3.14e+02  -1.9 3.95e+00    -  1.00e+00 1.00e+00h  1
  71  1.2996847e+01 1.35e+00 4.13e+02  -1.0 3.63e+01    -  7.72e-01 2.84e-01f  1
  72  1.1392070e+01 1.74e+00 1.53e+02  -1.3 1.32e+01    -  1.00e+00 8.64e-01h  1
  73  1.5438262e+01 4.27e+00 1.40e+02  -0.7 2.49e+01    -  1.00e+00 8.49e-01f  1
  74  1.3621351e+01 2.53e+00 5.09e+01  -0.8 1.30e+01    -  8.04e-01 1.00e+00h  1
  75  1.1820770e+01 1.45e+00 3.46e+01  -1.4 1.07e+01    -  1.00e+00 1.00e+00h  1
  76  1.0819382e+01 8.08e-01 5.54e+01  -1.7 9.84e+00    -  1.00e+00 8.34e-01h  1
  77  1.0711884e+01 1.24e+00 9.91e+01  -1.5 9.57e+00    -  7.39e-01 9.07e-01h  1
  78  1.0038055e+01 7.13e-01 5.39e+01  -1.5 8.27e+00    -  1.00e+00 8.40e-01h  1
  79  9.6900513e+00 2.31e-01 3.76e+01  -1.7 4.14e+00    -  1.00e+00 9.15e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  9.3207549e+00 1.36e-01 4.68e+01  -2.2 4.98e+00    -  1.00e+00 6.29e-01h  1
  81  9.0232587e+00 2.40e-01 7.17e+01  -1.9 6.24e+00    -  1.00e+00 6.37e-01h  1
  82  8.6812558e+00 1.40e-01 6.09e+01  -2.2 2.62e+00    -  1.00e+00 1.00e+00h  1
  83  8.5317537e+00 9.61e-02 3.79e+01  -2.6 2.64e+00    -  1.00e+00 5.09e-01h  1
  84  8.3847218e+00 7.52e-02 5.40e+01  -2.6 2.94e+00    -  1.00e+00 5.98e-01h  1
  85  8.2915559e+00 9.97e-02 7.10e+01  -2.4 4.70e+00    -  7.66e-01 2.95e-01h  1
  86  8.1217624e+00 1.73e-01 1.03e+02  -3.7 7.14e+00    -  3.01e-01 2.52e-01h  1
  87  7.9931027e+00 2.51e-01 1.45e+02  -2.3 9.67e+00    -  4.76e-01 2.81e-01h  1
  88  7.8722201e+00 4.40e-01 2.58e+02  -2.1 1.42e+01    -  4.05e-01 3.46e-01h  1
  89  7.6189946e+00 1.09e-01 1.74e+02  -2.3 2.05e+00    -  8.16e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  7.6021299e+00 1.06e-01 1.61e+02  -2.0 2.22e+00    -  1.00e+00 1.00e+00h  1
  91  7.5665331e+00 4.84e-02 7.85e+01  -2.5 1.75e+00    -  1.00e+00 7.76e-01h  1
  92  7.7957381e+00 3.76e-02 1.16e+02  -1.8 2.12e+00    -  1.00e+00 6.12e-01h  1
