method,var_obj,tog_obj,tog_obj_upsampled
default,0.30791321247049264,0.3061580834750906,0.30791318613577146
toggling,4.6920205826277196e-5,8.967527565806502e-9,4.6918727268244244e-5
variational,1.6289650185354314e-8,6.293127377117096e-5,1.626663077360164e-8
