time_ns,u_X1,u_Y1,u_X2,u_Y2,du_X1,du_Y1,du_X2,du_Y2
0,-0.04101982859,1.715724546e-08,-0.03033704456,6.41152816e-09,1.832636594e-08,8.366761795e-09,6.848419321e-09,3.2994258e-08
5.652173913,-0.03650766929,0,-0.03123764245,0,0,0,0,0
11.30434783,-0.04808758772,0,0.05752558125,0,0,0,0,0
16.95652174,0.03724776936,0,0.01050179662,0,0,0,0,0
22.60869565,-0.02249594965,0,0.0557024092,0,0,0,0,0
28.26086957,0.01344102344,0,-0.01650649221,0,0,0,0,0
33.91304348,-0.0225883499,0,-0.01349264524,0,0,0,0,0
39.56521739,-0.01419725165,0,-0.02339571201,0,0,0,0,0
45.2173913,0.04109218011,0,0.01200308095,0,0,0,0,0
50.86956522,0.02668212275,0,0.00917550175,0,0,0,0,0
56.52173913,-0.0213602251,0,0.02847028791,0,0,0,0,0
62.17391304,-0.02801409022,1.234283884e-15,-0.0466112473,-2.276279331e-14,1.318389842e-15,-2.886579864e-15,-2.431388424e-14,3.219646771e-15
67.82608696,-0.0006518801549,0,-0.06032997361,0,0,0,0,0
73.47826087,0.02688041458,0,0.05207843597,0,0,0,0,0
79.13043478,0.0322380879,0,0.05161468904,0,0,0,0,0
84.7826087,0.002754346029,0,0.02558655805,0,0,0,0,0
90.43478261,-0.0523039486,0,0.05629209027,0,0,0,0,0
96.08695652,0.05676019142,0,0.0293506584,0,0,0,0,0
101.7391304,0.03889043473,0,0.01503613222,0,0,0,0,0
107.3913043,-0.02104105152,0,-0.03177392036,0,0,0,0,0
113.0434783,-0.0016953611,0,0.03962119616,0,0,0,0,0
118.6956522,-0.04958501063,4.020187137e-14,0.06229319428,-3.54998352e-14,4.294128728e-14,-1.150922156e-14,-3.79188473e-14,-2.202035083e-14
124.3478261,0.05662760274,6.730095282e-15,0.05349025406,6.444261119e-15,7.188694084e-15,3.086420008e-14,6.883382753e-15,4.318767566e-14
130,-0.00454834583,-2.592501625e-08,0.04875102563,1.844306354e-08,-2.76915858e-08,-3.083013088e-09,1.96998016e-08,7.421114417e-09
