time_ns,u_X1,u_Y1,u_X2,u_Y2
0,-0.04101982859,1.715724546e-08,-0.03033704456,6.41152816e-09
0.06503251626,-0.04101804918,1.768214655e-08,-0.03033739905,8.505609266e-09
0.1300650325,-0.04101276831,1.816912388e-08,-0.03033845244,1.049766768e-08
0.1950975488,-0.04100406846,1.861892322e-08,-0.03034018827,1.238952491e-08
0.260130065,-0.0409920321,1.903229035e-08,-0.03034259007,1.418300246e-08
0.3251625813,-0.04097674171,1.940997107e-08,-0.03034564139,1.587992183e-08
0.3901950975,-0.04095827974,1.975271115e-08,-0.03034932576,1.748210454e-08
0.4552276138,-0.04093672868,2.006125638e-08,-0.03035362672,1.899137208e-08
0.5202601301,-0.040912171,2.033635253e-08,-0.03035852782,2.040954597e-08
0.5852926463,-0.04088468916,2.05787454e-08,-0.03036401258,2.173844771e-08
0.6503251626,-0.04085436565,2.078918077e-08,-0.03037006455,2.29798988e-08
0.7153576788,-0.04082128292,2.096840441e-08,-0.03037666726,2.413572076e-08
0.7803901951,-0.04078552346,2.111716212e-08,-0.03038380426,2.520773508e-08
0.8454227114,-0.04074716974,2.123619967e-08,-0.03039145909,2.619776327e-08
0.9104552276,-0.04070630422,2.132626285e-08,-0.03039961527,2.710762684e-08
0.9754877439,-0.04066300939,2.138809744e-08,-0.03040825636,2.79391473e-08
1.04052026,-0.0406173677,2.142244922e-08,-0.03041736588,2.869414614e-08
1.105552776,-0.04056946164,2.143006398e-08,-0.03042692738,2.937444489e-08
1.170585293,-0.04051937367,2.141168751e-08,-0.0304369244,2.998186503e-08
1.235617809,-0.04046718627,2.136806557e-08,-0.03044734048,3.051822808e-08
1.300650325,-0.04041298191,2.129994396e-08,-0.03045815915,3.098535555e-08
1.365682841,-0.04035684306,2.120806847e-08,-0.03046936395,3.138506893e-08
1.430715358,-0.04029885219,2.109318486e-08,-0.03048093842,3.171918974e-08
1.495747874,-0.04023909177,2.095603893e-08,-0.0304928661,3.198953948e-08
1.56078039,-0.04017764429,2.079737646e-08,-0.03050513052,3.219793966e-08
1.625812906,-0.0401145922,2.061794323e-08,-0.03051771524,3.234621178e-08
1.690845423,-0.04005001798,2.041848503e-08,-0.03053060378,3.243617735e-08
1.755877939,-0.0399840041,2.019974763e-08,-0.03054377968,3.246965787e-08
1.820910455,-0.03991663303,1.996247683e-08,-0.03055722649,3.244847486e-08
1.885942971,-0.03984798726,1.97074184e-08,-0.03057092774,3.237444981e-08
1.950975488,-0.03977814923,1.943531813e-08,-0.03058486696,3.224940423e-08
2.016008004,-0.03970720144,1.91469218e-08,-0.03059902771,3.207515963e-08
2.08104052,-0.03963522635,1.884297519e-08,-0.03061339351,3.185353751e-08
2.146073037,-0.03956230643,1.852422409e-08,-0.03062794791,3.158635938e-08
2.211105553,-0.03948852416,1.819141428e-08,-0.03064267444,3.127544675e-08
2.276138069,-0.039413962,1.784529154e-08,-0.03065755664,3.092262111e-08
2.341170585,-0.03933870244,1.748660165e-08,-0.03067257806,3.052970399e-08
2.406203102,-0.03926282793,1.711609041e-08,-0.03068772222,3.009851687e-08
2.471235618,-0.03918642095,1.673450359e-08,-0.03070297268,2.963088128e-08
2.536268134,-0.03910956398,1.634258697e-08,-0.03071831296,2.912861871e-08
2.60130065,-0.03903233949,1.594108634e-08,-0.0307337266,2.859355067e-08
2.666333167,-0.03895482994,1.553074748e-08,-0.03074919716,2.802749866e-08
2.731365683,-0.03887711781,1.511231618e-08,-0.03076470815,2.74322842e-08
2.796398199,-0.03879928558,1.468653821e-08,-0.03078024312,2.680972879e-08
2.861430715,-0.03872141571,1.425415937e-08,-0.03079578562,2.616165392e-08
2.926463232,-0.03864359067,1.381592543e-08,-0.03081131917,2.548988112e-08
2.991495748,-0.03856589294,1.337258217e-08,-0.03082682733,2.479623188e-08
3.056528264,-0.03848840499,1.292487539e-08,-0.03084229361,2.408252772e-08
3.12156078,-0.03841120929,1.247355085e-08,-0.03085770157,2.335059013e-08
3.186593297,-0.03833438832,1.201935436e-08,-0.03087303475,2.260224062e-08
3.251625813,-0.03825802453,1.156303168e-08,-0.03088827668,2.18393007e-08
3.316658329,-0.03818220042,1.110532861e-08,-0.03090341089,2.106359188e-08
3.381690845,-0.03810699844,1.064699091e-08,-0.03091842094,2.027693565e-08
3.446723362,-0.03803250108,1.018876439e-08,-0.03093329035,1.948115354e-08
3.511755878,-0.03795879079,9.731394822e-09,-0.03094800267,1.867806703e-08
3.576788394,-0.03788595006,9.275627986e-09,-0.03096254144,1.786949764e-08
3.64182091,-0.03781406136,8.822209667e-09,-0.03097689018,1.705726687e-08
3.706853427,-0.03774320715,8.371885649e-09,-0.03099103245,1.624319624e-08
3.771885943,-0.03767346991,7.925401715e-09,-0.03100495178,1.542910724e-08
3.836918459,-0.03760493212,7.483503647e-09,-0.03101863171,1.461682137e-08
3.901950975,-0.03753767624,7.046937229e-09,-0.03103205578,1.380816016e-08
3.966983492,-0.03747178474,6.616448244e-09,-0.03104520753,1.30049451e-08
4.032016008,-0.0374073401,6.192782475e-09,-0.03105807048,1.22089977e-08
4.097048524,-0.03734442479,5.776685704e-09,-0.0310706282,1.142213946e-08
4.162081041,-0.03728312128,5.368903716e-09,-0.0310828642,1.064619189e-08
4.227113557,-0.03722351204,4.970182294e-09,-0.03109476204,9.882976494e-09
4.292146073,-0.03716567955,4.581267219e-09,-0.03110630524,9.134314782e-09
4.357178589,-0.03710970627,4.202904276e-09,-0.03111747735,8.402028258e-09
4.422211106,-0.03705567468,3.835839247e-09,-0.03112826191,7.687938428e-09
4.487243622,-0.03700366726,3.480817916e-09,-0.03113864246,6.993866796e-09
4.552276138,-0.03695376646,3.138586065e-09,-0.03114860253,6.321634869e-09
4.617308654,-0.03690605477,2.809889479e-09,-0.03115812566,5.673064154e-09
4.682341171,-0.03686061465,2.495473938e-09,-0.03116719539,5.049976155e-09
4.747373687,-0.03681752858,2.196085228e-09,-0.03117579526,4.454192378e-09
4.812406203,-0.03677687903,1.912469131e-09,-0.03118390881,3.88753433e-09
4.877438719,-0.03673874847,1.645371429e-09,-0.03119151958,3.351823515e-09
4.942471236,-0.03670321938,1.395537907e-09,-0.0311986111,2.848881441e-09
5.007503752,-0.03667037422,1.163714347e-09,-0.03120516692,2.380529613e-09
5.072536268,-0.03664029547,9.506465322e-10,-0.03121117057,1.948589536e-09
5.137568784,-0.03661306559,7.570802456e-10,-0.03121660559,1.554882716e-09
5.202601301,-0.03658876707,5.837612705e-10,-0.03122145552,1.20123066e-09
5.267633817,-0.03656748237,4.314353899e-10,-0.0312257039,8.894548734e-10
5.332666333,-0.03654929396,3.008483868e-10,-0.03122933426,6.213768613e-10
5.397698849,-0.03653428432,1.927460443e-10,-0.03123233015,3.988181301e-10
5.462731366,-0.03652253591,1.078741456e-10,-0.03123467511,2.236001854e-10
5.527763882,-0.03651413122,4.697847375e-11,-0.03123635267,9.754453319e-11
5.592796398,-0.03650915271,1.080481174e-11,-0.03123734637,2.247267923e-11
5.657828914,-0.03650770405,0,-0.03123737608,0
5.722861431,-0.03651305751,0,-0.03119634031,0
5.787893947,-0.03652737878,0,-0.03108656392,0
5.852926463,-0.03655045618,0,-0.03090966931,0
5.917958979,-0.03658207808,0,-0.0306672789,0
5.982991496,-0.0366220328,0,-0.03036101508,0
6.048024012,-0.0366701087,0,-0.02999250027,0
6.113056528,-0.03672609411,0,-0.02956335686,0
6.178089045,-0.03678977738,0,-0.02907520727,0
6.243121561,-0.03686094685,0,-0.02852967389,0
6.308154077,-0.03693939087,0,-0.02792837915,0
6.373186593,-0.03702489778,0,-0.02727294543,0
6.43821911,-0.03711725593,0,-0.02656499514,0
6.503251626,-0.03721625365,0,-0.0258061507,0
6.568284142,-0.03732167929,0,-0.02499803451,0
6.633316658,-0.03743332119,0,-0.02414226897,0
6.698349175,-0.0375509677,0,-0.02324047648,0
