time_ns,u_X1,u_Y1,u_X2,u_Y2,du_X1,du_Y1,du_X2,du_Y2
0,0,0,0,0,0,0,0,0
10.83333333,-0.02105168105,-0.02980038714,-0.003929678753,0.0219709979,-0.01015515013,-0.01045276054,0.01247006452,0.02002430519
21.66666667,-0.006956024697,-0.01732618031,-0.006339367674,-0.01343807595,0.01417140649,-0.0162956934,-0.03618962198,0.0185793405
32.5,-0.004903991511,-0.01621125025,0.03350236989,0.01046050634,0.0175639663,0.001005421419,0.001345861543,-0.02740709927
43.33333333,-0.01121267534,-0.02426363598,-0.002854790986,-0.02085054979,-0.007637412846,0.01042401835,-0.01976793893,0.006867749411
54.16666667,0.004991387817,-0.00222813268,0.01420558684,0.01139689381,0.002381220771,-0.01041803723,0.01299655813,-0.01070442721
65,0.002149929068,-0.004872002877,0.008725347075,-0.01220603176,-0.005544158544,-0.00521260422,-0.008546951192,0.001557083487
75.83333333,0.00460282012,-0.0002977150086,0.01382438319,0.004365650715,-0.003827817552,-0.009548152458,0.01408745298,-0.002357593732
86.66666667,-0.00342545733,-0.002105542916,0.009289777521,0.003819804786,-0.006710060129,-0.005633716592,0.0164953796,0.01189687177
97.5,-0.01411651362,-0.004321173307,0.002690840075,0.001215646143,-0.01227811914,-0.004076895336,0.01024813956,0.02333581657
108.3333333,-0.01465766469,0.001049750525,-0.002166877072,-0.003768350613,-0.01037126681,-0.01328455218,-0.002431607334,0.02569167134
119.1666667,-0.01278199373,0.007684801075,-0.00318462208,-0.0188896002,-0.002266900005,-0.02013333127,-0.02639191432,0.008290512823
130,-0.0143811565,0.01205669048,-0.00150406532,0.004394720804,0.004448033379,-0.01466630893,0.003390706522,-0.009525824841
140.8333333,-0.01474858557,0.02092879688,0.002212837713,0.01552689803,0.01696940485,-0.005624207144,0.02682035409,-0.005243846113
151.6666667,-0.03201579919,-0.003914213155,-0.003886911081,0.0050411324,-0.01311154304,0.01462067889,0.02192720258,0.0166834502
162.5,-0.02319599546,0.01077502729,-0.002009598912,0.001609621293,-0.005757223867,0.002504598018,0.01704628677,0.02373033121
173.3333333,-0.01773307478,0.00658873446,0.0003495751254,-0.001685451984,-0.01558638622,0.002236667835,0.01155497931,0.02972291202
184.1666667,-0.007004629431,0.0004329085125,0.002293516013,-0.006428150098,-0.0243664325,-0.007197654129,0.002238969493,0.03420520382
195,0.00405034272,0.002142012533,0.006881222701,-0.01125534817,-0.0179429698,-0.01868722415,-0.006884514873,0.02870817887
205.8333333,0.01236338813,0.008568901618,0.01377931934,-0.01135468067,-0.002694845491,-0.02288847177,-0.007924205651,0.0171295824
216.6666667,0.01451384976,0.01982332923,0.01616137132,-0.01130613139,0.01678857711,-0.0116309158,-0.003394554161,0.00904190343
227.5,0.0144618025,0.01960613257,0.01773538661,-0.01581856112,0.01503823116,0.001697624282,-0.0005974670503,0.0003760737398
238.3333333,0.01525261533,0.03990090069,0.01661808264,-0.0242580312,0.02513909663,0.01363860914,0.0002581630197,-0.008936938267
249.1666667,0,0,0,0,0,0,0,0
