This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1188
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.7792180e+01 1.25e+00 5.12e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.9042675e-01 5.70e-01 3.54e+00  -0.4 8.58e-01    -  9.04e-01 1.00e+00f  1
   2  3.3428164e-01 1.82e-01 1.42e+00  -1.0 6.94e-01    -  7.69e-01 7.50e-01h  1
   3  3.7001096e-01 2.71e-01 4.45e+00  -1.6 6.54e-01    -  6.37e-01 1.00e+00h  1
   4  5.4630507e-01 1.87e-01 3.16e+00  -1.3 1.54e+00    -  9.66e-01 5.00e-01h  2
   5  2.5912180e-01 1.19e-01 2.92e+00  -1.5 1.03e+00    -  9.84e-01 5.00e-01h  2
   6  2.5019958e-01 1.30e-01 2.36e+00  -1.5 1.44e+00    -  9.84e-01 2.50e-01h  3
   7  2.3435607e-01 1.69e-01 1.98e+00  -1.3 2.03e+00    -  1.00e+00 2.08e-01h  3
   8  2.3804689e-01 1.64e-01 1.82e+00  -1.3 1.83e+00    -  9.22e-01 1.25e-01h  4
   9  2.2910650e-01 1.40e-01 3.03e+00  -1.4 2.00e+00    -  9.57e-01 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.5687807e-01 1.35e-01 1.89e+00  -1.5 1.35e+00    -  9.77e-01 5.00e-01h  2
  11  6.6870136e-01 1.77e-01 5.56e-01  -1.6 7.13e-01    -  1.00e+00 1.00e+00H  1
  12  5.3516009e-01 1.26e-01 3.07e-01  -2.3 4.98e-01    -  9.96e-01 3.51e-01h  1
  13  4.5091437e-01 1.05e-01 4.88e-01  -2.7 4.29e-01    -  9.98e-01 1.00e+00h  1
  14  1.2007705e-01 1.18e-02 1.72e-01  -3.3 1.52e-01    -  1.00e+00 1.00e+00h  1
  15  1.1566557e-01 5.89e-03 8.11e-02  -3.1 9.92e-02    -  1.00e+00 1.00e+00h  1
  16  1.0682425e-01 1.57e-03 1.45e-02  -4.0 4.57e-02    -  1.00e+00 1.00e+00h  1
  17  1.0323692e-01 1.41e-03 1.73e+00  -3.1 1.97e-01    -  1.00e+00 4.24e-02H  1
  18  7.5085039e-02 1.91e-02 3.67e-01  -3.7 1.73e-01    -  1.00e+00 1.00e+00h  1
  19  8.6646719e-02 1.83e-02 5.48e-01  -4.0 3.29e-01    -  9.75e-01 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  5.5684044e-02 8.74e-03 2.18e-01  -4.0 1.21e-01    -  1.00e+00 1.00e+00h  1
  21  1.0340334e-01 2.77e-03 8.12e-02  -4.0 1.47e-01    -  1.00e+00 1.00e+00H  1
  22  5.1522468e-02 2.64e-03 7.10e-02  -4.1 5.98e-02    -  1.00e+00 1.00e+00h  1
  23  4.3950998e-02 1.33e-03 6.12e-02  -4.0 4.02e-02    -  1.00e+00 1.00e+00h  1
  24  4.2560677e-02 2.13e-03 5.82e-02  -4.0 5.92e-02    -  1.00e+00 1.00e+00h  1
  25  4.0313954e-02 3.88e-03 1.35e-01  -4.0 1.30e-01    -  1.00e+00 5.00e-01h  2
  26  3.4278001e-02 4.81e-03 4.41e-02  -4.0 8.53e-02    -  1.00e+00 1.00e+00h  1
  27  2.9160510e-02 2.45e-02 3.57e-02  -3.4 2.35e-01    -  9.43e-01 1.00e+00h  1
  28  2.8291908e-02 2.33e-02 3.93e-02  -3.7 6.18e-01    -  1.00e+00 6.08e-02H  1
  29  2.8206948e-02 8.80e-03 1.27e-02  -3.5 1.19e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.8263909e-02 1.47e-02 3.19e-02  -3.6 2.96e-01    -  1.00e+00 4.33e-01h  1
  31  2.1269501e-02 3.82e-03 6.76e-03  -4.0 7.16e-02    -  1.00e+00 1.00e+00h  1
  32  2.0260864e-02 1.99e-03 1.21e-02  -4.0 5.26e-02    -  1.00e+00 1.00e+00h  1
  33  1.9440248e-02 2.22e-03 2.52e-02  -4.0 1.89e-01    -  1.00e+00 2.50e-01h  3
  34  1.7516551e-02 1.38e-03 4.88e-03  -4.0 7.01e-02    -  1.00e+00 9.54e-01h  1
  35  1.7406462e-02 1.52e-03 1.19e-01  -4.0 4.30e-01    -  1.00e+00 6.25e-02h  5
  36  1.6631862e-02 4.99e-03 4.80e-01  -4.0 2.51e-01    -  1.00e+00 3.16e-01H  1
  37  2.2468844e-02 3.11e-03 4.01e-02  -4.0 1.67e-01    -  1.00e+00 1.00e+00H  1
  38  1.9656312e-02 4.94e-03 6.15e-02  -4.1 2.56e-01    -  1.00e+00 2.50e-01h  3
  39  1.7758583e-02 1.57e-02 1.83e-02  -4.1 1.67e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.4653893e-02 3.38e-03 7.19e-03  -4.1 1.27e-01    -  1.00e+00 1.00e+00h  1
  41  1.4319632e-02 2.88e-03 4.30e-03  -4.0 2.33e-01    -  1.00e+00 1.25e-01h  4
  42  3.4695782e-02 3.37e-03 2.77e-02  -4.0 1.16e-01    -  1.00e+00 1.00e+00H  1
  43  1.3637554e-02 7.77e-03 5.94e-03  -4.1 1.53e-01    -  1.00e+00 1.00e+00h  1
  44  1.3517984e-02 1.11e-03 8.16e-03  -4.0 3.87e-02    -  1.00e+00 1.00e+00h  1
  45  1.2994145e-02 7.99e-04 7.31e-03  -4.0 3.91e-02    -  1.00e+00 1.00e+00h  1
  46  1.2670985e-02 1.38e-03 1.01e-01  -4.0 8.80e-01    -  1.00e+00 4.89e-02h  4
  47  1.2226640e-02 3.36e-03 3.54e-02  -3.4 8.46e-01    -  8.07e-01 1.25e-01h  4
  48  1.1724388e-02 4.31e-03 4.31e-02  -3.7 1.11e+00    -  1.00e+00 6.25e-02h  5
  49  1.1588880e-02 6.57e-03 4.88e-02  -3.7 8.05e-01    -  6.70e-01 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.1494468e-02 5.48e-03 1.10e-01  -4.0 6.98e-01    -  1.00e+00 7.23e-03H  1
  51  1.0622312e-02 1.27e-03 1.14e-02  -4.0 1.28e-01    -  1.00e+00 1.00e+00h  1
  52  1.0909630e-02 2.88e-03 1.43e-02  -4.0 1.89e-01    -  1.00e+00 1.00e+00h  1
  53  1.2274185e-02 1.13e-03 1.58e-02  -4.0 3.68e-02    -  1.00e+00 1.00e+00H  1
  54  1.0032439e-02 3.88e-03 1.96e-02  -4.0 1.48e-01    -  1.00e+00 1.00e+00h  1
  55  1.0796423e-02 7.13e-03 4.35e-01  -4.0 1.85e-01    -  1.00e+00 1.59e-01H  1
  56  1.0069358e-02 2.02e-03 2.82e-02  -4.1 5.33e-02    -  1.00e+00 1.00e+00h  1
  57  9.9819300e-03 7.86e-04 2.40e-02  -4.0 3.30e-02    -  7.74e-01 1.00e+00h  1
  58  9.7585628e-03 2.98e-04 2.35e-03  -4.0 1.82e-02    -  1.00e+00 1.00e+00h  1
  59  9.5624948e-03 2.45e-04 1.07e-01  -4.0 3.51e-02    -  1.00e+00 2.30e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  9.4953034e-03 3.63e-04 1.85e-02  -4.0 2.00e-02    -  1.00e+00 1.00e+00h  1
  61  9.2959829e-03 3.40e-04 3.28e-02  -4.0 3.41e-02    -  1.00e+00 1.00e+00h  1
  62  9.2344691e-03 3.60e-04 3.93e-02  -4.0 1.99e-01    -  1.00e+00 6.25e-02h  5
  63  8.9540080e-03 2.90e-04 3.51e-02  -4.0 2.06e-02    -  1.00e+00 1.00e+00h  1
  64  8.9287383e-03 2.59e-03 1.49e-01  -3.4 1.54e-01    -  9.78e-01 5.00e-01h  2
  65  8.7492047e-03 2.09e-03 6.62e-02  -4.0 2.05e-01    -  1.00e+00 1.45e-01H  1
  66  8.5470188e-03 4.66e-03 1.48e-01  -4.0 1.84e-01    -  1.00e+00 5.00e-01h  2
  67  9.2080655e-03 4.33e-03 1.62e-01  -4.0 9.86e-01    -  1.00e+00 1.25e-01h  4
  68  1.8132301e-02 1.96e-03 1.06e-01  -4.1 6.84e-02    -  1.00e+00 1.00e+00h  1
  69  7.9093181e-03 1.92e-03 2.01e-02  -4.1 1.73e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  8.0274005e-03 9.34e-04 2.35e-02  -4.0 3.70e-02    -  1.00e+00 1.00e+00h  1
  71  7.6849378e-03 4.02e-04 6.26e-03  -4.0 5.13e-02    -  1.00e+00 1.00e+00h  1
  72  7.8587463e-03 1.89e-03 2.23e-02  -4.0 7.97e-02    -  1.00e+00 1.00e+00h  1
  73  7.5360838e-03 7.35e-04 3.67e-03  -4.0 4.11e-02    -  1.00e+00 1.00e+00h  1
  74  7.5192224e-03 6.10e-04 3.93e-03  -4.0 6.45e-02    -  1.00e+00 5.00e-01h  2
  75  7.4354336e-03 6.06e-05 4.40e-03  -4.0 1.01e-02    -  1.00e+00 1.00e+00h  1
  76  7.4418685e-03 3.24e-04 2.56e-02  -4.0 1.23e-01    -  1.00e+00 5.00e-01h  2
  77  7.3346632e-03 4.00e-04 2.53e-01  -4.1 1.38e-01    -  1.00e+00 1.66e-01h  3
  78  7.2270983e-03 4.48e-04 5.06e-02  -4.0 3.04e-01    -  1.00e+00 6.25e-02h  5
  79  7.5440502e-03 3.63e-03 1.51e-01  -3.2 4.70e-01    -  9.72e-01 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  8.2354246e-03 3.50e-03 9.98e-02  -3.3 7.04e-01    -  1.68e-01 2.85e-03H  1
  81  7.0455381e-03 1.12e-03 4.60e-02  -3.3 8.44e-02    -  1.00e+00 1.00e+00f  1
  82  7.3257152e-03 1.14e-03 1.61e-01  -4.0 2.08e-01    -  1.00e+00 5.00e-01h  2
  83  6.8565216e-03 2.62e-03 5.29e-02  -4.1 2.11e-01    -  1.00e+00 3.18e-01h  2
  84  6.6699412e-03 3.08e-03 6.88e-02  -3.7 4.68e+00    -  1.00e+00 7.50e-03h  7
  85  9.3196948e-03 2.97e-03 1.77e-01  -2.9 6.83e-01    -  7.75e-01 1.25e-01h  4
  86  6.6990303e-03 1.90e-03 5.57e-02  -3.1 1.25e-01    -  1.00e+00 1.00e+00h  1
  87  6.6292292e-03 6.12e-04 3.08e-02  -4.0 4.41e-02    -  1.00e+00 1.00e+00h  1
  88  6.4473973e-03 2.36e-03 8.62e-02  -4.0 8.21e-02    -  1.00e+00 1.00e+00h  1
  89  6.4344810e-03 2.76e-03 1.25e-01  -4.0 1.15e+00    -  1.00e+00 3.12e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  6.4067156e-03 2.84e-03 1.47e-01  -4.0 2.79e-01    -  1.00e+00 2.50e-01h  3
  91  6.3724583e-03 3.10e-03 1.79e-01  -4.0 3.47e-01    -  1.00e+00 1.25e-01h  4
  92  6.6938173e-03 3.16e-03 9.23e-02  -4.0 1.92e-01    -  1.00e+00 1.00e+00h  1
  93  7.5557706e-03 3.06e-03 7.93e-02  -4.1 3.56e-01    -  4.16e-01 2.50e-01h  3
  94  5.7447921e-03 3.36e-03 1.21e-02  -4.1 2.04e-01    -  1.00e+00 1.00e+00h  1
  95  5.6357843e-03 3.11e-04 9.51e-03  -4.0 2.36e-02    -  1.00e+00 1.00e+00h  1
  96  5.6610171e-03 5.18e-04 1.13e-02  -4.0 9.43e-02    -  1.00e+00 5.00e-01h  2
  97  5.6350834e-03 7.76e-04 8.09e-02  -4.1 5.65e-01    -  1.00e+00 5.22e-02h  5
  98  5.6043892e-03 7.81e-04 3.70e-02  -4.1 1.06e-01    -  1.00e+00 1.25e-01h  4
  99  5.2765229e-03 1.45e-03 6.65e-02  -4.0 2.61e-01    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  5.4746411e-03 1.35e-03 4.80e-02  -4.0 1.63e-01    -  1.00e+00 1.25e-01h  4
