epsilon,def_piccolo,tog_piccolo,var_piccolo,def_qt_unfilt,tog_qt_unfilt,var_qt_unfilt,def_qt_filt,tog_qt_filt,var_qt_filt
-0.03,0.08105877540567333,0.7270650017623416,0.11536192276488291,0.2847252367683826,0.8526465515504449,0.33971924250554447,0.3225878341920854,0.8745312712931197,0.3381083544883631
-0.0294,0.05145003281264931,0.6731151775202554,0.14304403395369703,0.22684991249267641,0.8204725422217682,0.37868075586838273,0.2638056770748568,0.8439759108879965,0.37666428725156564
-0.0288,0.028024615599731965,0.6103300514458511,0.17325298033551786,0.16766529275729763,0.7811992567974004,0.4164676184013178,0.20304688334896498,0.8061656691396307,0.41521388451473173
-0.0282,0.011470338381398985,0.5410690235063196,0.2057293897963373,0.10710359303655742,0.7354158062131686,0.4538210580647325,0.14094483397742502,0.7616072975366305,0.45286199673183136
-0.0276,0.002166225308219426,0.4678434139448533,0.24018201236076359,0.04675180026893075,0.6840658273612195,0.4903363507886027,0.07829564541235401,0.7106545667529327,0.4894823069443409
-0.027,0.00018654913142284265,0.39321686248420146,0.2762948124153507,0.013502767042088415,0.6272680770161984,0.5258351230016847,0.015609689848154806,0.6540118138720485,0.5255708248535597
-0.0264,0.005319093367799404,0.319709046313603,0.31373431420604636,0.0727443848700432,0.5656355194261444,0.5600884423238859,0.046344870209680644,0.5925612090506404,0.5608251983674528
-0.0258,0.01709573629483006,0.2497064993114153,0.352156978746754,0.13039235488579803,0.49949104168944247,0.5931699761655039,0.10707832224726221,0.526445412941941,0.5937836150194864
-0.0252,0.03483292776896486,0.18538377086646116,0.39121640497296084,0.18639188369823856,0.4304179048391133,0.6257866974150849,0.16608872893639337,0.4567410793028095,0.6256568574551045
-0.0246,0.05767927172250811,0.12863750621160464,0.43057016870518566,0.23996377698434707,0.35852104352876296,0.6564041294006773,0.22274240132008788,0.3842002123548825,0.6570769441478453
-0.024,0.0846672496830482,0.0810352996371721,0.4698861384597651,0.29084594618316395,0.2845734583212586,0.6857470747791595,0.27673732947130864,0.3092064408037694,0.6865551543250509
-0.0234,0.11476612340618096,0.04378040677537452,0.508848135990386,0.3385581517549031,0.20936169463639925,0.7134678359721085,0.32769215118709993,0.23272318158926525,0.7146970743734569
-0.0228,0.14693322645996282,0.01769264093710949,0.5471608402833298,0.38325259654201543,0.13299617340480951,0.7395970429584253,0.37537307210507753,0.15495307594696467,0.7411835190886118
