epsilon,def_piccolo,tog_piccolo,var_piccolo,def_qt_unfilt,tog_qt_unfilt,var_qt_unfilt,def_qt_filt,tog_qt_filt,var_qt_filt
-0.03,0.08236166040196867,0.6990865410173566,0.015746783012005643,0.2871448630639949,0.8361468724357596,0.1253364896315881,0.3250953231623849,0.8523042715161071,0.14112786692392504
-0.0294,0.05250780967888332,0.6434558892067699,0.003867596931475024,0.22927263334790113,0.8021267777946517,0.06186936600754092,0.2662892411864738,0.8188098078421147,0.0783218532809091
-0.0288,0.028819644958020137,0.5797212801238619,6.826581810335252e-7,0.16989016445355842,0.7616240551428346,0.0010040397150107572,0.20555104378952188,0.7781898824484959,0.015603530834278817
-0.0282,0.011988705357926833,0.5102660742886551,0.003996876315335405,0.10961487184245702,0.7143525523460826,0.06331037168735243,0.14350702016117964,0.7309089759820605,0.04677340075032996
-0.0276,0.002397906301302946,0.4375987585522482,0.015544090092345787,0.04901902621956142,0.6616514933068203,0.12477256235015444,0.08083793202647585,0.6777030158472048,0.1081384952298972
-0.027,0.00012551264143151485,0.3642544984772508,0.03418765628361915,0.010957567171777594,0.6036570519273081,0.18507163560941786,0.018227195708421795,0.6190746830944736,0.16855883759099577
-0.0264,0.004963332548259182,0.2927009597285011,0.05935291442834898,0.07025648681303492,0.5411240794386784,0.24397198620496494,0.0437163445124405,0.5557850941999726,0.22752059822724258
-0.0258,0.016447231259029527,0.22525204884786115,0.0903691360188964,0.1280679235002563,0.4746611465700335,0.3005926357069647,0.1044554809607166,0.48834870558989213,0.28501472340402534
-0.0252,0.033897536455156065,0.16399265099927893,0.12649392549195176,0.18391803972192866,0.40523301957460695,0.35547011878546414,0.1633423486070686,0.4174187105222213,0.3404658870825733
-0.0246,0.05646654931449855,0.11071676576288715,0.1669373068999213,0.23729257078064298,0.3328220601438351,0.40860892681029504,0.22012294407315208,0.34394182627142966,0.39362139812049135
-0.024,0.08319019818889292,0.066880700602857,0.21088479733621965,0.28830847640352214,0.2586147872040462,0.45924174294441944,0.27410592566338293,0.2682579892912614,0.4449988816761262
-0.0234,0.11304087495909376,0.033572214746142075,0.25751887513208965,0.3360166936425724,0.1831885527879077,0.5076389574661972,0.32506603866225675,0.19156494777063093,0.4941497300719879
-0.0228,0.14497866612541643,0.0114957520879338,0.30603836732027495,0.3805973800836695,0.1071840622020705,0.5532168654460559,0.3727341154542715,0.11409523452221781,0.5403110927787079
-0.0222,0.17799851058044297,0.0009731954085726568,0.35567540137532516,0.4218049475817056,0.03125141505974893,0.5968197669530376,0.41699366094182333,0.036492037338503314,0.5840151361660828
-0.0216,0.21117125476067902,0.001958945911047798,0.4057096857394545,0.4593487048075262,0.0442280850286465,0.6370487624738043,0.4575011326242494,0.0404613924323986,0.6254317457573102
-0.021,0.24367709863741693,0.014067606139871697,0.4554799976871903,0.4935044087048821,0.11869434880929508,0.6749060986795707,0.4942439732588228,0.11640037774155942,0.6638794068003215
-0.0204,0.27483049456395825,0.03661213815856132,0.504392861964561,0.5242185500262115,0.1913855813770245,0.7102375490975461,0.527412688066476,0.1903055216318702,0.700176271870405
-0.0198,0.30409613634821486,0.06865009262286453,0.5519284964606561,0.5514894466138325,0.2621944347523076,0.7431544859445672,0.5568443374193262,0.2623720824454877,0.733774277198493
-0.0192,0.331096220841864,0.10903536099848013,0.5976441798696932,0.575386858880821,0.33041295558525097,0.773017761385421,0.5828359283326511,0.3314981746003003,0.7643179285656637
-0.0186,0.35560964573179465,0.15647288865010994,0.6411752596463028,0.5961458646748736,0.3956873093792267,0.80078535754492,0.6054605265893787,0.3979794227623996,0.7927813000346233
