This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1188
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  7.1696631e-03 1.38e-03 1.34e-02  -4.0 5.24e-02    -  1.00e+00 1.00e+00h  1
  48  6.8962729e-03 2.77e-03 2.93e-02  -4.0 4.93e-01    -  1.00e+00 2.50e-01h  3
  49  5.9642813e-03 4.27e-03 1.75e-02  -4.0 9.61e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  8.1840914e-03 7.28e-04 1.20e-02  -4.0 1.52e-01    -  1.00e+00 1.00e+00H  1
  51  5.9042870e-03 1.77e-03 2.26e-02  -4.0 1.37e-01    -  1.00e+00 1.00e+00h  1
  52  7.0416807e-03 7.26e-04 5.37e-03  -4.0 3.46e-02    -  1.00e+00 1.00e+00h  1
  53  5.2489038e-03 1.08e-03 1.54e-02  -4.0 4.16e-02    -  1.00e+00 1.00e+00h  1
  54  5.2047113e-03 6.30e-04 5.49e-03  -4.0 3.05e-02    -  1.00e+00 1.00e+00h  1
  55  5.1393556e-03 2.02e-04 4.00e-02  -4.0 2.91e-02    -  1.00e+00 5.99e-01H  1
  56  4.6854225e-03 2.44e-03 7.89e-03  -3.6 6.88e-02    -  9.52e-01 1.00e+00h  1
  57  4.6496060e-03 2.20e-03 1.03e-01  -4.0 3.03e-01    -  6.21e-01 1.74e-02H  1
  58  5.7700781e-03 5.64e-02 7.26e-03  -3.1 2.31e+00    -  7.79e-01 1.19e-01h  3
  59  6.4629264e-03 3.06e-01 5.00e-03  -3.3 8.09e-01    -  3.13e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  5.8170921e-03 2.82e-01 6.33e-03  -3.3 1.49e+00    -  6.58e-01 2.50e-01h  3
  61  5.0484577e-03 1.82e-01 7.71e-03  -3.3 1.43e+00    -  1.00e+00 2.16e-01H  1
  62  7.4125922e-02 7.26e-02 2.50e-02  -3.3 7.40e-01    -  7.02e-01 1.00e+00H  1
  63  5.6502920e-03 1.15e-01 1.39e-02  -3.3 4.44e-01    -  1.00e+00 1.00e+00h  1
  64  4.7385630e-03 8.58e-02 9.46e-03  -3.3 6.31e-01    -  1.00e+00 5.00e-01h  2
  65  4.8120582e-03 2.45e-02 7.92e-03  -3.3 2.72e-01    -  1.00e+00 1.00e+00h  1
  66  8.1948218e-03 3.36e-03 1.15e-02  -3.3 2.88e-01    -  1.00e+00 1.00e+00h  1
  67  4.2448243e-03 7.58e-02 2.45e-02  -3.3 3.64e-01    -  1.00e+00 1.00e+00h  1
  68  4.4082435e-03 3.18e-02 4.51e-03  -4.0 1.98e-01    -  9.91e-01 1.00e+00h  1
  69  4.1440155e-03 5.77e-02 3.57e-03  -3.6 9.76e-01    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.3931199e-03 2.97e-02 2.10e-03  -4.0 2.21e-01    -  1.00e+00 1.00e+00h  1
  71  3.5880306e-02 2.92e-03 1.53e-02  -3.2 1.21e-01    -  1.00e+00 9.11e-01H  1
  72  3.9780264e-03 3.91e-02 5.61e-02  -3.3 2.49e-01    -  1.00e+00 1.00e+00h  1
  73  3.5677327e-03 2.18e-02 3.85e-03  -3.3 1.68e-01    -  1.00e+00 1.00e+00h  1
  74  5.7896902e-03 1.21e-03 5.22e-03  -4.0 1.07e-01    -  1.00e+00 1.00e+00h  1
  75  3.2107795e-03 7.54e-03 1.50e-02  -4.1 1.12e-01    -  1.00e+00 1.00e+00h  1
  76  3.1384794e-03 4.90e-03 8.78e-04  -4.0 8.48e-02    -  1.00e+00 1.00e+00h  1
  77  1.8306205e-02 5.39e-04 1.23e-02  -4.0 1.00e-01    -  1.00e+00 8.87e-01H  1
  78  3.1035104e-03 2.56e-03 1.28e-02  -4.1 8.16e-02    -  1.00e+00 1.00e+00h  1
  79  3.0433153e-03 2.56e-03 6.17e-04  -4.0 6.23e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  3.9780493e-03 1.66e-04 4.63e-03  -4.0 4.45e-02    -  1.00e+00 9.52e-01H  1
  81  3.0358108e-03 4.11e-03 3.90e-02  -4.0 8.43e-02    -  1.00e+00 1.00e+00h  1
  82  3.2456161e-03 1.67e-03 2.05e-03  -4.0 4.95e-02    -  1.00e+00 1.00e+00h  1
  83  2.9535576e-03 2.63e-04 1.68e-03  -4.0 2.27e-02    -  1.00e+00 1.00e+00h  1
  84  3.0521219e-03 2.07e-04 1.13e-02  -4.0 1.73e-02    -  1.00e+00 1.00e+00h  1
  85  2.8905880e-03 2.39e-04 5.35e-03  -4.0 1.93e-02    -  1.00e+00 1.00e+00h  1
  86  2.9042277e-03 1.34e-04 1.19e-02  -4.0 1.50e-02    -  1.00e+00 1.00e+00h  1
  87  2.8775361e-03 9.85e-05 4.56e-03  -4.0 1.29e-02    -  1.00e+00 1.00e+00h  1
  88  2.8724873e-03 1.18e-05 3.68e-03  -4.0 4.25e-03    -  1.00e+00 1.00e+00h  1
  89  2.8596153e-03 5.86e-06 8.84e-03  -4.0 3.26e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.8517054e-03 1.64e-05 3.44e-01  -4.0 2.47e-02    -  1.00e+00 2.50e-01h  3
  91  2.7925417e-03 1.45e-05 2.13e-02  -4.0 5.65e-03    -  1.00e+00 1.00e+00h  1
  92  2.8348459e-03 7.38e-05 6.49e-01  -3.7 5.30e-02    -  9.76e-01 2.50e-01h  3
  93  2.8104419e-03 1.33e-04 5.41e-02  -3.8 1.53e-02    -  1.00e+00 1.00e+00h  1
  94  3.7466162e-03 9.02e-06 1.55e-01  -3.8 2.46e-02    -  1.00e+00 1.00e+00H  1
  95  2.6834891e-03 8.64e-05 5.57e-02  -3.8 1.28e-02    -  1.00e+00 1.00e+00h  1
  96  2.6003549e-03 4.93e-05 7.15e-03  -4.0 7.76e-03    -  1.00e+00 1.00e+00h  1
  97  2.5411523e-03 1.45e-04 4.45e-02  -4.0 1.99e-02    -  1.00e+00 1.00e+00h  1
  98  2.5424908e-03 1.35e-04 4.94e-01  -3.7 1.07e-01    -  1.00e+00 6.25e-02h  5
  99  2.4532644e-03 4.92e-05 3.76e-02  -4.0 1.07e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  2.4323550e-03 1.07e-04 1.55e-01  -4.0 4.95e-02    -  1.00e+00 2.50e-01h  3
 101  2.3640584e-03 2.97e-03 1.77e-01  -4.0 1.55e-01    -  1.00e+00 5.00e-01h  2
 102  2.9804774e-03 2.74e-03 2.09e-01  -4.0 2.78e-01    -  1.00e+00 1.25e-01h  4
 103  2.4365816e-03 4.02e-04 8.77e-02  -4.1 2.74e-02    -  1.00e+00 1.00e+00h  1
 104  2.4921588e-03 2.86e-04 1.53e-01  -4.1 3.40e-02    -  9.74e-01 5.00e-01h  2
 105  2.9536337e-03 1.86e-03 5.29e-02  -4.1 4.20e-02    -  1.00e+00 1.00e+00h  1
 106  2.2080561e-03 6.00e-04 2.13e-02  -4.1 2.06e-02    -  1.00e+00 1.00e+00h  1
 107  2.2140675e-03 2.53e-04 7.95e-03  -4.0 1.82e-02    -  1.00e+00 1.00e+00h  1
 108  2.1771666e-03 3.89e-05 7.45e-03  -4.0 7.71e-03    -  1.00e+00 1.00e+00h  1
 109  2.1761843e-03 1.32e-04 3.04e-02  -4.0 1.36e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  2.1598296e-03 4.44e-05 8.62e-03  -4.0 6.93e-03    -  1.00e+00 1.00e+00h  1
 111  2.1506954e-03 1.02e-06 7.09e-03  -4.0 4.14e-03    -  1.00e+00 1.00e+00H  1
 112  2.1485735e-03 3.66e-05 3.34e-02  -4.0 6.57e-03    -  1.00e+00 1.00e+00h  1
 113  2.1414406e-03 1.58e-05 8.23e-03  -4.0 4.65e-03    -  1.00e+00 1.00e+00h  1
 114  2.1393270e-03 3.39e-06 3.95e-03  -4.0 2.14e-03    -  1.00e+00 1.00e+00h  1
 115  2.1380141e-03 7.36e-08 2.11e-03  -4.0 2.77e-04    -  1.00e+00 1.00e+00h  1
 116  2.1193656e-03 2.50e-05 2.53e-02  -4.0 6.45e-03    -  1.00e+00 1.00e+00h  1
 117  2.0963915e-03 5.36e-05 3.99e-01  -4.0 1.32e-01    -  1.00e+00 6.25e-02h  5
 118  2.0632399e-03 1.18e-04 5.16e-01  -4.0 1.03e-01    -  1.00e+00 1.25e-01h  4
 119  2.0490817e-03 1.40e-04 4.38e-01  -4.0 7.21e-02    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  2.2075769e-03 2.55e-05 1.19e-01  -4.0 1.93e-02    -  1.00e+00 1.00e+00H  1
 121  2.0546879e-03 7.13e-05 3.96e-01  -4.1 1.76e-02    -  1.00e+00 5.00e-01h  2
 122  1.9700325e-03 5.23e-04 9.97e-02  -4.0 3.27e-02    -  1.00e+00 1.00e+00h  1
 123  1.9651436e-03 5.22e-04 4.28e-01  -4.0 1.23e-01    -  1.00e+00 6.25e-02h  5
 124  2.9205979e-03 1.18e-03 2.44e-02  -4.0 4.10e-02    -  1.00e+00 1.00e+00h  1
 125  1.9983889e-03 5.39e-04 1.12e-02  -4.1 3.03e-02    -  1.00e+00 1.00e+00h  1
 126  1.9720162e-03 4.77e-04 1.72e-02  -4.0 4.07e-02    -  1.00e+00 5.00e-01h  2
 127  2.0082427e-03 3.46e-04 4.91e-02  -4.0 4.62e-02    -  1.00e+00 4.57e-01H  1
 128  2.0611345e-03 3.24e-04 9.08e-03  -4.0 1.72e-02    -  1.00e+00 1.00e+00h  1
 129  2.0135331e-03 9.20e-04 1.89e-02  -4.1 3.70e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.9006718e-03 4.59e-04 3.45e-03  -4.0 1.95e-02    -  1.00e+00 1.00e+00h  1
 131  1.8879684e-03 1.45e-04 3.70e-02  -4.0 2.48e-02    -  1.00e+00 6.92e-01H  1
 132  1.9821010e-03 3.10e-04 9.45e-03  -4.0 1.95e-02    -  1.00e+00 1.00e+00h  1
 133  1.9086114e-03 3.48e-04 1.55e-02  -4.1 9.03e-02    -  1.00e+00 1.25e-01h  4
 134  1.8991329e-03 2.97e-04 4.49e-02  -4.1 3.92e-02    -  1.00e+00 5.00e-01h  2
 135  1.9024524e-03 2.73e-04 7.52e-03  -4.1 1.54e-02    -  1.00e+00 1.00e+00h  1
 136  2.4003579e-03 8.05e-04 3.99e-02  -4.1 5.29e-02    -  1.00e+00 9.66e-01h  1
 137  1.8478971e-03 2.45e-04 1.20e-02  -4.1 2.39e-02    -  1.00e+00 1.00e+00f  1
 138  1.8442158e-03 1.99e-04 7.00e-03  -4.0 1.31e-02    -  1.00e+00 1.00e+00h  1
