ä_vals,norm_G_var_z,norm_G_uni_z,norm_G_def_z,norm_G_add_z,var_obj_def_z,var_obj_tog_z,var_obj_uni_z,var_obj_var_z
0.001,0.7582229350604897,0.7585862223759561,0.7585840327846102,0.7946918828133176,0.5515481790499166,0.6056408998498279,0.5515510875747921,0.5509961101006273
0.001491890134588416,0.750976498902613,0.8252732693937108,0.8042717246379456,0.7503821313530833,0.6197247719947275,0.5402419046448601,0.637131364976057,0.6982521543931965
0.002225736173682242,0.7514232205476327,0.8306679774469269,0.886033586041293,0.8181830565423788,0.6927999814232991,0.6418336349621863,0.646139079449858,0.642375627862003
0.003320553839713106,0.8017299639659156,0.8173942620761663,0.7877048978029872,0.7728426525691583,0.5943629872243739,0.5730498569687038,0.6258303896506949,0.611581180818031
0.004953901514837667,0.6686747342097804,0.728416650234797,0.7817448150173126,0.6554918101859749,0.5866531231141732,0.4137812060359471,0.509748238930442,0.43064602937366625
0.0073906767977089255,0.6686694938642743,0.6002420194028134,0.7818626364615343,0.5628771897388627,0.5872137511673611,0.30576598603611593,0.34671152936736205,0.43063259576348956
0.011026077802433447,0.6690803815295294,0.7451466950543654,0.7799326520046495,0.3726682448115571,0.5838225608618814,0.1356019569054812,0.5331682364870113,0.43115033468622893
0.01644969669665478,0.029560469369422887,0.6018738288843899,0.7797408861437097,0.010332555166750634,0.5835237473793515,0.0008237020744660025,0.3484464344829153,0.0017565943274897066
0.02454114021871092,0.012218315049005312,0.36790430077273534,0.7796506636860913,0.014582894001271732,0.5833829996659715,0.0015283199067107273,0.1348870874118491,7.025665468306369e-7
0.036612684983845824,0.014770785990478373,0.31769249177735637,0.7793760356580597,0.0033617015111020517,0.5829772055247521,0.003260684964844978,0.1038772628454939,1.557904529127307e-5
0.05462210352819302,0.016255345263702974,0.1528727063661524,0.7806001660389973,0.0018591081846202357,0.5847954827568939,0.0006026184118048704,0.023516596154327885,6.2269965901752795e-6
0.08149017738417824,0.016784677375074736,0.06086987237666837,0.7808313504541778,0.0027450569022988047,0.585220154654166,0.001562519469998827,0.005827245499382495,1.075176808310508e-6
0.1215743917053156,0.020674683945250794,0.04677339582097774,0.7815696976946169,0.012263800964280645,0.5861772825785924,0.0004289333199770278,0.004104884890816656,1.6898670035424113e-6
0.18137563560374806,0.017436660429261563,0.02474899977739674,0.7829194263582938,0.0033966981755044388,0.5884915487374692,0.003557491344367112,0.0014012215293549369,1.3456349699820294e-6
0.2705925214119352,0.0175405500062607,0.019706747891592092,0.7849656886680132,0.0010834069634445284,0.591705541082839,0.0020685250151426774,0.001458559058591059,6.265738470133826e-5
0.40369431318787075,0.01735539435790026,0.027586129033695592,0.7905081687803174,0.000669008993192496,0.6004251886995798,0.0010872552516507118,0.0020213770712487708,3.273339458107669e-5
0.6022675632344306,0.07868985487982541,0.016296139584501764,0.788894883096379,0.003485926607936152,0.5978744462733677,0.0003128182730796605,0.0004614558863434582,8.71486629965124e-5
0.898517035972052,0.016617862960260386,0.03588927545074767,0.7912760540869156,0.002465419031972739,0.6016370259693553,0.0011261869267686472,0.0025730536820128378,7.699552129888851e-7
1.3404887017263292,0.017501968191991377,0.014519843825302543,0.7913333229026746,0.0026783856727891978,0.6017473963656108,0.0005778438941067655,0.0425426935722956,4.741088599938644e-7
1.9998618696327441,0.0170465475450625,0.0121428370470664,0.7901650183738939,0.02942877829617737,0.5992250492568958,0.0004315955865515819,0.026423351993012007,1.0515682544418698e-6
