epsilon,fidelity
-0.02,0.8956155134349714
-0.0196,0.9025035689998432
-0.0192,0.909080605752576
-0.0188,0.9153515741091653
-0.0184,0.9213217968015762
-0.018,0.9269969743702899
-0.0176,0.9323831492573739
-0.0172,0.937486704110366
-0.0168,0.9423143344318736
-0.0164,0.946873035886263
-0.016,0.9511700785725288
-0.0156,0.9552129905767642
-0.0152,0.9590095311308754
-0.0148,0.962567668646624
-0.0144,0.9658955626638547
-0.014,0.9690015245080136
-0.0136,0.971894010765954
-0.0132,0.9745815796339472
-0.0128,0.9770728736688908
-0.0124,0.979376595727913
-0.012,0.9815014735775626
-0.0116,0.9834562385799699
-0.0112,0.9852495999074291
-0.0108,0.9868902146869782
-0.0104,0.9883866648108182
-0.01,0.989747429707584
-0.0096,0.9909808620331203
-0.0092,0.9920951640378811
-0.0088,0.9930983635768703
-0.0084,0.9939982917587767
-0.008,0.9948025615798677
-0.0076,0.9955185478551934
-0.0072,0.9961533653949816
-0.0068,0.9967138561965538
-0.0064,0.9972065660667115
-0.006,0.9976377332021761
-0.0056,0.9980132716615077
-0.0052,0.9983387606058421
-0.0048,0.9986194295309465
-0.0044,0.9988601497597825
-0.004,0.9990654247806281
-0.0036,0.9992393825730296
-0.0032,0.999385769270905
-0.0028,0.9995079440957508
-0.0024,0.9996088759514347
-0.002,0.9996911406884577
-0.0016,0.9997569203024331
-0.0012,0.999808003102212
-0.0008,0.999845785133917
-0.0004,0.999871273282951
0.0,0.9998850887322948
0.0004,0.999887472466074
0.0008,0.999878291234412
0.0012,0.999857045108014
0.0016,0.9998228757899369
0.002,0.9997745758474025
0.0024,0.9997105992969285
0.0028,0.9996290727155376
0.0032,0.9995278074800098
0.0036,0.9994043124287054
0.004,0.9992558077449211
0.0044,0.9990792393010899
0.0048,0.9988712932713123
0.0052,0.9986284112709095
0.0056,0.9983468077399997
0.006,0.9980224842221245
0.0064,0.9976512477358505
0.0068,0.9972287262970944
0.0072,0.9967503860753467
0.0076,0.996211549921791
0.008,0.9956074111616419
0.0084,0.9949330543661015
0.0088,0.9941834687110704
0.0092,0.9933535651102121
0.0096,0.9924381941027878
0.01,0.9914321578330658
0.0104,0.9903302276373611
0.0108,0.9891271567159186
0.0112,0.9878176939586673
0.0116,0.9863965962856214
0.012,0.9848586397960041
0.0124,0.9831986321771966
0.0128,0.9814114185176569
0.0132,0.9794918943401772
0.0136,0.977435008774592
0.014,0.9752357727937075
0.0144,0.9728892629127669
0.0148,0.9703906263423641
0.0152,0.9677350804354032
0.0156,0.9649179149623575
0.016,0.9619344926540754
0.0164,0.9587802461755319
0.0168,0.9554506754931985
0.0172,0.9519413463521545
0.0176,0.9482478781094416
0.018,0.9443659495916347
0.0184,0.9402912789820984
0.0188,0.9360196280122005
0.0192,0.9315467851128824
0.0196,0.9268685591456131
0.02,0.9219807732427066
