This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1215565
Number of nonzeros in inequality constraint Jacobian.:     5312
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3879
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      824
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3726
Total number of inequality constraints...............:      553
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      553

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  47  2.7207625e+01 3.20e-03 1.05e+04  -2.0 6.54e-01    -  1.00e+00 1.89e-01h  2
  48  2.7193573e+01 2.83e-03 9.97e+03  -2.0 5.59e-01    -  6.60e-01 1.70e-01h  3
  49  2.7137827e+01 1.44e-02 2.03e+04  -1.4 1.96e+00    -  7.35e-01 2.66e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  2.7162821e+01 1.63e-02 1.76e+04  -0.9 2.20e+00    -  2.94e-01 2.11e-01f  1
  51  2.7135555e+01 1.67e-02 1.76e+04  -1.3 7.65e-01    -  8.05e-01 2.52e-01h  1
  52  2.7110825e+01 1.05e-02 1.11e+04  -1.7 2.89e-01    -  1.00e+00 4.43e-01h  1
  53  2.7090429e+01 4.50e-03 8.47e+03  -1.4 1.62e-01    -  1.00e+00 1.00e+00f  1
  54  2.7068485e+01 2.69e-03 7.87e+03  -2.0 2.20e-01    -  1.00e+00 6.75e-01h  1
  55  2.7117910e+01 1.45e-02 6.32e+03  -1.3 2.85e-01    -  8.43e-01 1.00e+00f  1
  56  2.7112697e+01 1.16e-02 6.47e+03  -1.4 3.17e-01    -  6.82e-01 1.92e-01h  1
  57  2.7102451e+01 3.29e-03 4.19e+03  -1.4 9.76e-02    -  9.44e-01 7.06e-01h  1
  58  2.7068826e+01 1.73e-03 3.10e+03  -1.4 2.05e-01    -  1.00e+00 8.85e-01H  1
  59  2.7058500e+01 1.39e-04 4.53e+03  -2.1 1.37e-01    -  8.74e-01 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  2.7060913e+01 2.78e-05 4.32e+03  -2.3 1.19e-01    -  9.91e-01 1.00e+00H  1
  61  2.7064097e+01 6.72e-04 1.43e+03  -1.9 8.08e-02    -  1.00e+00 1.00e+00f  1
  62  2.7043203e+01 5.17e-04 3.00e+03  -2.0 1.17e-01    -  1.00e+00 1.00e+00H  1
  63  2.7016015e+01 2.21e-04 3.35e+03  -2.0 2.59e-01    -  4.90e-01 9.37e-01H  1
  64  2.7022255e+01 2.01e-05 1.80e+03  -2.6 2.06e-01    -  1.00e+00 1.00e+00H  1
  65  2.7011248e+01 1.26e-05 6.20e+03  -2.9 5.13e-02    -  4.73e-01 9.41e-01H  1
  66  2.6981962e+01 2.12e-03 4.49e+03  -2.4 8.06e-01    -  2.41e-01 1.39e-01f  2
  67  2.6971252e+01 2.29e-03 3.29e+03  -2.4 7.87e-01    -  1.00e+00 4.82e-02h  3
  68  2.6925957e+01 6.73e-03 4.21e+03  -1.9 5.27e-01    -  6.45e-01 3.75e-01f  1
  69  2.6894796e+01 5.29e-03 6.01e+03  -2.0 3.55e-01    -  7.82e-01 4.52e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.6889583e+01 1.90e-02 9.09e+03  -1.6 4.80e-01    -  7.69e-01 6.82e-01f  1
  71  2.6864694e+01 1.45e-02 7.24e+03  -2.0 3.39e-01    -  1.00e+00 2.35e-01h  1
  72  2.6973405e+01 2.16e-02 8.35e+03  -0.8 1.01e+00    -  2.73e-01 4.30e-01f  1
  73  2.6884105e+01 3.76e-02 1.45e+04  -1.4 2.03e+00    -  4.15e-01 3.03e-01H  1
  74  2.6847256e+01 4.11e-02 1.45e+04  -1.4 5.14e+00    -  1.31e-01 6.88e-02h  1
  75  2.6840176e+01 5.72e-02 1.46e+04  -1.0 1.66e+00    -  5.25e-01 1.79e-01f  1
  76  2.6944652e+01 7.62e-02 2.27e+04   0.0 2.28e+00    -  1.00e+00 1.93e-01f  1
  77  2.6833290e+01 5.44e-02 1.03e+04  -0.1 6.52e-01    -  9.90e-01 9.90e-01f  1
  78  2.6867323e+01 5.74e-02 1.15e+04   0.2 8.28e-01    -  1.00e+00 1.00e+00f  1
  79  2.6836231e+01 5.94e-03 5.47e+03   0.1 5.35e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  2.6822638e+01 2.46e-04 5.73e+02  -0.8 1.46e-01    -  1.00e+00 1.00e+00h  1
  81  2.6814035e+01 7.33e-06 3.47e+02  -1.9 9.47e-02    -  1.00e+00 1.00e+00H  1
  82  2.6802257e+01 6.71e-05 9.95e+02  -2.6 1.15e-01    -  1.00e+00 1.00e+00H  1
  83  2.6789065e+01 4.19e-04 1.15e+03  -1.8 1.13e-01    -  1.00e+00 1.00e+00f  1
  84  2.6792231e+01 8.07e-05 5.58e+02  -2.5 6.30e-02    -  1.00e+00 1.00e+00h  1
  85  2.6790291e+01 3.42e-05 2.26e+02  -3.6 1.79e-02    -  1.00e+00 1.00e+00h  1
  86  2.6776962e+01 1.15e-03 1.03e+03  -4.0 5.63e-02    -  1.00e+00 9.94e-01h  1
  87  2.6759173e+01 2.77e-03 7.64e+03  -3.0 2.76e+00    -  1.00e+00 2.61e-02h  1
  88  2.6589333e+01 9.85e-03 5.93e+03  -2.0 4.58e+00    -  1.00e+00 1.11e-01f  1
  89  2.6554213e+01 4.04e-03 5.55e+03  -2.4 2.88e-01    -  8.18e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  2.6560015e+01 2.78e-03 4.30e+03  -4.0 2.03e-01    -  5.23e-01 3.08e-01h  1
  91  2.6554423e+01 1.68e-03 3.12e+03  -3.2 1.44e-01    -  1.00e+00 4.07e-01h  1
  92  2.6543788e+01 1.26e-03 2.44e+03  -3.4 1.55e-01    -  1.00e+00 2.65e-01h  1
  93  2.6523426e+01 1.05e-03 2.49e+03  -4.0 2.77e-01    -  5.92e-01 2.08e-01h  1
  94  2.6496646e+01 2.85e-03 6.39e+03  -3.3 8.29e-01    -  1.00e+00 1.09e-01h  1
  95  2.6480385e+01 3.55e-03 3.05e+03  -1.9 4.97e-01    -  8.74e-01 1.86e-01f  1
  96  2.6470167e+01 7.07e-03 2.95e+03  -1.9 1.13e+00    -  5.22e-01 4.16e-01f  1
  97  2.6605766e+01 1.89e-02 2.82e+03  -1.4 5.11e-01    -  8.42e-01 9.39e-01f  1
  98  2.6522029e+01 9.29e-03 4.69e+03  -1.5 6.23e-01    -  3.82e-01 6.72e-01H  1
  99  2.6525914e+01 8.15e-03 1.36e+03  -1.5 3.52e-01    -  8.15e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
